link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_bike,person_vol_walk,MEU_vol_auto,MEU_vol_bike,MEU_vol_walk,mode_cap_auto,mode_cap_bike,mode_cap_walk,mode_VOC_auto,mode_VOC_bike,mode_VOC_walk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
11,11,bpr,5,4,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,41119.195,-1.000,0.000,0.000,0.000,0.000,,,,0.000,41119.195,10.576,0.000,0.000,0.000,2.312,2.312,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,41119.196,0.955,1.142,66.456,1.083,60.000,51.000,0.400,4.000,0.000,0.000,51111.492,7346899968.000,51111.492,7346899968.000,7346898432.000,7346897920.000,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",37997.331,112.458,3009.407,41119.196,41119.196,41119.196,2.312,68.532,41.119,2.312,68.532,41.119,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,41119.198,41119.198,0.000,0.000,0.000,0.000,2.312,2.312,0.000,66.456,66.456,0.000,period-based
12,12,bpr,5,6,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,11963.955,-1.000,0.000,0.000,0.000,0.000,,,,0.000,11963.955,24.508,0.002,0.001,0.000,2.418,2.418,4947.995,4947.995,0.000,0.000,0.000,1.000,1.000,11963.955,0.955,1.142,16.235,1.083,60.000,51.000,0.400,4.000,0.009,0.002,29742.586,30649622.000,29742.586,30649622.000,30648826.000,30648684.000,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",5549.533,1462.523,4951.899,11963.955,11963.955,11963.955,2.418,19.940,11.964,2.418,19.940,11.964,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,40.709,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,11963.955,11963.955,0.000,0.002,0.002,0.000,2.418,2.418,0.000,16.235,16.235,0.000,period-based
13,13,bpr,5,9,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,42032.930,-1.000,0.000,0.000,0.000,0.000,,,,0.000,42032.930,239.110,0.000,0.000,0.000,4.203,4.203,10000.000,10000.000,0.000,0.000,0.000,1.000,1.000,42032.929,0.955,1.142,68.144,1.083,60.000,51.000,0.400,4.000,0.000,0.000,130618.180,20500725760.000,130618.180,20500725760.000,20500721664.000,20500721664.000,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",42032.929,0.000,0.000,42032.929,42032.929,42032.929,4.203,70.055,42.033,4.203,70.055,42.033,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,42032.930,42032.930,0.000,0.000,0.000,0.000,4.203,4.203,0.000,68.144,68.144,0.000,period-based
14,14,bpr,6,2,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,13061.447,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13061.447,41.119,0.001,0.001,0.000,2.634,2.634,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,13061.447,0.955,1.142,17.946,1.083,60.000,51.000,0.400,4.000,0.006,0.001,40588.711,59412252.000,40588.711,59412252.000,59411164.000,59410972.000,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",1464.745,2941.102,8655.600,13061.447,13061.447,13061.447,2.634,21.769,13.061,2.634,21.769,13.061,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,13061.448,13061.448,0.000,0.001,0.001,0.000,2.634,2.634,0.000,17.946,17.946,0.000,period-based
15,15,bpr,6,5,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,13342.359,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13342.359,35.722,0.001,0.001,0.000,2.697,2.697,4947.995,4947.995,0.000,0.000,0.000,1.000,1.000,13342.360,0.955,1.142,18.387,1.083,60.000,51.000,0.400,4.000,0.006,0.001,33169.320,52864556.000,33169.320,52864556.000,52863664.000,52863508.000,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",6869.165,1514.283,4958.912,13342.360,13342.360,13342.360,2.697,22.237,13.342,2.697,22.237,13.342,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,13342.360,13342.360,0.000,0.001,0.001,0.000,2.697,2.697,0.000,18.387,18.387,0.000,period-based
16,16,bpr,6,8,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,22995.068,-1.000,0.000,0.000,0.000,0.000,,,,0.000,22995.068,147.672,0.000,0.000,0.000,4.694,4.694,4898.588,4898.588,0.000,0.000,0.000,1.000,1.000,22995.069,0.955,1.142,34.228,1.083,60.000,51.000,0.400,4.000,0.001,0.000,28583.057,401849952.000,28583.057,401849952.000,401849184.000,401849056.000,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",3843.318,5068.804,14082.947,22995.069,22995.069,22995.069,4.694,38.325,22.995,4.694,38.325,22.995,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,22995.068,22995.068,0.000,0.000,0.000,0.000,4.694,4.694,0.000,34.228,34.228,0.000,period-based
17,17,bpr,7,8,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,23960.248,-1.000,0.000,0.000,0.000,0.000,,,,0.000,23960.248,42.220,0.000,0.000,0.000,3.055,3.055,7841.811,7841.811,0.000,0.000,0.000,1.000,1.000,23960.249,0.955,1.142,35.873,1.083,60.000,51.000,0.400,4.000,0.001,0.000,44674.172,740349248.000,44674.172,740349248.000,740348096.000,740347840.000,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",16015.163,2052.253,5892.832,23960.249,23960.249,23960.249,3.055,39.934,23.960,3.055,39.934,23.960,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,23960.248,23960.248,0.000,0.000,0.000,0.000,3.055,3.055,0.000,35.873,35.873,0.000,period-based
18,18,bpr,7,18,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,26833.502,-1.000,0.000,0.000,0.000,0.000,,,,0.000,26833.502,2.518,0.000,0.000,0.000,1.147,1.147,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,26833.502,0.955,1.142,40.824,1.083,60.000,51.000,0.400,4.000,0.000,0.000,33354.258,869505600.000,33354.258,869505600.000,869504704.000,869504576.000,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",21696.648,572.361,4564.493,26833.502,26833.502,26833.502,1.147,44.723,26.834,1.147,44.723,26.834,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,26833.502,26833.502,0.000,0.000,0.000,0.000,1.147,1.147,0.000,40.824,40.824,0.000,period-based
19,19,bpr,8,6,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,24068.518,-1.000,0.000,0.000,0.000,0.000,,,,0.000,24068.518,176.838,0.000,0.000,0.000,4.913,4.913,4898.588,4898.588,0.000,0.000,0.000,1.000,1.000,24068.518,0.955,1.142,36.058,1.083,60.000,51.000,0.400,4.000,0.001,0.000,29917.361,504818656.000,29917.361,504818656.000,504817856.000,504817696.000,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",5741.974,4721.345,13605.199,24068.518,24068.518,24068.518,4.913,40.114,24.069,4.913,40.114,24.069,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,24068.518,24068.518,0.000,0.000,0.000,0.000,4.913,4.913,0.000,36.058,36.058,0.000,period-based
20,20,bpr,8,7,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,23320.357,-1.000,0.000,0.000,0.000,0.000,,,,0.000,23320.357,38.196,0.000,0.000,0.000,2.974,2.974,7841.811,7841.811,0.000,0.000,0.000,1.000,1.000,23320.358,0.955,1.142,34.782,1.083,60.000,51.000,0.400,4.000,0.001,0.000,43481.090,646631872.000,43481.090,646631872.000,646630720.000,646630528.000,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",15422.124,2131.727,5766.507,23320.358,23320.358,23320.358,2.974,38.867,23.320,2.974,38.867,23.320,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,23320.358,23320.358,0.000,0.000,0.000,0.000,2.974,2.974,0.000,34.782,34.782,0.000,period-based
