[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
,,254,y_sh_cc,0,0,0,0,0,0,0,
,,255,y_sh_oth,0,0,0,0,0,0,0,
,,260,y_cc_n,0,0,0,0,0,0,0,
,,262,y_cc_bs,0,0,0,0,0,0,0,
,,263,y_cc_ws,0,0,0,0,0,0,0,
,,264,y_cc_cc,0,0,0,0,0,0,0,
,,265,y_cc_oth,0,0,0,0,0,0,0,
,,-1,,,,1,highway,,,2,arterial,,,3,collector,,,4,bikeonly,,,5,walkonly,,,100,connector,,,101,n_n_mp,,,102,,,,103,,,,104,,,,105,,,,110,n_mp_n,,,111,n_mp_mp,,,120,,,,122,,,,123,,,,124,,,,125,,,,130,,,,132,,,,133,,,,134,,,,135,,,,140,,,,142,,,,143,,,,144,,,,145,,,,150,,,,152,,,,153,,,,154,,,,155,,,,160,,,,162,,,,163,,,,164,,,,165,,,,200,y_n_n,,,202,y_n_bs,,,203,y_n_ws,,,204,y_n_cc,,,205,y_n_oth,,,220,y_bf_n,,,222,y_bf_bs,,,223,y_bf_ws,,,224,y_bf_cc,,,225,y_bf_oth,,,230,y_ln_n,,,232,y_ln_bs,,,233,y_ln_ws,,,234,y_ln_cc,,,235,y_ln_oth,,,240,y_pro_n,,,242,y_pro_bs,,,243,y_pro_ws,,,244,y_pro_cc,,,245,y_pro_oth,,,250,y_sh_n,,,252,y_sh_bs,,,253,y_sh_ws,,,254,y_sh_cc,,,255,y_sh_oth,,,260,y_cc_n,,,262,y_cc_bs,,,263,y_cc_ws,,,264,y_cc_cc,,,265,y_cc_oth,pre-read demand_file_list.csv.
,first stage scanning
,# of inside zones = 24, total_related_demand = 360600
,# inside_zone_count = 24, total_related_demand_from_internal zones = 360600
,# related_external_zone_count = 0, external related demand = 0
,# related_external_zone_count_with_significant_volume = 0
 During the second stage of cut off, the cut off zone includes all inside zones along with significant external related zones.
,# cut off zone size = 24, total_related_demand_from_external_cutoff  = 0
,cut off volume threshold to determine significance = 0.External origin zones with a volume larger than this threshold will be retained.
, remaining external related demand percentage after the cut off  = 0 %
[PROCESS INFO] Step 2.1: read demand, defined in demand_file_list.csv.
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
,total demand =, 721200
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,1.0818e+06,76,60,96.5604,314,778788,10247.2,4131.58,
,,am,bike,1.0818e+06,76,60,96.5604,314,778788,10247.2,4131.58,
,,am,walk,1.0818e+06,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,auto,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,bike,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,walk,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,auto,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,bike,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,walk,0,76,60,96.5604,314,778788,10247.2,4131.58,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,2.1636e+06
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,16,10,3,3,walk,am,4400
,,2,16,10,3,3,auto,am,4400
,,3,16,10,3,3,bike,am,4400
,,4,10,16,3,3,auto,am,4400
,,5,10,16,3,3,bike,am,4400
,,6,10,16,3,3,walk,am,4400
,,7,15,10,3,3,walk,am,4000
,,8,10,11,3,3,auto,am,4000
,,9,10,11,3,3,walk,am,4000
,,10,10,15,3,3,auto,am,4000
,,11,10,15,3,3,bike,am,4000
,,12,10,11,3,3,bike,am,4000
,,13,10,15,3,3,walk,am,4000
,,14,15,10,3,3,bike,am,4000
,,15,15,10,3,3,auto,am,4000
,,16,17,10,3,3,bike,am,3900
,,17,17,10,3,3,auto,am,3900
,,18,11,10,3,3,bike,am,3900
,,19,11,10,3,3,auto,am,3900
,,20,11,10,3,3,walk,am,3900
,,21,10,17,3,3,walk,am,3900
,,22,10,17,3,3,bike,am,3900
,,23,10,17,3,3,auto,am,3900
,,24,17,10,3,3,walk,am,3900
,,25,9,10,3,3,bike,am,2800
,,26,9,10,3,3,walk,am,2800
,,27,10,9,3,3,bike,am,2800
,,28,17,16,3,3,walk,am,2800
,,29,16,17,3,3,bike,am,2800
,,30,17,16,3,3,auto,am,2800
,,31,16,17,3,3,auto,am,2800
,,32,17,16,3,3,bike,am,2800
,,33,10,9,3,3,walk,am,2800
,,34,10,9,3,3,auto,am,2800
,,35,16,17,3,3,walk,am,2800
,,36,9,10,3,3,auto,am,2800
,,37,15,22,3,3,walk,am,2600
,,38,10,22,3,3,auto,am,2600
,,39,22,15,3,3,walk,am,2600
,,40,22,15,3,3,auto,am,2600
,,41,22,15,3,3,bike,am,2600
,,42,22,10,3,3,auto,am,2600
,,43,10,22,3,3,walk,am,2600
,,44,10,22,3,3,bike,am,2600
,,45,15,22,3,3,auto,am,2600
,,46,15,22,3,3,bike,am,2600
,,47,22,10,3,3,walk,am,2600
,,48,22,10,3,3,bike,am,2600
,,49,20,10,3,3,walk,am,2500
,,50,20,10,3,3,bike,am,2500
,,51,10,20,3,3,walk,am,2500
,,52,20,10,3,3,auto,am,2500
,,53,10,20,3,3,bike,am,2500
,,54,10,20,3,3,auto,am,2500
,,55,22,20,3,3,auto,am,2400
,,56,20,22,3,3,walk,am,2400
,,57,20,22,3,3,bike,am,2400
,,58,20,22,3,3,auto,am,2400
,,59,22,20,3,3,bike,am,2400
,,60,22,20,3,3,walk,am,2400
,,61,16,8,3,3,walk,am,2200
,,62,16,8,3,3,bike,am,2200
,,63,8,16,3,3,bike,am,2200
,,64,8,16,3,3,auto,am,2200
,,65,16,8,3,3,auto,am,2200
,,66,8,16,3,3,walk,am,2200
,,67,23,22,3,3,walk,am,2100
,,68,23,22,3,3,bike,am,2100
,,69,14,10,3,3,bike,am,2100
,,70,14,10,3,3,auto,am,2100
,,71,14,10,3,3,walk,am,2100
,,72,10,14,3,3,walk,am,2100
,,73,22,23,3,3,walk,am,2100
,,74,22,23,3,3,bike,am,2100
,,75,22,23,3,3,auto,am,2100
,,76,10,14,3,3,bike,am,2100
,,77,10,14,3,3,auto,am,2100
,,78,23,22,3,3,auto,am,2100
,,79,10,12,3,3,auto,am,2000
,,80,12,10,3,3,bike,am,2000
,,81,10,12,3,3,walk,am,2000
,,82,12,10,3,3,auto,am,2000
,,83,12,10,3,3,walk,am,2000
,,84,10,12,3,3,bike,am,2000
,,85,7,10,3,3,bike,am,1900
,,86,10,7,3,3,walk,am,1900
,,87,10,7,3,3,auto,am,1900
,,88,10,7,3,3,bike,am,1900
,,89,10,13,3,3,walk,am,1900
,,90,10,13,3,3,bike,am,1900
,,91,10,13,3,3,auto,am,1900
,,92,7,10,3,3,auto,am,1900
,,93,7,10,3,3,walk,am,1900
,,94,13,10,3,3,auto,am,1900
,,95,13,10,3,3,bike,am,1900
,,96,13,10,3,3,walk,am,1900
,,97,19,10,3,3,auto,am,1800
,,98,19,10,3,3,bike,am,1800
,,99,19,10,3,3,walk,am,1800
,,100,21,22,3,3,bike,am,1800
[PROCESS INFO]Step 4: Column Generation for Traffic Assignment
,Total number of column generation iterations =, 100
,Total number of column generation iterations =, 100
,read dynamic traffic managementscenario
, # of lane closure records in dynamic_traffic_management.csv=,0,
, # of dms records in dynamic_traffic_management.csv=,0,
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0.012,721200,0,0
1,0.002,721200,0,0
2,0.011,721200,2.93478e+08,529.512
3,0.002,721200,2.93478e+08,529.512
4,0.012,721200,2.75553e+08,211.221
5,0.006,721200,7.53435e+08,593.163
6,0.008,721200,4.13403e+08,209.395
7,0.007,721200,3.70173e+08,131.409
8,0.004,721200,3.13292e+08,65.9931
9,0.004,721200,3.021e+08,55.3513
10,0.003,721200,2.99402e+08,59.7383
11,0.006,721200,2.66672e+08,46.2644
12,0.004,721200,2.44782e+08,36.4906
13,0.004,721200,2.33352e+08,32.009
14,0.005,721200,2.25126e+08,30.8954
15,0.003,721200,2.17505e+08,28.7376
16,0.006,721200,2.10756e+08,26.9823
17,0.005,721200,2.05018e+08,25.7987
18,0.006,721200,1.9929e+08,22.2112
19,0.004,721200,1.95119e+08,20.7856
20,0.005,721200,1.91222e+08,20.464
21,0.002,721200,1.85846e+08,18.0635
22,0.002,721200,1.81863e+08,17.1282
23,0.003,721200,1.78493e+08,17.4961
24,0.005,721200,1.75043e+08,15.7799
25,0.003,721200,1.72104e+08,14.7308
26,0.003,721200,1.69522e+08,14.3122
27,0.003,721200,1.67331e+08,13.74
28,0.005,721200,1.64897e+08,12.6128
29,0.004,721200,1.62629e+08,12.5253
30,0.003,721200,1.60167e+08,12.1424
31,0.003,721200,1.5808e+08,11.2097
32,0.003,721200,1.56294e+08,11.1851
33,0.005,721200,1.54359e+08,10.8181
34,0.005,721200,1.52708e+08,10.0229
35,0.003,721200,1.5128e+08,10.0689
36,0.003,721200,1.49319e+08,9.845
37,0.002,721200,1.47877e+08,9.18155
38,0.004,721200,1.46745e+08,9.14445
39,0.003,721200,1.45593e+08,8.99096
40,0.004,721200,1.44427e+08,8.43069
41,0.002,721200,1.43385e+08,8.45188
42,0.004,721200,1.42431e+08,8.18279
43,0.004,721200,1.4142e+08,7.73724
44,0.004,721200,1.40612e+08,7.87314
45,0.003,721200,1.39826e+08,7.61386
46,0.004,721200,1.39057e+08,7.17092
47,0.004,721200,1.38271e+08,7.28638
48,0.002,721200,1.37088e+08,7.11345
49,0.004,721200,1.36394e+08,6.77433
50,0.002,721200,1.35755e+08,6.84511
51,0.004,721200,1.35332e+08,6.61949
52,0.002,721200,1.34811e+08,6.29604
53,0.005,721200,1.34205e+08,6.42178
54,0.002,721200,1.33419e+08,6.28091
55,0.004,721200,1.32878e+08,5.93364
56,0.004,721200,1.32362e+08,6.02292
57,0.003,721200,1.31953e+08,5.90855
58,0.005,721200,1.31491e+08,5.60871
59,0.004,721200,1.31014e+08,5.65348
60,0.003,721200,1.30202e+08,5.56725
61,0.004,721200,1.2974e+08,5.34706
62,0.004,721200,1.29365e+08,5.37446
63,0.003,721200,1.29054e+08,5.25205
64,0.005,721200,1.28757e+08,5.05569
65,0.005,721200,1.28384e+08,5.11427
66,0.002,721200,1.27757e+08,5.02267
67,0.005,721200,1.27454e+08,4.80223
68,0.003,721200,1.27076e+08,4.90072
69,0.004,721200,1.267e+08,4.83975
70,0.002,721200,1.26421e+08,4.60128
71,0.001,721200,1.26122e+08,4.65978
72,0.004,721200,1.25673e+08,4.60214
73,0.005,721200,1.25395e+08,4.42855
74,0.004,721200,1.25071e+08,4.44136
75,0.004,721200,1.24842e+08,4.42927
