od_seq_id,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,mode_type,demand_period,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,volume_s0,volume_s1,avg_tt_s0,avg_tt_s1,avg_distance_km_s0,avg_distance_km_s1,avg_cost_s0,avg_cost_s1,
1,1,13,0,12,1,0,walk,am,0,-96.770420,43.612828,-96.793377,43.490707,500.00,1000.00,8754533.00,238797696.00,8.50,9.34,0.00,0.00,
1,1,14,0,13,1,0,auto,am,0,-96.770420,43.612828,-96.751035,43.529306,300.00,600.00,854.51,16707.11,28.68,28.38,0.00,0.00,
1,1,14,0,13,1,0,bike,am,0,-96.770420,43.612828,-96.751035,43.529306,300.00,600.00,379333.34,350734400.00,0.14,6.81,0.00,0.00,
1,1,14,0,13,1,0,walk,am,0,-96.770420,43.612828,-96.751035,43.529306,300.00,600.00,9454676.00,222343008.00,9.67,12.13,0.00,0.00,
1,1,15,0,14,1,0,auto,am,0,-96.770420,43.612828,-96.731504,43.529401,500.00,1000.00,512.87,8261.61,24.00,24.30,0.00,0.00,
1,1,15,0,14,1,0,bike,am,0,-96.770420,43.612828,-96.731504,43.529401,500.00,1000.00,0.00,303776704.00,0.00,5.93,0.00,0.00,
1,1,15,0,14,1,0,walk,am,0,-96.770420,43.612828,-96.731504,43.529401,500.00,1000.00,9122805.00,258760128.00,10.27,14.17,0.00,0.00,
1,1,16,0,15,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.546744,500.00,1000.00,907.27,15625.02,30.62,31.04,0.00,0.00,
1,1,16,0,15,1,0,bike,am,0,-96.770420,43.612828,-96.711382,43.546744,500.00,1000.00,5893911.50,303012992.00,10.27,11.55,0.00,0.00,
1,1,16,0,15,1,0,walk,am,0,-96.770420,43.612828,-96.711382,43.546744,500.00,1000.00,3095627.00,144660720.00,15.14,15.47,0.00,0.00,
1,1,17,0,16,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.541280,400.00,800.00,1050.82,17372.98,26.07,25.95,0.00,0.00,
1,1,17,0,16,1,0,bike,am,0,-96.770420,43.612828,-96.711382,43.541280,400.00,800.00,7934666.50,344902528.00,8.85,10.34,0.00,0.00,
1,1,17,0,16,1,0,walk,am,0,-96.770420,43.612828,-96.711382,43.541280,400.00,800.00,5037505.00,190740448.00,15.77,16.05,0.00,0.00,
1,1,18,0,17,1,0,auto,am,0,-96.770420,43.612828,-96.694078,43.546744,100.00,200.00,884.19,15492.99,30.29,30.56,0.00,0.00,
1,1,18,0,17,1,0,bike,am,0,-96.770420,43.612828,-96.694078,43.546744,100.00,200.00,8011971.00,360239744.00,9.35,11.11,0.00,0.00,
1,1,18,0,17,1,0,walk,am,0,-96.770420,43.612828,-96.694078,43.546744,100.00,200.00,4379730.50,177052544.00,14.34,15.31,0.00,0.00,
1,1,19,0,18,1,0,auto,am,0,-96.770420,43.612828,-96.711316,43.529591,300.00,600.00,537.18,8505.34,27.14,27.08,0.00,0.00,
1,1,19,0,18,1,0,bike,am,0,-96.770420,43.612828,-96.711316,43.529591,300.00,600.00,0.00,133840544.00,0.00,2.55,0.00,0.00,
1,1,19,0,18,1,0,walk,am,0,-96.770420,43.612828,-96.711316,43.529591,300.00,600.00,9302622.00,261641120.00,10.29,13.96,0.00,0.00,
1,1,20,0,19,1,0,auto,am,0,-96.770420,43.612828,-96.711185,43.515333,300.00,600.00,912.29,15694.98,31.68,31.46,0.00,0.00,
1,1,20,0,19,1,0,bike,am,0,-96.770420,43.612828,-96.711185,43.515333,300.00,600.00,2842379.00,318766176.00,1.57,7.31,0.00,0.00,
1,1,20,0,19,1,0,walk,am,0,-96.770420,43.612828,-96.711185,43.515333,300.00,600.00,9505263.00,246982592.00,14.78,15.89,0.00,0.00,
1,1,21,0,20,1,0,auto,am,0,-96.770420,43.612828,-96.730979,43.510485,100.00,200.00,738.20,11528.01,28.58,28.02,0.00,0.00,
1,1,21,0,20,1,0,bike,am,0,-96.770420,43.612828,-96.730979,43.510485,100.00,200.00,8872380.00,432994112.00,4.22,8.29,0.00,0.00,
1,1,21,0,20,1,0,walk,am,0,-96.770420,43.612828,-96.730979,43.510485,100.00,200.00,9466213.00,257750688.00,12.63,13.85,0.00,0.00,
1,1,22,0,21,1,0,auto,am,0,-96.770420,43.612828,-96.731241,43.514858,400.00,800.00,672.26,10605.60,27.12,27.10,0.00,0.00,
1,1,22,0,21,1,0,bike,am,0,-96.770420,43.612828,-96.731241,43.514858,400.00,800.00,0.00,208815344.00,0.00,4.26,0.00,0.00,
1,1,22,0,21,1,0,walk,am,0,-96.770420,43.612828,-96.731241,43.514858,400.00,800.00,6137858.00,208516480.00,8.60,12.00,0.00,0.00,
1,1,23,0,22,1,0,auto,am,0,-96.770420,43.612828,-96.750904,43.514858,300.00,600.00,275.70,5830.56,17.88,17.66,0.00,0.00,
1,1,23,0,22,1,0,bike,am,0,-96.770420,43.612828,-96.750904,43.514858,300.00,600.00,9907298.00,435313472.00,4.55,8.12,0.00,0.00,
1,1,23,0,22,1,0,walk,am,0,-96.770420,43.612828,-96.750904,43.514858,300.00,600.00,9495677.00,251979952.00,12.24,13.18,0.00,0.00,
1,1,24,0,23,1,0,auto,am,0,-96.770420,43.612828,-96.749200,43.503164,100.00,200.00,210.78,4680.83,15.96,15.81,0.00,0.00,
1,1,24,0,23,1,0,bike,am,0,-96.770420,43.612828,-96.749200,43.503164,100.00,200.00,11058188.00,442704480.00,4.67,7.51,0.00,0.00,
1,1,24,0,23,1,0,walk,am,0,-96.770420,43.612828,-96.749200,43.503164,100.00,200.00,9464297.00,249057104.00,11.23,11.85,0.00,0.00,
1,2,1,1,0,2,1,auto,am,0,-96.711251,43.605813,-96.770420,43.612828,100.00,200.00,6.09,9.12,6.00,6.00,0.00,0.00,
1,2,1,1,0,2,1,bike,am,0,-96.711251,43.605813,-96.770420,43.612828,100.00,200.00,1405888.62,49197884.00,6.00,6.00,0.00,0.00,
1,2,1,1,0,2,1,walk,am,0,-96.711251,43.605813,-96.770420,43.612828,100.00,200.00,501123.97,17534190.00,6.00,6.00,0.00,0.00,
1,2,3,1,2,2,0,auto,am,0,-96.711251,43.605813,-96.774303,43.572962,100.00,200.00,10.48,23.56,10.00,10.00,0.00,0.00,
1,2,3,1,2,2,0,bike,am,0,-96.711251,43.605813,-96.774303,43.572962,100.00,200.00,5498206.00,54411620.00,10.00,3.42,0.00,0.00,
1,2,3,1,2,2,0,walk,am,0,-96.711251,43.605813,-96.774303,43.572962,100.00,200.00,1959669.50,43112580.00,10.00,7.60,0.00,0.00,
1,2,4,1,3,2,0,auto,am,0,-96.711251,43.605813,-96.747168,43.563654,200.00,400.00,29.11,267.03,13.94,13.97,0.00,0.00,
1,2,4,1,3,2,0,bike,am,0,-96.711251,43.605813,-96.747168,43.563654,200.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,
1,2,4,1,3,2,0,walk,am,0,-96.711251,43.605813,-96.747168,43.563654,200.00,400.00,0.00,50083104.00,0.00,2.48,0.00,0.00,
1,2,5,1,4,2,0,auto,am,0,-96.711251,43.605813,-96.731569,43.564034,100.00,200.00,40.84,469.69,15.86,15.93,0.00,0.00,
1,2,5,1,4,2,0,bike,am,0,-96.711251,43.605813,-96.731569,43.564034,100.00,200.00,1546734.75,60948372.00,9.00,9.00,0.00,0.00,
1,2,5,1,4,2,0,walk,am,0,-96.711251,43.605813,-96.731569,43.564034,100.00,200.00,551354.19,21722098.00,9.00,9.00,0.00,0.00,
1,2,6,1,5,2,0,auto,am,0,-96.711251,43.605813,-96.711644,43.587586,400.00,800.00,62.53,1566.44,18.35,18.80,0.00,0.00,
1,2,6,1,5,2,0,bike,am,0,-96.711251,43.605813,-96.711644,43.587586,400.00,800.00,879826.62,39508276.00,5.00,5.00,0.00,0.00,
1,2,6,1,5,2,0,walk,am,0,-96.711251,43.605813,-96.711644,43.587586,400.00,800.00,313624.59,14080803.00,5.00,5.00,0.00,0.00,
1,2,7,1,6,2,0,auto,am,0,-96.711251,43.605813,-96.693423,43.563844,200.00,400.00,882.44,15380.66,36.41,36.60,0.00,0.00,
1,2,7,1,6,2,0,bike,am,0,-96.711251,43.605813,-96.693423,43.563844,200.00,400.00,3016415.25,243202464.00,3.55,7.13,0.00,0.00,
1,2,7,1,6,2,0,walk,am,0,-96.711251,43.605813,-96.693423,43.563844,200.00,400.00,2344048.75,107546584.00,7.75,8.85,0.00,0.00,
1,2,8,1,7,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.562324,400.00,800.00,622.19,11349.16,29.77,30.68,0.00,0.00,
1,2,8,1,7,2,0,bike,am,0,-96.711251,43.605813,-96.711382,43.562324,400.00,800.00,2305793.75,167398448.00,4.22,5.59,0.00,0.00,
1,2,8,1,7,2,0,walk,am,0,-96.711251,43.605813,-96.711382,43.562324,400.00,800.00,1175639.62,68381488.00,6.04,6.41,0.00,0.00,
1,2,9,1,8,2,0,auto,am,0,-96.711251,43.605813,-96.731241,43.548596,200.00,400.00,279.67,4526.10,20.93,21.00,0.00,0.00,
1,2,9,1,8,2,0,bike,am,0,-96.711251,43.605813,-96.731241,43.548596,200.00,400.00,2333152.25,241242000.00,4.09,10.47,0.00,0.00,
1,2,9,1,8,2,0,walk,am,0,-96.711251,43.605813,-96.731241,43.548596,200.00,400.00,2398915.50,115097504.00,11.80,14.02,0.00,0.00,
1,2,10,1,9,2,0,auto,am,0,-96.711251,43.605813,-96.731438,43.545271,600.00,1200.00,364.38,5750.08,23.86,23.94,0.00,0.00,
1,2,10,1,9,2,0,bike,am,0,-96.711251,43.605813,-96.731438,43.545271,600.00,1200.00,1111142.12,292134624.00,1.01,6.74,0.00,0.00,
1,2,10,1,9,2,0,walk,am,0,-96.711251,43.605813,-96.731438,43.545271,600.00,1200.00,3988975.00,188314784.00,10.21,12.19,0.00,0.00,
1,2,11,1,10,2,0,auto,am,0,-96.711251,43.605813,-96.746841,43.544131,200.00,400.00,186.53,4057.07,21.65,21.68,0.00,0.00,
1,2,11,1,10,2,0,bike,am,0,-96.711251,43.605813,-96.746841,43.544131,200.00,400.00,0.00,297882304.00,0.00,7.05,0.00,0.00,
1,2,11,1,10,2,0,walk,am,0,-96.711251,43.605813,-96.746841,43.544131,200.00,400.00,7332536.00,194978432.00,8.86,12.94,0.00,0.00,
1,2,12,1,11,2,0,auto,am,0,-96.711251,43.605813,-96.780137,43.543941,100.00,200.00,16.03,66.27,14.00,14.00,0.00,0.00,
1,2,12,1,11,2,0,bike,am,0,-96.711251,43.605813,-96.780137,43.543941,100.00,200.00,7146102.50,359228224.00,4.59,8.88,0.00,0.00,
1,2,12,1,11,2,0,walk,am,0,-96.711251,43.605813,-96.780137,43.543941,100.00,200.00,5881259.00,174289712.00,10.61,12.09,0.00,0.00,
1,2,13,1,12,2,0,auto,am,0,-96.711251,43.605813,-96.793377,43.490707,300.00,600.00,19.75,86.52,17.00,17.00,0.00,0.00,
1,2,13,1,12,2,0,bike,am,0,-96.711251,43.605813,-96.793377,43.490707,300.00,600.00,0.00,388276672.00,0.00,7.87,0.00,0.00,
1,2,13,1,12,2,0,walk,am,0,-96.711251,43.605813,-96.793377,43.490707,300.00,600.00,7569507.00,239827360.00,10.88,13.64,0.00,0.00,
1,2,14,1,13,2,0,auto,am,0,-96.711251,43.605813,-96.751035,43.529306,100.00,200.00,861.89,16744.53,34.62,34.35,0.00,0.00,
1,2,14,1,13,2,0,bike,am,0,-96.711251,43.605813,-96.751035,43.529306,100.00,200.00,0.00,211425184.00,0.00,5.20,0.00,0.00,
1,2,14,1,13,2,0,walk,am,0,-96.711251,43.605813,-96.751035,43.529306,100.00,200.00,6350435.50,208349712.00,8.42,14.37,0.00,0.00,
1,2,15,1,14,2,0,auto,am,0,-96.711251,43.605813,-96.731504,43.529401,100.00,200.00,526.69,8400.88,29.80,30.08,0.00,0.00,
1,2,15,1,14,2,0,bike,am,0,-96.711251,43.605813,-96.731504,43.529401,100.00,200.00,0.00,74484480.00,0.00,1.76,0.00,0.00,
1,2,15,1,14,2,0,walk,am,0,-96.711251,43.605813,-96.731504,43.529401,100.00,200.00,5542922.50,234776192.00,7.68,15.57,0.00,0.00,
1,2,16,1,15,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.546744,400.00,800.00,912.98,15633.55,36.26,36.68,0.00,0.00,
1,2,16,1,15,2,0,bike,am,0,-96.711251,43.605813,-96.711382,43.546744,400.00,800.00,4452707.00,261208144.00,6.04,7.65,0.00,0.00,
1,2,16,1,15,2,0,walk,am,0,-96.711251,43.605813,-96.711382,43.546744,400.00,800.00,2586308.75,125278320.00,9.84,10.30,0.00,0.00,
1,2,17,1,16,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.541280,200.00,400.00,1056.66,17381.51,31.83,31.59,0.00,0.00,
1,2,17,1,16,2,0,bike,am,0,-96.711251,43.605813,-96.711382,43.541280,200.00,400.00,5366769.00,299750208.00,4.57,6.94,0.00,0.00,
1,2,17,1,16,2,0,walk,am,0,-96.711251,43.605813,-96.711382,43.541280,200.00,400.00,4430562.00,171222176.00,10.58,11.13,0.00,0.00,
1,2,19,1,18,2,0,auto,am,0,-96.711251,43.605813,-96.711316,43.529591,100.00,200.00,543.02,8513.95,32.90,32.84,0.00,0.00,
1,2,19,1,18,2,0,bike,am,0,-96.711251,43.605813,-96.711316,43.529591,100.00,200.00,0.00,214277584.00,0.00,4.75,0.00,0.00,
1,2,19,1,18,2,0,walk,am,0,-96.711251,43.605813,-96.711316,43.529591,100.00,200.00,3257944.00,179616512.00,6.61,11.17,0.00,0.00,
1,2,20,1,19,2,0,auto,am,0,-96.711251,43.605813,-96.711185,43.515333,100.00,200.00,918.13,15703.52,37.44,37.10,0.00,0.00,
1,2,20,1,19,2,0,bike,am,0,-96.711251,43.605813,-96.711185,43.515333,100.00,200.00,0.00,174368544.00,0.00,4.77,0.00,0.00,
1,2,20,1,19,2,0,walk,am,0,-96.711251,43.605813,-96.711185,43.515333,100.00,200.00,7659337.50,235848512.00,14.41,18.12,0.00,0.00,
1,2,22,1,21,2,0,auto,am,0,-96.711251,43.605813,-96.731241,43.514858,100.00,200.00,684.39,10731.45,33.02,32.93,0.00,0.00,
1,2,22,1,21,2,0,bike,am,0,-96.711251,43.605813,-96.731241,43.514858,100.00,200.00,0.00,69299032.00,0.00,1.75,0.00,0.00,
1,2,22,1,21,2,0,walk,am,0,-96.711251,43.605813,-96.731241,43.514858,100.00,200.00,4245340.50,171888928.00,7.47,12.18,0.00,0.00,
1,3,1,2,0,0,1,auto,am,0,-96.774303,43.572962,-96.770420,43.612828,100.00,200.00,4.25,12.94,4.00,4.00,0.00,0.00,
1,3,1,2,0,0,1,bike,am,0,-96.774303,43.572962,-96.770420,43.612828,100.00,200.00,2632142.25,94014640.00,4.00,4.00,0.00,0.00,
1,3,1,2,0,0,1,walk,am,0,-96.774303,43.572962,-96.770420,43.612828,100.00,200.00,938139.00,33506860.00,4.00,4.00,0.00,0.00,
1,3,2,2,1,0,2,auto,am,0,-96.774303,43.572962,-96.711251,43.605813,100.00,200.00,10.34,22.90,10.00,10.00,0.00,0.00,
1,3,2,2,1,0,2,bike,am,0,-96.774303,43.572962,-96.711251,43.605813,100.00,200.00,4111743.00,156616592.00,10.00,10.00,0.00,0.00,
1,3,2,2,1,0,2,walk,am,0,-96.774303,43.572962,-96.711251,43.605813,100.00,200.00,1465534.00,55818260.00,10.00,10.00,0.00,0.00,
1,3,4,2,3,0,0,auto,am,0,-96.774303,43.572962,-96.747168,43.563654,200.00,400.00,17.33,215.20,4.00,4.00,0.00,0.00,
1,3,4,2,3,0,0,bike,am,0,-96.774303,43.572962,-96.747168,43.563654,200.00,400.00,40077452.00,0.00,4.00,0.00,0.00,0.00,
1,3,4,2,3,0,0,walk,am,0,-96.774303,43.572962,-96.747168,43.563654,200.00,400.00,14283647.00,0.00,4.00,0.00,0.00,0.00,
1,3,5,2,4,0,0,auto,am,0,-96.774303,43.572962,-96.731569,43.564034,100.00,200.00,29.52,421.68,6.00,6.00,0.00,0.00,
1,3,5,2,4,0,0,bike,am,0,-96.774303,43.572962,-96.731569,43.564034,100.00,200.00,1775611.00,0.00,5.96,0.00,0.00,0.00,
1,3,5,2,4,0,0,walk,am,0,-96.774303,43.572962,-96.731569,43.564034,100.00,200.00,1528389.25,48085436.00,14.40,11.78,0.00,0.00,
1,3,6,2,5,0,0,auto,am,0,-96.774303,43.572962,-96.711644,43.587586,300.00,600.00,54.28,1539.09,10.45,10.30,0.00,0.00,
1,3,6,2,5,0,0,bike,am,0,-96.774303,43.572962,-96.711644,43.587586,300.00,600.00,1995088.50,21282796.00,6.00,1.63,0.00,0.00,
1,3,6,2,5,0,0,walk,am,0,-96.774303,43.572962,-96.711644,43.587586,300.00,600.00,1402176.12,46422068.00,11.82,9.96,0.00,0.00,
1,3,7,2,6,0,0,auto,am,0,-96.774303,43.572962,-96.693423,43.563844,100.00,200.00,872.57,15350.99,26.91,27.10,0.00,0.00,
1,3,7,2,6,0,0,bike,am,0,-96.774303,43.572962,-96.693423,43.563844,100.00,200.00,934660.94,309970400.00,1.48,12.46,0.00,0.00,
1,3,7,2,6,0,0,walk,am,0,-96.774303,43.572962,-96.693423,43.563844,100.00,200.00,2935858.00,150099232.00,13.07,16.93,0.00,0.00,
1,3,8,2,7,0,0,auto,am,0,-96.774303,43.572962,-96.711382,43.562324,200.00,400.00,612.49,11319.49,20.47,21.18,0.00,0.00,
1,3,8,2,7,0,0,bike,am,0,-96.774303,43.572962,-96.711382,43.562324,200.00,400.00,2319670.00,254597792.00,4.97,11.82,0.00,0.00,
1,3,8,2,7,0,0,walk,am,0,-96.774303,43.572962,-96.711382,43.562324,200.00,400.00,2068280.00,113832344.00,12.43,14.83,0.00,0.00,
1,3,9,2,8,0,0,auto,am,0,-96.774303,43.572962,-96.731241,43.548596,100.00,200.00,268.34,4478.07,11.07,11.07,0.00,0.00,
1,3,9,2,8,0,0,bike,am,0,-96.774303,43.572962,-96.731241,43.548596,100.00,200.00,2338340.25,298501568.00,4.57,14.70,0.00,0.00,
1,3,9,2,8,0,0,walk,am,0,-96.774303,43.572962,-96.731241,43.548596,100.00,200.00,3264166.50,156145888.00,17.91,21.58,0.00,0.00,
1,3,10,2,9,0,0,auto,am,0,-96.774303,43.572962,-96.731438,43.545271,300.00,600.00,343.66,5445.24,14.02,14.02,0.00,0.00,
1,3,10,2,9,0,0,bike,am,0,-96.774303,43.572962,-96.731438,43.545271,300.00,600.00,2795348.25,290138464.00,3.36,8.87,0.00,0.00,
1,3,10,2,9,0,0,walk,am,0,-96.774303,43.572962,-96.731438,43.545271,300.00,600.00,4781066.00,214390608.00,16.10,18.39,0.00,0.00,
1,3,11,2,10,0,0,auto,am,0,-96.774303,43.572962,-96.746841,43.544131,300.00,600.00,174.75,4005.22,11.71,11.71,0.00,0.00,
1,3,11,2,10,0,0,bike,am,0,-96.774303,43.572962,-96.746841,43.544131,300.00,600.00,12100730.00,383211392.00,2.95,5.58,0.00,0.00,
1,3,11,2,10,0,0,walk,am,0,-96.774303,43.572962,-96.746841,43.544131,300.00,600.00,9807257.00,192780992.00,6.94,8.13,0.00,0.00,
1,3,12,2,11,0,0,auto,am,0,-96.774303,43.572962,-96.780137,43.543941,200.00,400.00,5.55,42.70,4.00,4.00,0.00,0.00,
1,3,12,2,11,0,0,bike,am,0,-96.774303,43.572962,-96.780137,43.543941,200.00,400.00,16277533.00,327670688.00,4.00,3.22,0.00,0.00,
1,3,12,2,11,0,0,walk,am,0,-96.774303,43.572962,-96.780137,43.543941,200.00,400.00,5801356.00,134129160.00,4.00,3.70,0.00,0.00,
1,3,13,2,12,0,0,auto,am,0,-96.774303,43.572962,-96.793377,43.490707,100.00,200.00,9.27,62.95,7.00,7.00,0.00,0.00,
1,3,13,2,12,0,0,bike,am,0,-96.774303,43.572962,-96.793377,43.490707,100.00,200.00,12858663.00,448294784.00,3.25,4.62,0.00,0.00,
1,3,13,2,12,0,0,walk,am,0,-96.774303,43.572962,-96.793377,43.490707,100.00,200.00,7989562.00,211295296.00,5.67,6.11,0.00,0.00,
1,3,14,2,13,0,0,auto,am,0,-96.774303,43.572962,-96.751035,43.529306,100.00,200.00,850.12,16692.66,24.68,24.38,0.00,0.00,
1,3,14,2,13,0,0,bike,am,0,-96.774303,43.572962,-96.751035,43.529306,100.00,200.00,4782488.00,362432736.00,1.48,6.21,0.00,0.00,
1,3,14,2,13,0,0,walk,am,0,-96.774303,43.572962,-96.751035,43.529306,100.00,200.00,9237282.00,207787824.00,8.01,10.09,0.00,0.00,
1,3,15,2,14,0,0,auto,am,0,-96.774303,43.572962,-96.731504,43.529401,100.00,200.00,508.49,8247.42,20.00,20.38,0.00,0.00,
1,3,15,2,14,0,0,bike,am,0,-96.774303,43.572962,-96.731504,43.529401,100.00,200.00,0.00,341936576.00,0.00,6.08,0.00,0.00,
1,3,15,2,14,0,0,walk,am,0,-96.774303,43.572962,-96.731504,43.529401,100.00,200.00,9485692.00,246872784.00,9.50,12.32,0.00,0.00,
1,3,16,2,15,0,0,auto,am,0,-96.774303,43.572962,-96.711382,43.546744,200.00,400.00,903.08,15603.89,26.76,27.18,0.00,0.00,
1,3,16,2,15,0,0,bike,am,0,-96.774303,43.572962,-96.711382,43.546744,200.00,400.00,5469560.00,309869728.00,9.28,12.04,0.00,0.00,
1,3,16,2,15,0,0,walk,am,0,-96.774303,43.572962,-96.711382,43.546744,200.00,400.00,3551486.75,165374064.00,16.91,18.03,0.00,0.00,
1,3,17,2,16,0,0,auto,am,0,-96.774303,43.572962,-96.711382,43.541280,100.00,200.00,1046.55,17351.86,22.13,22.09,0.00,0.00,
1,3,17,2,16,0,0,bike,am,0,-96.774303,43.572962,-96.711382,43.541280,100.00,200.00,5741743.00,312011680.00,6.70,9.84,0.00,0.00,
