link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_bike,person_vol_walk,MEU_vol_auto,MEU_vol_bike,MEU_vol_walk,mode_cap_auto,mode_cap_bike,mode_cap_walk,mode_VOC_auto,mode_VOC_bike,mode_VOC_walk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
11,bpr,5,4,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,19049.422,-1.000,0.000,0.000,0.000,0.000,,,,0.000,19049.422,2.395,0.000,0.000,0.000,1.071,1.071,17782.794,0.000,0.000,0.000,1.000,1.000,19049.421,0.955,1.142,27.610,1.083,60.000,51.000,0.400,4.000,0.001,0.000,23678.586,156787328.000,23678.586,156787328.000,156786688.000,156786576.000,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",19049.421,0.000,0.000,19049.421,19049.421,19049.421,1.071,31.749,19.049,1.071,31.749,19.049,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,19049.422,19049.422,0.000,0.000,0.000,0.000,1.071,1.071,0.000,27.610,27.610,period-based
12,bpr,5,6,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8540.953,-1.000,0.000,0.000,0.000,0.000,,,,0.000,8540.953,9.327,0.006,0.004,0.000,1.726,1.726,4947.995,0.000,0.000,0.000,1.000,1.000,8540.954,0.955,1.142,11.050,0.000,60.000,51.000,0.400,4.000,0.035,0.009,21232.947,5688340.000,21232.947,5688340.000,5687770.500,5687670.000,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",8540.954,0.000,0.000,8540.954,8540.954,8540.954,1.726,14.235,8.541,1.726,14.235,8.541,60.000,60.000,60.000,60.000,56.667,57.576,58.485,59.394,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,8540.953,8540.953,0.000,0.006,0.006,0.000,1.726,1.726,0.000,11.050,11.050,period-based
13,bpr,5,9,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16155.836,-1.000,0.000,0.000,0.000,0.000,,,,0.000,16155.836,10.110,0.000,0.000,0.000,1.616,1.616,10000.000,0.000,0.000,0.000,1.000,1.000,16155.836,0.955,1.142,22.876,1.083,60.000,51.000,0.400,4.000,0.003,0.000,50204.586,171992560.000,50204.586,171992560.000,171991216.000,171990976.000,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",16155.836,0.000,0.000,16155.836,16155.836,16155.836,1.616,26.926,16.156,1.616,26.926,16.156,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,16155.836,16155.836,0.000,0.000,0.000,0.000,1.616,1.616,0.000,22.876,22.876,period-based
14,bpr,6,2,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6093.242,-1.000,0.000,0.000,0.000,0.000,,,,0.000,6093.242,6.711,0.023,0.014,0.000,1.229,1.229,4958.181,0.000,0.000,0.000,1.000,1.000,6093.242,0.955,1.142,7.515,0.000,60.000,51.000,0.400,4.000,0.135,0.040,18934.871,1318734.625,18934.871,1318734.625,1318226.875,1318137.250,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",6093.242,0.000,0.000,6093.242,6093.242,6093.242,1.229,10.155,6.093,1.229,10.155,6.093,60.000,60.000,60.000,60.000,58.055,58.586,59.116,59.646,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,6093.242,6093.242,0.000,0.023,0.023,0.000,1.229,1.229,0.000,7.515,7.515,period-based
15,bpr,6,5,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8569.381,-1.000,0.000,0.000,0.000,0.000,,,,0.000,8569.381,9.398,0.006,0.004,0.000,1.732,1.732,4947.995,0.000,0.000,0.000,1.000,1.000,8569.381,0.955,1.142,11.092,0.000,60.000,51.000,0.400,4.000,0.035,0.008,21303.619,5783541.500,21303.619,5783541.500,5782970.000,5782869.500,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",8569.381,0.000,0.000,8569.381,8569.381,8569.381,1.732,14.282,8.569,1.732,14.282,8.569,60.000,60.000,60.000,60.000,56.638,57.555,58.472,59.389,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,8569.381,8569.381,0.000,0.006,0.006,0.000,1.732,1.732,0.000,11.092,11.092,period-based
16,bpr,6,8,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,13084.978,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13084.978,17.273,0.001,0.001,0.000,2.671,2.671,4898.588,0.000,0.000,0.000,1.000,1.000,13084.978,0.955,1.142,17.983,1.083,60.000,51.000,0.400,4.000,0.006,0.001,16264.732,23979698.000,16264.732,23979698.000,23979262.000,23979186.000,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",13084.978,0.000,0.000,13084.978,13084.978,13084.978,2.671,21.808,13.085,2.671,21.808,13.085,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,13084.978,13084.978,0.000,0.001,0.001,0.000,2.671,2.671,0.000,17.983,17.983,period-based
17,bpr,7,8,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12987.234,-1.000,0.000,0.000,0.000,0.000,,,,0.000,12987.234,6.385,0.001,0.001,0.000,1.656,1.656,7841.811,0.000,0.000,0.000,1.000,1.000,12987.235,0.955,1.142,17.830,1.083,60.000,51.000,0.400,4.000,0.007,0.001,24214.855,34646268.000,24214.855,34646268.000,34645616.000,34645504.000,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",12987.235,0.000,0.000,12987.235,12987.235,12987.235,1.656,21.645,12.987,1.656,21.645,12.987,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,12987.234,12987.234,0.000,0.001,0.001,0.000,1.656,1.656,0.000,17.830,17.830,period-based
18,bpr,7,18,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,15933.159,-1.000,0.000,0.000,0.000,0.000,,,,0.000,15933.159,2.064,0.000,0.000,0.000,0.681,0.681,23403.473,0.000,0.000,0.000,1.000,1.000,15933.159,0.955,1.142,22.516,1.083,60.000,51.000,0.400,4.000,0.003,0.000,19805.045,64185132.000,19805.045,64185132.000,64184600.000,64184508.000,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",15933.159,0.000,0.000,15933.159,15933.159,15933.159,0.681,26.555,15.933,0.681,26.555,15.933,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,15933.159,15933.159,0.000,0.000,0.000,0.000,0.681,0.681,0.000,22.516,22.516,period-based
19,bpr,8,6,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,13048.003,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13048.003,17.101,0.001,0.001,0.000,2.664,2.664,4898.588,0.000,0.000,0.000,1.000,1.000,13048.003,0.955,1.142,17.925,1.083,60.000,51.000,0.400,4.000,0.006,0.001,16218.773,23642868.000,16218.773,23642868.000,23642432.000,23642356.000,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",13048.003,0.000,0.000,13048.003,13048.003,13048.003,2.664,21.747,13.048,2.664,21.747,13.048,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,13048.003,13048.003,0.000,0.001,0.001,0.000,2.664,2.664,0.000,17.925,17.925,period-based
20,bpr,8,7,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,13266.944,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13266.944,6.687,0.001,0.001,0.000,1.692,1.692,7841.811,0.000,0.000,0.000,1.000,1.000,13266.944,0.955,1.142,18.269,1.083,60.000,51.000,0.400,4.000,0.006,0.001,24736.379,38540668.000,24736.379,38540668.000,38540008.000,38539888.000,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",13266.944,0.000,0.000,13266.944,13266.944,13266.944,1.692,22.112,13.267,1.692,22.112,13.267,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,13266.944,13266.944,0.000,0.001,0.001,0.000,1.692,1.692,0.000,18.269,18.269,period-based
