first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_mode_type_sequence,information_type,mode_type,demand_period,volume,OD_relative_gap,travel_time,path_gap,preload_volume,volume_before_odme,volume_after_odme,volume_diff_odme,rt_new_path_flag,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,#_of_SA_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,23,1,15,0,14,1->15,0,1,,,0,auto,am,44.3943,0.0530,0.0585,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0585,0.0585,0.0230,0.0143,1;3;12;13;24;21;22;15;,2;7;37;39;75;65;67;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401)",,,0.004;0.004;0.003;0.004;0.003;0.002;0.003;,0.004;0.004;0.003;0.004;0.003;0.002;0.003;,
,24,1,16,0,15,1->16,0,1,,,0,auto,am,328.9225,0.0508,0.0421,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0421,0.0421,0.0180,0.0112,1;2;6;8;16;,1;4;16;22;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744)",,,0.006;0.005;0.002;0.005;,0.006;0.005;0.002;0.005;,
,25,1,16,0,15,1->16,3,4,,,0,auto,am,45.8388,0.0508,0.0552,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0552,0.0552,0.0220,0.0137,1;3;4;5;9;10;16;,2;6;9;13;25;29;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744)",,,0.004;0.004;0.002;0.005;0.003;0.004;,0.004;0.004;0.002;0.005;0.003;0.004;,
,26,1,16,0,15,1->16,2,3,,,0,auto,am,79.0861,0.0508,0.0434,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0434,0.0434,0.0210,0.0131,1;2;6;8;7;18;16;,1;4;16;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",,,0.006;0.005;0.002;0.003;0.002;0.003;,0.006;0.005;0.002;0.003;0.002;0.003;,
,27,1,16,0,15,1->16,1,2,,,0,auto,am,46.1526,0.0508,0.0535,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,9,0,0,0.1,0.0535,0.0535,0.0330,0.0205,1;3;4;5;9;8;7;18;16;,2;6;9;13;24;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",,,0.004;0.004;0.002;0.005;0.010;0.003;0.002;0.003;,0.004;0.004;0.002;0.005;0.010;0.003;0.002;0.003;,
,28,1,17,0,16,1->17,1,2,,,0,auto,am,271.3507,0.0596,0.0460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0460,0.0460,0.0260,0.0162,1;3;4;5;9;10;17;,2;6;9;13;25;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",,,0.004;0.004;0.002;0.005;0.003;0.008;,0.004;0.004;0.002;0.005;0.003;0.008;,
,29,1,17,0,16,1->17,0,1,,,0,auto,am,97.0857,0.0596,0.0532,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.1,0.0532,0.0532,0.0200,0.0124,1;2;6;8;16;17;,1;4;16;22;49;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280)",,,0.006;0.005;0.002;0.005;0.002;,0.006;0.005;0.002;0.005;0.002;,
,30,1,17,0,16,1->17,2,3,,,0,auto,am,17.7916,0.0596,0.0506,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.1,0.0506,0.0506,0.0270,0.0168,1;3;12;11;10;17;,2;7;36;32;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.711382 43.541280)",,,0.004;0.004;0.006;0.005;0.008;,0.004;0.004;0.006;0.005;0.008;,
,31,1,17,0,16,1->17,3,4,,,0,auto,am,13.7720,0.0596,0.0662,0.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0662,0.0662,0.0240,0.0149,1;3;4;5;9;10;16;17;,2;6;9;13;25;29;49;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280)",,,0.004;0.004;0.002;0.005;0.003;0.004;0.002;,0.004;0.004;0.002;0.005;0.003;0.004;0.002;,
,32,1,18,0,17,1->18,0,1,,,0,auto,am,77.6750,0.0524,0.0399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0399,0.0399,0.0180,0.0112,1;2;6;8;7;18;,1;4;16;20;18;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",,,0.006;0.005;0.002;0.003;0.002;,0.006;0.005;0.002;0.003;0.002;,
,33,1,18,0,17,1->18,1,2,,,0,auto,am,9.2632,0.0524,0.0500,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.0,0.0500,0.0500,0.0300,0.0186,1;3;4;5;9;8;7;18;,2;6;9;13;24;20;18;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",,,0.004;0.004;0.002;0.005;0.010;0.003;0.002;,0.004;0.004;0.002;0.005;0.010;0.003;0.002;,
,34,1,18,0,17,1->18,2,3,,,0,auto,am,9.4451,0.0524,0.0456,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0456,0.0456,0.0210,0.0131,1;2;6;8;16;18;,1;4;16;22;50;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)",,,0.006;0.005;0.002;0.005;0.003;,0.006;0.005;0.002;0.005;0.003;,
,35,1,18,0,17,1->18,3,4,,,0,auto,am,3.6167,0.0524,0.0587,0.0181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0587,0.0587,0.0250,0.0155,1;3;4;5;9;10;16;18;,2;6;9;13;25;29;50;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744)"
,36,1,19,0,18,1->19,1,2,,,0,auto,am,215.3321,0.0592,0.0489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.0,0.0489,0.0489,0.0270,0.0168,1;3;4;5;9;10;15;19;,2;6;9;13;25;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",,,0.004;0.004;0.002;0.005;0.003;0.006;0.003;,0.004;0.004;0.002;0.005;0.003;0.006;0.003;,
,37,1,19,0,18,1->19,0,1,,,0,auto,am,56.3242,0.0592,0.0614,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0614,0.0614,0.0220,0.0137,1;2;6;8;16;17;19;,1;4;16;22;49;53;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",,,0.006;0.005;0.002;0.005;0.002;0.002;,0.006;0.005;0.002;0.005;0.002;0.002;,
,38,1,19,0,18,1->19,2,3,,,0,auto,am,28.3437,0.0592,0.0535,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0535,0.0535,0.0280,0.0174,1;3;12;11;10;15;19;,2;7;36;32;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",,,0.004;0.004;0.006;0.005;0.006;0.003;,0.004;0.004;0.006;0.005;0.006;0.003;,
,39,1,20,0,19,1->20,0,1,,,0,auto,am,235.1973,0.0603,0.0442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0442,0.0442,0.0220,0.0137,1;2;6;8;7;18;20;,1;4;16;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",,,0.006;0.005;0.002;0.003;0.002;0.004;,0.006;0.005;0.002;0.003;0.002;0.004;,
,40,1,20,0,19,1->20,2,3,,,0,auto,am,28.3353,0.0603,0.0499,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0499,0.0499,0.0250,0.0155,1;2;6;8;16;18;20;,1;4;16;22;50;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",,,0.006;0.005;0.002;0.005;0.003;0.004;,0.006;0.005;0.002;0.005;0.003;0.004;,
,41,1,20,0,19,1->20,1,2,,,0,auto,am,25.6173,0.0603,0.0611,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,9,0,0,0.1,0.0611,0.0611,0.0310,0.0193,1;3;4;5;9;10;15;19;20;,2;6;9;13;25;28;45;59;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",,,0.004;0.004;0.002;0.005;0.003;0.006;0.003;0.004;,0.004;0.004;0.002;0.005;0.003;0.006;0.003;0.004;,
,42,1,20,0,19,1->20,3,4,,,0,auto,am,10.8501,0.0603,0.0630,0.0181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,9,0,0,0.1,0.0630,0.0630,0.0290,0.0180,1;3;4;5;9;10;16;18;20;,2;6;9;13;25;29;50;56;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",,,0.004;0.004;0.002;0.005;0.003;0.004;0.003;0.004;,0.004;0.004;0.002;0.005;0.003;0.004;0.003;0.004;,
,43,1,21,0,20,1->21,0,1,,,0,auto,am,92.6996,0.0564,0.0422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0422,0.0422,0.0180,0.0112,1;3;12;13;24;21;,2;7;37;39;75;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485)",,,0.004;0.004;0.003;0.004;0.003;,0.004;0.004;0.003;0.004;0.003;,
,44,1,21,0,20,1->21,1,2,,,0,auto,am,7.3004,0.0564,0.0714,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,10,0,0,0.1,0.0714,0.0714,0.0370,0.0230,1;3;4;5;9;10;15;19;20;21;,2;6;9;13;25;28;45;59;62;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.730979 43.510485)",,,0.004;0.004;0.002;0.005;0.003;0.006;0.003;0.004;0.006;,0.004;0.004;0.002;0.005;0.003;0.006;0.003;0.004;0.006;,
,45,1,22,0,21,1->22,2,3,,,0,auto,am,14.7759,0.0199,0.0595,0.0134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0595,0.0595,0.0260,0.0162,1;3;12;11;14;15;22;,2;7;36;34;41;46;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",,,0.004;0.004;0.006;0.004;0.005;0.003;,0.004;0.004;0.006;0.004;0.005;0.003;,
,46,1,22,0,21,1->22,0,1,,,0,auto,am,263.4054,0.0199,0.0488,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0488,0.0488,0.0200,0.0124,1;3;12;13;24;21;22;,2;7;37;39;75;65;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858)",,,0.004;0.004;0.003;0.004;0.003;0.002;,0.004;0.004;0.003;0.004;0.003;0.002;,
,47,1,22,0,21,1->22,1,2,,,0,auto,am,121.8188,0.0199,0.0478,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0478,0.0478,0.0210,0.0131,1;3;12;13;24;23;22;,2;7;37;39;76;72;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858)",,,0.004;0.004;0.003;0.004;0.002;0.004;,0.004;0.004;0.003;0.004;0.002;0.004;,
