od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,distance_km
70,4,11,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,449.3,3.6000,3.6000,0.0060
71,4,12,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,4.8000,4.8000,0.0080
72,4,13,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,6.6000,6.6000,0.0110
73,4,14,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,6.0000,6.0000,0.0100
74,4,15,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,9.0000,9.0000,0.0150
75,4,16,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,7.8000,7.8000,0.0130
76,4,17,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,9.0000,9.0000,0.0150
77,4,18,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,7.8000,7.8000,0.0130
78,4,19,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
79,4,20,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,10.2000,10.2000,0.0170
80,4,21,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.8000,10.8000,0.0180
81,4,22,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,10.8000,10.8000,0.0180
82,4,23,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,8.4000,8.4000,0.0140
83,4,24,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,9.0000,9.0000,0.0150
84,5,1,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.0000,6.0000,0.0100
85,5,2,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,5.4000,5.4000,0.0090
86,5,3,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,3.6000,3.6000,0.0060
87,5,4,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,1.2000,1.2000,0.0020
88,5,6,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,2.4000,2.4000,0.0040
89,5,7,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,5.4000,5.4000,0.0090
90,5,8,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,3.6000,3.6000,0.0060
91,5,9,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,3.0000,3.0000,0.0050
92,5,10,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,4.8000,4.8000,0.0080
93,5,11,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,4.8000,4.8000,0.0080
94,5,12,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.0000,6.0000,0.0100
95,5,13,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,7.8000,7.8000,0.0130
96,5,14,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,7.2000,7.2000,0.0120
97,5,15,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
98,5,16,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,6.6000,6.6000,0.0110
99,5,17,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,7.8000,7.8000,0.0130
100,5,19,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.0000,9.0000,0.0150
101,5,20,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.0000,9.0000,0.0150
102,5,21,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,11.4000,11.4000,0.0190
103,5,22,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
104,5,23,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.6000,9.6000,0.0160
105,6,1,0,0,0,0,p,AM,300.00,300,1,0,0.0,448.4,6.6000,6.6000,0.0110
106,6,2,0,0,0,0,p,AM,400.00,400,1,0,0.0,448.9,3.0000,3.0000,0.0050
107,6,3,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,6.0000,6.0000,0.0100
108,6,4,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,3.6000,3.6000,0.0060
109,6,5,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,2.4000,2.4000,0.0040
110,6,7,0,0,0,0,p,AM,400.00,400,1,0,0.0,448.9,3.0000,3.0000,0.0050
111,6,8,0,0,0,0,p,AM,800.00,800,1,0,0.0,449.4,1.2000,1.2000,0.0020
112,6,9,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,5.4000,5.4000,0.0090
113,6,10,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,6.6000,6.6000,0.0110
114,6,11,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,7.2000,7.2000,0.0120
115,6,12,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
116,6,13,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
117,6,14,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.6000,9.6000,0.0160
118,6,15,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
119,6,16,0,0,0,0,p,AM,900.00,900,1,0,0.0,450.0,4.2000,4.2000,0.0070
120,6,17,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,5.4000,5.4000,0.0090
121,6,18,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,4.2000,4.2000,0.0070
122,6,19,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.6000,6.6000,0.0110
123,6,20,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,6.6000,6.6000,0.0110
124,6,21,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,10.2000,10.2000,0.0170
125,6,22,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,9.6000,9.6000,0.0160
126,6,23,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,12.0000,12.0000,0.0200
127,6,24,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,12.0000,12.0000,0.0200
128,7,1,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,9.6000,9.6000,0.0160
129,7,2,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,6.0000,6.0000,0.0100
130,7,3,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.0000,9.0000,0.0150
131,7,4,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,6.6000,6.6000,0.0110
132,7,5,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,5.4000,5.4000,0.0090
133,7,6,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,3.0000,3.0000,0.0050
134,7,8,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,1.8000,1.8000,0.0030
135,7,9,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,7.2000,7.2000,0.0120
136,7,10,0,0,0,0,p,AM,1900.00,1900,1,0,0.0,450.0,5.4000,5.4000,0.0090
137,7,11,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,8.4000,8.4000,0.0140
138,7,12,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,11.4000,11.4000,0.0190
139,7,13,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,11.4000,11.4000,0.0190
140,7,14,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
141,7,15,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,7.2000,7.2000,0.0120
142,7,16,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,3.0000,3.0000,0.0050
143,7,17,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,4.2000,4.2000,0.0070
144,7,18,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,1.2000,1.2000,0.0020
145,7,19,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,5.4000,5.4000,0.0090
146,7,20,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,3.6000,3.6000,0.0060
147,7,21,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,7.2000,7.2000,0.0120
148,7,22,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,6.6000,6.6000,0.0110
149,7,23,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,9.0000,9.0000,0.0150
150,7,24,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.0000,9.0000,0.0150
151,8,1,0,0,0,0,p,AM,800.00,800,1,0,0.0,449.4,7.8000,7.8000,0.0130
152,8,2,0,0,0,0,p,AM,400.00,400,1,0,0.0,448.9,4.2000,4.2000,0.0070
153,8,3,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,7.2000,7.2000,0.0120
154,8,4,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,4.8000,4.8000,0.0080
155,8,5,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,3.6000,3.6000,0.0060
156,8,6,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,1.2000,1.2000,0.0020
157,8,7,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,1.8000,1.8000,0.0030
158,8,9,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,6.0000,6.0000,0.0100
159,8,10,0,0,0,0,p,AM,1600.00,1600,1,0,0.0,450.0,5.4000,5.4000,0.0090
160,8,11,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,8.4000,8.4000,0.0140
161,8,12,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,9.6000,9.6000,0.0160
162,8,13,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,11.4000,11.4000,0.0190
163,8,14,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,10.2000,10.2000,0.0170
164,8,15,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,7.2000,7.2000,0.0120
165,8,16,0,0,0,0,p,AM,2200.00,2200,1,0,0.0,450.0,3.0000,3.0000,0.0050
166,8,17,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,4.2000,4.2000,0.0070
167,8,18,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,3.0000,3.0000,0.0050
168,8,19,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,5.4000,5.4000,0.0090
169,8,20,0,0,0,0,p,AM,900.00,900,1,0,0.0,450.0,5.4000,5.4000,0.0090
170,8,21,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,9.0000,9.0000,0.0150
171,8,22,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,8.4000,8.4000,0.0140
172,8,23,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,10.8000,10.8000,0.0180
173,8,24,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.8000,10.8000,0.0180
174,9,1,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,9.0000,9.0000,0.0150
175,9,2,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,8.4000,8.4000,0.0140
176,9,3,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,6.6000,6.6000,0.0110
177,9,4,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,4.2000,4.2000,0.0070
178,9,5,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,3.0000,3.0000,0.0050
179,9,6,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,5.4000,5.4000,0.0090
180,9,7,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,7.2000,7.2000,0.0120
181,9,8,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,6.0000,6.0000,0.0100
182,9,10,0,0,0,0,p,AM,2800.00,2800,1,0,0.0,450.0,1.8000,1.8000,0.0030
183,9,11,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,4.8000,4.8000,0.0080
184,9,12,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,8.4000,8.4000,0.0140
185,9,13,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,10.2000,10.2000,0.0170
186,9,14,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,7.2000,7.2000,0.0120
187,9,15,0,0,0,0,p,AM,900.00,900,1,0,0.0,450.0,5.4000,5.4000,0.0090
188,9,16,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,4.2000,4.2000,0.0070
189,9,17,0,0,0,0,p,AM,900.00,900,1,0,0.0,450.0,5.4000,5.4000,0.0090
190,9,18,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.0000,6.0000,0.0100
191,9,19,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,6.6000,6.6000,0.0110
192,9,20,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,8.4000,8.4000,0.0140
193,9,21,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,8.4000,8.4000,0.0140
194,9,22,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,7.2000,7.2000,0.0120
195,9,23,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,9.6000,9.6000,0.0160
196,9,24,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
197,10,1,0,0,0,0,p,AM,1300.00,1300,1,0,0.0,450.0,10.8000,10.8000,0.0180
198,10,2,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,9.6000,9.6000,0.0160
199,10,3,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,8.4000,8.4000,0.0140
200,10,4,0,0,0,0,p,AM,1200.00,1200,1,0,0.0,450.0,6.0000,6.0000,0.0100
201,10,5,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,4.8000,4.8000,0.0080
202,10,6,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,6.6000,6.6000,0.0110
203,10,7,0,0,0,0,p,AM,1900.00,1900,1,0,0.0,450.0,5.4000,5.4000,0.0090
204,10,8,0,0,0,0,p,AM,1600.00,1600,1,0,0.0,450.0,5.4000,5.4000,0.0090
205,10,9,0,0,0,0,p,AM,2800.00,2800,1,0,0.0,450.0,1.8000,1.8000,0.0030
206,10,11,0,0,0,0,p,AM,4000.00,4000,1,0,0.0,450.0,3.0000,3.0000,0.0050
207,10,12,0,0,0,0,p,AM,2000.00,2000,1,0,0.0,450.0,6.6000,6.6000,0.0110
208,10,13,0,0,0,0,p,AM,1900.00,1900,1,0,0.0,450.0,8.4000,8.4000,0.0140
209,10,14,0,0,0,0,p,AM,2100.00,2100,1,0,0.0,450.0,5.4000,5.4000,0.0090
210,10,15,0,0,0,0,p,AM,4000.00,4000,1,0,0.0,450.0,3.6000,3.6000,0.0060
211,10,16,0,0,0,0,p,AM,4400.00,4400,1,0,0.0,450.0,2.4000,2.4000,0.0040
212,10,17,0,0,0,0,p,AM,3900.00,3900,1,0,0.0,450.0,3.6000,3.6000,0.0060
213,10,18,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,4.2000,4.2000,0.0070
214,10,19,0,0,0,0,p,AM,1800.00,1800,1,0,0.0,450.0,4.8000,4.8000,0.0080
215,10,20,0,0,0,0,p,AM,2500.00,2500,1,0,0.0,450.0,6.6000,6.6000,0.0110
216,10,21,0,0,0,0,p,AM,1200.00,1200,1,0,0.0,450.0,6.6000,6.6000,0.0110
217,10,22,0,0,0,0,p,AM,2600.00,2600,1,0,0.0,450.0,5.4000,5.4000,0.0090
218,10,23,0,0,0,0,p,AM,1800.00,1800,1,0,0.0,450.0,7.8000,7.8000,0.0130
219,10,24,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,8.4000,8.4000,0.0140
220,11,1,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,8.4000,8.4000,0.0140
221,11,2,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,10.2000,10.2000,0.0170
222,11,3,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,6.0000,6.0000,0.0100
223,11,4,0,0,0,0,p,AM,1500.00,1500,1,0,0.0,450.0,3.6000,3.6000,0.0060
224,11,5,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,4.8000,4.8000,0.0080
225,11,6,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,7.2000,7.2000,0.0120
226,11,7,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,8.4000,8.4000,0.0140
227,11,8,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,8.4000,8.4000,0.0140
228,11,9,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,4.8000,4.8000,0.0080
229,11,10,0,0,0,0,p,AM,3900.00,3900,1,0,0.0,450.0,3.0000,3.0000,0.0050
230,11,12,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,3.6000,3.6000,0.0060
231,11,13,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,5.4000,5.4000,0.0090
232,11,14,0,0,0,0,p,AM,1600.00,1600,1,0,0.0,450.0,2.4000,2.4000,0.0040
233,11,15,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,5.4000,5.4000,0.0090
234,11,16,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,5.4000,5.4000,0.0090
235,11,17,0,0,0,0,p,AM,1000.00,1000,1,0,0.0,450.0,6.6000,6.6000,0.0110
236,11,18,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,7.2000,7.2000,0.0120
237,11,19,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,7.2000,7.2000,0.0120
238,11,20,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,9.6000,9.6000,0.0160
239,11,21,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,7.8000,7.8000,0.0130
240,11,22,0,0,0,0,p,AM,1100.00,1100,1,0,0.0,450.0,7.2000,7.2000,0.0120
241,11,23,0,0,0,0,p,AM,1300.00,1300,1,0,0.0,450.0,4.8000,4.8000,0.0080
242,11,24,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,6.0000,6.0000,0.0100
243,12,1,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,4.8000,4.8000,0.0080
244,12,2,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,8.4000,8.4000,0.0140
245,12,3,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,2.4000,2.4000,0.0040
246,12,4,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,4.8000,4.8000,0.0080
247,12,5,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.0000,6.0000,0.0100
248,12,6,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
249,12,7,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,11.4000,11.4000,0.0190
250,12,8,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,9.6000,9.6000,0.0160
251,12,9,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,8.4000,8.4000,0.0140
252,12,10,0,0,0,0,p,AM,2000.00,2000,1,0,0.0,450.0,6.6000,6.6000,0.0110
253,12,11,0,0,0,0,p,AM,1400.00,1400,1,0,0.0,450.0,3.6000,3.6000,0.0060
254,12,13,0,0,0,0,p,AM,1300.00,1300,1,0,0.0,450.0,1.8000,1.8000,0.0030
255,12,14,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,6.0000,6.0000,0.0100
256,12,15,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,9.0000,9.0000,0.0150
257,12,16,0,0,0,0,p,AM,700.00,700,1,0,0.0,450.0,9.0000,9.0000,0.0150
258,12,17,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,10.2000,10.2000,0.0170
259,12,18,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.8000,10.8000,0.0180
260,12,19,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,10.8000,10.8000,0.0180
261,12,20,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,9.6000,9.6000,0.0160
262,12,21,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,6.0000,6.0000,0.0100
