link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,ref_volume,allowed_uses,VDF_alpha,VDF_beta,VDF_plf,VDF_cp,VDF_cd,VDF_n,VDF_s,geometry
49,,49,595,Highway,1,1,0.86267,1,60,49500,3495.58,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.805366 42.090860, -87.793465 42.099866)"
50,,50,596,Highway,1,1,0.86267,1,60,49500,4758,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.861335 42.090860, -87.849432 42.099866)"
51,,51,597,Highway,1,1,0.86267,1,60,49500,1577.3,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.755355 42.131376, -87.743451 42.140382)"
52,,52,598,Highway,1,1,0.86267,1,60,49500,2041.28,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.698196 42.080053, -87.686293 42.089061)"
53,,53,599,Highway,1,1,0.86267,1,60,49500,4665.33,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.747016 42.089060, -87.735115 42.098065)"
54,,54,600,Highway,1,1,0.86267,1,60,49500,1259.87,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.172134 42.050344, -88.160231 42.059349)"
55,,55,601,Highway,1,1,0.86267,1,60,49500,1778.42,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.231673 42.048544, -88.219771 42.057548)"
56,,56,602,Highway,1,1,0.86267,1,60,49500,4297.13,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.172134 42.011629, -88.160231 42.020633)"
57,,57,603,Highway,1,1,0.86267,1,60,49500,1646.85,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.231673 42.011629, -88.219771 42.020633)"
58,,58,604,Highway,1,1,0.86267,1,60,49500,5962.5,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.060195 42.053045, -88.048296 42.062050)"
59,,59,605,Highway,1,1,0.86267,1,60,49500,5225.8,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 42.051245, -88.104263 42.060249)"
60,,60,606,Highway,1,1,0.86267,1,60,49500,5148.46,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.060195 42.016130, -88.048296 42.025135)"
61,,61,607,Highway,1,1,0.86267,1,60,49500,5264.46,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 42.014330, -88.104263 42.023334)"
62,,62,608,Highway,1,1,0.86267,1,60,49500,5472.5,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.950645 42.053946, -87.938742 42.062951)"
63,,63,609,Highway,1,1,0.86267,1,60,49500,3718.92,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.005424 42.053045, -87.993519 42.062050)"
64,,64,610,Highway,1,1,0.86267,1,60,49500,9104.31,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.950645 42.017031, -87.938742 42.026035)"
65,,65,611,Highway,1,1,0.86267,1,60,49500,3468.09,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.004226 42.016130, -87.992328 42.025135)"
66,,66,612,Highway,1,1,0.86267,1,60,49500,6193.35,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.838706 42.054846, -87.826807 42.063851)"
67,,67,613,Highway,1,1,0.86267,1,60,49500,3858.59,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.894675 42.054846, -87.882775 42.063851)"
68,,68,614,Highway,1,1,0.86267,1,60,49500,6526.75,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.838706 42.020632, -87.826807 42.029637)"
69,,69,615,Highway,1,1,0.86267,1,60,49500,6270.57,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.893485 42.019732, -87.881584 42.028737)"
70,,70,616,Highway,1,1,0.86267,1,60,49500,4480.42,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.720824 42.053946, -87.708918 42.062951)"
71,,71,617,Highway,1,1,0.86267,1,60,49500,3979.92,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.781554 42.055746, -87.769649 42.064751)"
72,,72,618,Highway,1,1,0.86267,1,60,49500,7296.66,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.723205 42.026033, -87.711299 42.035039)"
73,,73,619,Highway,1,1,0.86267,1,60,49500,7675.9,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.780357 42.026033, -87.768458 42.035039)"
74,,74,620,Highway,1,1,0.86267,1,60,49500,2642.72,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.683906 42.054846, -87.672003 42.063851)"
75,,75,621,Highway,1,1,0.86267,1,60,49500,2685.23,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.683906 42.034140, -87.672003 42.043142)"
76,,76,622,Highway,1,1,0.86267,1,60,49500,5958.85,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.870864 41.976515, -87.858959 41.985519)"
76,,77,623,Highway,1,1,0.86267,1,60,49500,7998.54,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.894675 41.932398, -87.882775 41.941401)"
76,,78,624,Highway,1,1,0.86267,1,60,49500,6831.44,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.837516 41.927896, -87.825616 41.936899)"
76,,79,625,Highway,1,1,0.86267,1,60,49500,3838.33,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.819656 41.964811, -87.807754 41.973814)"
76,,80,626,Highway,1,1,0.86267,1,60,49500,10315.78,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.833945 41.888281, -87.822044 41.897283)"
76,,81,627,Highway,1,1,0.86267,1,60,49500,8352.05,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.893485 41.887381, -87.881584 41.896383)"
76,,82,628,Highway,1,1,0.86267,1,60,49500,5765.21,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.833945 41.845961, -87.822044 41.854966)"
76,,83,629,Highway,1,1,0.86267,1,60,49500,4294.91,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.889915 41.843260, -87.878011 41.852265)"
76,,84,630,Highway,1,1,0.86267,1,60,49500,6438.08,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.793456 41.889177, -87.781557 41.898183)"
76,,85,631,Highway,1,1,0.86267,1,60,49500,13283.46,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.773216 41.845961, -87.761313 41.854966)"
76,,86,632,Highway,1,1,0.86267,1,60,49500,5293.37,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.830375 41.801844, -87.818471 41.810848)"
76,,87,633,Highway,1,1,0.86267,1,60,49500,5977.54,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.887534 41.800043, -87.875630 41.809047)"
76,,88,634,Highway,1,1,0.86267,1,60,49500,4579.16,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.830375 41.757727, -87.818471 41.766730)"
76,,89,635,Highway,1,1,0.86267,1,60,49500,2370.39,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.887534 41.755926, -87.875630 41.764929)"
76,,90,636,Highway,1,1,0.86267,1,60,49500,2212.55,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.775596 41.813547, -87.763695 41.822553)"
76,,91,637,Highway,1,1,0.86267,1,60,49500,7079.22,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.773216 41.757727, -87.761313 41.766730)"
76,,92,638,Highway,1,1,0.86267,1,60,49500,1746.5,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.969695 41.663187, -87.957795 41.672191)"
76,,93,639,Highway,1,1,0.86267,1,60,49500,4363.86,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.827995 41.714506, -87.816090 41.723512)"
76,,94,640,Highway,1,1,0.86267,1,60,49500,471.02,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.885146 41.712706, -87.873248 41.721712)"
76,,95,641,Highway,1,1,0.86267,1,60,49500,2752.81,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.826804 41.669489, -87.814899 41.678494)"
76,,96,642,Highway,1,1,0.86267,1,60,49500,587.41,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.882766 41.669489, -87.870867 41.678494)"
76,,97,643,Highway,1,1,0.86267,1,60,49500,6304.83,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.714866 41.722612, -87.702964 41.731616)"
76,,98,644,Highway,1,1,0.86267,1,60,49500,8436.92,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.770835 41.715410, -87.758931 41.724413)"
76,,99,645,Highway,1,1,0.86267,1,60,49500,4527.16,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.710105 41.663187, -87.698201 41.672191)"
76,,100,646,Highway,1,1,0.86267,1,60,49500,3592.63,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.769645 41.671289, -87.757741 41.680295)"
76,,101,647,Highway,1,1,0.86267,1,60,49500,3144.71,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.661285 41.660486, -87.649378 41.669490)"
76,,102,648,Highway,1,1,0.86267,1,60,49500,3681.72,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.825614 41.625372, -87.813708 41.634376)"
76,,103,649,Highway,1,1,0.86267,1,60,49500,1743.13,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.880386 41.624472, -87.868485 41.633476)"
76,,104,650,Highway,1,1,0.86267,1,60,49500,3100.18,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.822036 41.582155, -87.810136 41.591158)"
76,,105,651,Highway,1,1,0.86267,1,60,49500,983.63,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.881576 41.581255, -87.869676 41.590258)"
76,,106,652,Highway,1,1,0.86267,1,60,49500,3859.91,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.707725 41.628073, -87.695819 41.637077)"
76,,107,653,Highway,1,1,0.86267,1,60,49500,3630.97,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.767265 41.628073, -87.755359 41.637077)"
76,,108,654,Highway,1,1,0.86267,1,60,49500,3769.1,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.706535 41.583956, -87.694628 41.592959)"
76,,109,655,Highway,1,1,0.86267,1,60,49500,3028.1,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.764877 41.582155, -87.752977 41.591158)"
76,,110,656,Highway,1,1,0.86267,1,60,49500,5660.6,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.589835 41.628073, -87.577930 41.637077)"
76,,111,657,Highway,1,1,0.86267,1,60,49500,5463.48,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.648185 41.629873, -87.636279 41.638878)"
76,,112,658,Highway,1,1,0.86267,1,60,49500,3659.23,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.588645 41.583055, -87.576739 41.592059)"
76,,113,659,Highway,1,1,0.86267,1,60,49500,3784.73,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.646995 41.583055, -87.635088 41.592059)"
76,,114,660,Highway,1,1,0.86267,1,60,49500,2147.45,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.544585 41.628073, -87.532679 41.637077)"
76,,115,661,Highway,1,1,0.86267,1,60,49500,4043.61,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.543395 41.583956, -87.531489 41.592959)"
76,,116,662,Highway,1,1,0.86267,1,60,49500,2374.71,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.705344 41.538939, -87.693437 41.547941)"
76,,117,663,Highway,1,1,0.86267,1,60,49500,824.08,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.761306 41.538939, -87.749405 41.547941)"
76,,118,664,Highway,1,1,0.86267,1,60,49500,4286.07,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.702956 41.494818, -87.691056 41.503823)"
76,,119,665,Highway,1,1,0.86267,1,60,49500,1278.87,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.760116 41.494818, -87.748214 41.503823)"
76,,120,666,Highway,1,1,0.86267,1,60,49500,1507.37,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.588645 41.538939, -87.576739 41.547941)"
76,,121,667,Highway,1,1,0.86267,1,60,49500,3785.82,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.646995 41.538939, -87.635088 41.547941)"
76,,122,668,Highway,1,1,0.86267,1,60,49500,1943.73,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.587455 41.495718, -87.575548 41.504723)"
76,,123,669,Highway,1,1,0.86267,1,60,49500,4281.93,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.645805 41.495718, -87.633897 41.504723)"
76,,124,670,Highway,1,1,0.86267,1,60,49500,1800.85,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.542205 41.520929, -87.530298 41.529933)"
76,,125,671,Highway,1,1,0.86267,1,60,49500,2224.15,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.174514 41.969313, -88.162613 41.978316)"
76,,126,672,Highway,1,1,0.86267,1,60,49500,507.29,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.230483 41.966612, -88.218580 41.975615)"
76,,127,673,Highway,1,1,0.86267,1,60,49500,2137.82,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.172134 41.925196, -88.160231 41.934198)"
76,,128,674,Highway,1,1,0.86267,1,60,49500,864.15,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.231673 41.922495, -88.219771 41.931497)"
76,,129,675,Highway,1,1,0.86267,1,60,49500,3848.75,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.062576 41.970213, -88.050677 41.979216)"
76,,130,676,Highway,1,1,0.86267,1,60,49500,2993.41,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 41.968412, -88.104263 41.977416)"
76,,131,677,Highway,1,1,0.86267,1,60,49500,5005.8,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.060195 41.928797, -88.048296 41.937800)"
76,,132,678,Highway,1,1,0.86267,1,60,49500,3968.5,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 41.926092, -88.104263 41.935098)"
76,,133,679,Highway,1,1,0.86267,1,60,49500,5192.12,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.962554 41.972914, -87.950650 41.981918)"
76,,134,680,Highway,1,1,0.86267,1,60,49500,3356.65,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.005424 41.972914, -87.993519 41.981918)"
76,,135,681,Highway,1,1,0.86267,1,60,49500,5479.75,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.950645 41.928797, -87.938742 41.937800)"
76,,136,682,Highway,1,1,0.86267,1,60,49500,6391.22,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.007804 41.927896, -87.995901 41.936899)"
76,,137,683,Highway,1,1,0.86267,1,60,49500,2348.41,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.174514 41.879274, -88.162613 41.888279)"
76,,138,684,Highway,1,1,0.86267,1,60,49500,1466.59,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.231673 41.879274, -88.219771 41.888279)"
76,,139,685,Highway,1,1,0.86267,1,60,49500,1631.54,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.175704 41.837858, -88.163803 41.846863)"
76,,140,686,Highway,1,1,0.86267,1,60,49500,1097.23,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.230483 41.836058, -88.218580 41.845062)"
76,,141,687,Highway,1,1,0.86267,1,60,49500,5293.44,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.061385 41.883776, -88.049487 41.892781)"
76,,142,688,Highway,1,1,0.86267,1,60,49500,5106.13,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 41.881975, -88.104263 41.890980)"
76,,143,689,Highway,1,1,0.86267,1,60,49500,4074.25,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.061385 41.840559, -88.049487 41.849564)"
76,,144,690,Highway,1,1,0.86267,1,60,49500,3079.56,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 41.837858, -88.104263 41.846863)"
76,,145,691,Highway,1,1,0.86267,1,60,49500,7191.34,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.950645 41.886476, -87.938742 41.895482)"
76,,146,692,Highway,1,1,0.86267,1,60,49500,6930.25,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.004226 41.883776, -87.992328 41.892781)"
76,,147,693,Highway,1,1,0.86267,1,60,49500,6262.2,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.947074 41.841459, -87.935170 41.850464)"
76,,148,694,Highway,1,1,0.86267,1,60,49500,6643.95,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.005424 41.840559, -87.993519 41.849564)"
76,,149,695,Highway,1,1,0.86267,1,60,49500,4165.68,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.174514 41.792841, -88.162613 41.801844)"
76,,150,696,Highway,1,1,0.86267,1,60,49500,1467.5,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.232864 41.792841, -88.220962 41.801844)"
76,,151,697,Highway,1,1,0.86267,1,60,49500,1718.33,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.173324 41.749620, -88.161422 41.758627)"
76,,152,698,Highway,1,1,0.86267,1,60,49500,2461.4,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.231673 41.747824, -88.219771 41.756826)"
76,,153,699,Highway,1,1,0.86267,1,60,49500,4432.8,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.060195 41.794641, -88.048296 41.803645)"
76,,154,700,Highway,1,1,0.86267,1,60,49500,5126.12,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.116164 41.794641, -88.104263 41.803645)"
76,,155,701,Highway,1,1,0.86267,1,60,49500,4469.1,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.059005 41.752325, -88.047105 41.761328)"
76,,156,702,Highway,1,1,0.86267,1,60,49500,4347.7,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.114974 41.749620, -88.103073 41.758627)"
76,,157,703,Highway,1,1,0.86267,1,60,49500,5850.4,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.947074 41.796442, -87.935170 41.805446)"
76,,158,704,Highway,1,1,0.86267,1,60,49500,6246.55,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.003036 41.796442, -87.991137 41.805446)"
76,,159,705,Highway,1,1,0.86267,1,60,49500,4582.57,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.944694 41.755926, -87.932788 41.764929)"
76,,160,706,Highway,1,1,0.86267,1,60,49500,5079.87,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.001846 41.754126, -87.989947 41.763128)"
76,,161,707,Highway,1,1,0.86267,1,60,49500,1761.8,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.974464 41.710909, -87.962558 41.719911)"
76,,162,708,Highway,1,1,0.86267,1,60,49500,642.7,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.521033 42.113371, -88.509135 42.122375)"
