link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,density,geometry,notes
28,10,15,,,0700_0800,22471.788,12.885,27.939,0.466,1.7,13512.002,0,0,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",period-based
29,10,16,,,0700_0800,11370.814,22.055,10.882,0.181,2.3,4854.918,0,0,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",period-based
30,10,17,,,0700_0800,8099.999,16.308,29.433,0.491,1.6,4993.511,0,0,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",period-based
31,11,4,,,0700_0800,5449.169,7.367,48.869,0.814,1.1,4908.827,0,0,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",period-based
32,11,10,,,0700_0800,17464.998,11.978,25.046,0.417,1.7,10000.000,0,0,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",period-based
33,11,12,,,0700_0800,8377.523,13.635,26.403,0.440,1.7,4908.827,0,0,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",period-based
34,11,14,,,0700_0800,9587.551,12.965,18.512,0.309,2.0,4876.508,0,0,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",period-based
35,12,3,,,0700_0800,10279.790,4.022,59.667,0.994,0.4,23403.473,0,0,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",period-based
36,12,11,,,0700_0800,8460.421,13.941,25.822,0.430,1.7,4908.827,0,0,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",period-based
37,12,13,,,0700_0800,13227.404,3.031,59.394,0.990,0.5,25900.201,0,0,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",period-based
38,13,12,,,0700_0800,13316.305,3.031,59.378,0.990,0.5,25900.201,0,0,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",period-based
39,13,24,,,0700_0800,10975.703,16.959,14.152,0.236,2.2,5091.256,0,0,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",period-based
40,14,11,,,0700_0800,9661.071,13.243,18.123,0.302,2.0,4876.508,0,0,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",period-based
41,14,15,,,0700_0800,8967.316,12.016,24.967,0.416,1.7,5127.526,0,0,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",period-based
42,14,23,,,0700_0800,8224.451,8.667,27.692,0.462,1.7,4924.791,0,0,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",period-based
43,15,10,,,0700_0800,22484.833,12.901,27.904,0.465,1.7,13512.002,0,0,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",period-based
44,15,14,,,0700_0800,9041.502,12.251,24.488,0.408,1.8,5127.526,0,0,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",period-based
45,15,19,,,0700_0800,17955.973,4.040,44.560,0.743,1.2,14564.753,0,0,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",period-based
46,15,22,,,0700_0800,18078.321,8.661,20.782,0.346,1.9,9599.181,0,0,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",period-based
47,16,8,,,0700_0800,8596.646,11.319,26.504,0.442,1.7,5045.823,0,0,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",period-based
48,16,10,,,0700_0800,11376.531,22.091,10.864,0.181,2.3,4854.918,0,0,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",period-based
49,16,17,,,0700_0800,10895.548,7.651,15.684,0.261,2.1,5229.910,0,0,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",period-based
50,16,18,,,0700_0800,16700.589,3.233,55.669,0.928,0.8,19679.897,0,0,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",period-based
51,17,10,,,0700_0800,8100.000,16.308,29.433,0.491,1.6,4993.511,0,0,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",period-based
52,17,16,,,0700_0800,10905.319,7.671,15.642,0.261,2.1,5229.910,0,0,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",period-based
53,17,19,,,0700_0800,9948.754,7.427,16.157,0.269,2.1,4823.951,0,0,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",period-based
54,18,7,,,0700_0800,15708.295,2.061,58.227,0.970,0.7,23403.473,0,0,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",period-based
55,18,16,,,0700_0800,16727.612,3.235,55.643,0.927,0.8,19679.897,0,0,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",period-based
56,18,20,,,0700_0800,20692.294,4.367,54.962,0.916,0.9,23403.473,0,0,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",period-based
57,19,15,,,0700_0800,17964.595,4.042,44.538,0.742,1.2,14564.753,0,0,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",period-based
58,19,17,,,0700_0800,9958.525,7.449,16.110,0.269,2.1,4823.951,0,0,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",period-based
59,19,20,,,0700_0800,7899.545,7.731,31.046,0.517,1.6,5002.608,0,0,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",period-based
60,20,18,,,0700_0800,20707.056,4.368,54.949,0.916,0.9,23403.473,0,0,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",period-based
61,20,19,,,0700_0800,7917.937,7.765,30.906,0.515,1.6,5002.608,0,0,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",period-based
62,20,21,,,0700_0800,6445.915,8.370,43.009,0.717,1.3,5059.912,0,0,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",period-based
63,20,22,,,0700_0800,7000.000,7.713,38.895,0.648,1.4,5075.697,0,0,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",period-based
64,21,20,,,0700_0800,6379.069,8.274,43.512,0.725,1.3,5059.912,0,0,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",period-based
65,21,22,,,0700_0800,8315.617,3.917,30.632,0.511,1.6,5229.910,0,0,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",period-based
66,21,24,,,0700_0800,10299.106,11.888,15.141,0.252,2.1,4885.358,0,0,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",period-based
67,22,15,,,0700_0800,18056.932,8.634,20.847,0.347,1.9,9599.181,0,0,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",period-based
68,22,20,,,0700_0800,7000.000,7.713,38.895,0.648,1.4,5075.697,0,0,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)",period-based
69,22,21,,,0700_0800,8299.461,3.903,30.749,0.512,1.6,5229.910,0,0,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)",period-based
70,22,23,,,0700_0800,9604.387,12.169,19.723,0.329,1.9,5000.000,0,0,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)",period-based
71,23,14,,,0700_0800,8223.785,8.665,27.696,0.462,1.7,4924.791,0,0,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)",period-based
72,23,22,,,0700_0800,9566.842,12.042,19.931,0.332,1.9,5000.000,0,0,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)",period-based
73,23,24,,,0700_0800,7742.694,3.621,33.141,0.552,1.5,5078.508,0,0,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)",period-based
74,24,13,,,0700_0800,10964.604,16.907,14.195,0.237,2.2,5091.256,0,0,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)",period-based
75,24,21,,,0700_0800,10248.417,11.715,15.365,0.256,2.1,4885.358,0,0,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",period-based
76,24,23,,,0700_0800,7704.482,3.589,33.435,0.557,1.5,5078.508,0,0,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",period-based
