link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,avg_waiting_time_in_min,congestion_duration_in_h,geometry,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,notes
25,9,10,,,0700_0800,16999.999,1.800,0.062,0.001,1.2,13915.788,0.000,0.000,1.292,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
26,10,9,,,0700_0800,17099.999,1.800,0.062,0.001,1.2,13915.788,0.000,0.000,1.302,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
27,10,11,,,0700_0800,22099.999,3.000,0.062,0.001,2.2,10000.000,0.000,0.000,2.759,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
28,10,15,,,0700_0800,11199.999,3.600,0.062,0.001,0.8,13512.002,0.000,0.000,0.786,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
29,10,16,,,0700_0800,28199.999,2.400,0.062,0.001,5.8,4854.918,0.000,0.000,9.506,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
30,10,17,,,0700_0800,0.000,4.800,0.062,0.001,0.0,4993.511,0.000,0.000,0.000,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,period-based
31,11,4,,,0700_0800,6700.000,3.600,0.062,0.001,1.4,4908.827,0.000,0.000,1.489,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
32,11,10,,,0700_0800,21299.999,3.000,0.062,0.001,2.1,10000.000,0.000,0.000,2.632,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
33,11,12,,,0700_0800,11299.999,3.600,0.062,0.001,2.3,4908.827,0.000,0.000,2.907,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
34,11,14,,,0700_0800,17399.999,2.400,0.062,0.001,3.6,4876.508,0.000,0.000,5.095,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
35,12,3,,,0700_0800,6800.000,2.400,0.062,0.001,0.3,23403.473,0.000,0.000,0.206,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
36,12,11,,,0700_0800,11299.999,3.600,0.062,0.001,2.3,4908.827,0.000,0.000,2.907,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
37,12,13,,,0700_0800,12099.999,1.800,0.062,0.001,0.5,25900.201,0.000,0.000,0.378,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
38,13,12,,,0700_0800,12099.999,1.800,0.062,0.001,0.5,25900.201,0.000,0.000,0.378,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
39,13,24,,,0700_0800,10899.999,2.400,0.062,0.001,2.1,5091.256,0.000,0.000,2.650,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
40,14,11,,,0700_0800,16799.999,2.400,0.062,0.001,3.4,4876.508,0.000,0.000,4.871,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
41,14,15,,,0700_0800,11299.999,3.000,0.062,0.001,2.2,5127.526,0.000,0.000,2.750,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
42,14,23,,,0700_0800,7800.000,2.400,0.062,0.001,1.6,4924.791,0.000,0.000,1.801,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
43,15,10,,,0700_0800,11299.999,3.600,0.062,0.001,0.8,13512.002,0.000,0.000,0.795,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
44,15,14,,,0700_0800,10799.999,3.000,0.062,0.001,2.1,5127.526,0.000,0.000,2.595,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
45,15,19,,,0700_0800,18999.999,1.800,0.062,0.001,1.3,14564.753,0.000,0.000,1.405,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
46,15,22,,,0700_0800,22899.999,1.800,0.062,0.001,2.4,9599.181,0.000,0.000,3.043,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
47,16,8,,,0700_0800,15499.999,3.000,0.062,0.001,3.1,5045.823,0.000,0.000,4.206,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
48,16,10,,,0700_0800,28899.999,2.400,0.062,0.001,6.0,4854.918,0.000,0.000,9.809,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
49,16,17,,,0700_0800,26699.998,1.200,0.062,0.001,5.1,5229.910,0.000,0.000,8.059,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
50,16,18,,,0700_0800,14099.999,1.800,0.062,0.001,0.7,19679.897,0.000,0.000,0.653,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
51,17,10,,,0700_0800,0.000,4.800,0.062,0.001,0.0,4993.511,0.000,0.000,0.000,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,period-based
52,17,16,,,0700_0800,26699.998,1.200,0.062,0.001,5.1,5229.910,0.000,0.000,8.059,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
53,17,19,,,0700_0800,21899.999,1.200,0.062,0.001,4.5,4823.951,0.000,0.000,6.934,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
54,18,7,,,0700_0800,13199.999,1.200,0.062,0.001,0.6,23403.473,0.000,0.000,0.480,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
55,18,16,,,0700_0800,14799.999,1.800,0.062,0.001,0.8,19679.897,0.000,0.000,0.694,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
56,18,20,,,0700_0800,11500.000,2.400,0.062,0.001,0.5,23403.473,0.000,0.000,0.403,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
57,19,15,,,0700_0800,18399.999,1.800,0.062,0.001,1.3,14564.753,0.000,0.000,1.349,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
58,19,17,,,0700_0800,21899.999,1.200,0.062,0.001,4.5,4823.951,0.000,0.000,6.934,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
59,19,20,,,0700_0800,5100.000,2.400,0.062,0.001,1.0,5002.608,0.000,0.000,1.025,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
60,20,18,,,0700_0800,12199.999,2.400,0.062,0.001,0.5,23403.473,0.000,0.000,0.434,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
61,20,19,,,0700_0800,4500.000,2.400,0.062,0.001,0.9,5002.608,0.000,0.000,0.873,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
62,20,21,,,0700_0800,4400.000,3.600,0.062,0.001,0.9,5059.912,0.000,0.000,0.836,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
63,20,22,,,0700_0800,5300.000,3.000,0.062,0.001,1.0,5075.697,0.000,0.000,1.057,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
64,21,20,,,0700_0800,4300.000,3.600,0.062,0.001,0.8,5059.912,0.000,0.000,0.812,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
65,21,22,,,0700_0800,13099.999,1.200,0.062,0.001,2.5,5229.910,0.000,0.000,3.239,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
66,21,24,,,0700_0800,12799.999,1.800,0.062,0.001,2.6,4885.358,0.000,0.000,3.431,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
67,22,15,,,0700_0800,22999.999,1.800,0.062,0.001,2.4,9599.181,0.000,0.000,3.060,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
68,22,20,,,0700_0800,5400.000,3.000,0.062,0.001,1.1,5075.697,0.000,0.000,1.083,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
69,22,21,,,0700_0800,12999.999,1.200,0.062,0.001,2.5,5229.910,0.000,0.000,3.208,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
70,22,23,,,0700_0800,5800.000,2.400,0.062,0.001,1.2,5000.000,0.000,0.000,1.209,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
71,23,14,,,0700_0800,7700.000,2.400,0.062,0.001,1.6,4924.791,0.000,0.000,1.772,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
72,23,22,,,0700_0800,5900.000,2.400,0.062,0.001,1.2,5000.000,0.000,0.000,1.236,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
73,23,24,,,0700_0800,5700.000,1.200,0.062,0.001,1.1,5078.508,0.000,0.000,1.159,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
74,24,13,,,0700_0800,10799.999,2.400,0.062,0.001,2.1,5091.256,0.000,0.000,2.618,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
75,24,21,,,0700_0800,12799.999,1.800,0.062,0.001,2.6,4885.358,0.000,0.000,3.431,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
76,24,23,,,0700_0800,5700.000,1.200,0.062,0.001,1.1,5078.508,0.000,0.000,1.159,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
