zone_id,activity_nodes,x_coord,y_coord,geometry,production,attraction,bin_index
82,82,,,,6214.94,6214.94,3
83,83,,,,4504.89,4504.89,2
84,84,,,,6829.57,6829.57,3
85,85,,,,15262.77,15262.77,7
86,86,,,,5598.18,5598.18,2
87,87,,,,6434.93,6434.93,3
88,88,,,,4826.56,4826.56,2
89,89,,,,2419.77,2419.77,1
90,90,,,,2266.82,2266.82,1
91,91,,,,7831.03,7831.03,3
92,92,,,,1803.96,1803.96,0
93,93,,,,4668.27,4668.27,2
94,94,,,,474.14,474.14,0
95,95,,,,2911.21,2911.21,1
96,96,,,,595.65,595.65,0
97,97,,,,6975.49,6975.49,3
98,98,,,,9321.53,9321.53,4
99,99,,,,4803.64,4803.64,2
100,100,,,,3814.86,3814.86,1
101,101,,,,3260.83,3260.83,1
102,102,,,,4006.54,4006.54,2
103,103,,,,1838.38,1838.38,0
104,104,,,,3389.93,3389.93,1
105,105,,,,1027.58,1027.58,0
106,106,,,,4064.22,4064.22,2
107,107,,,,3816.96,3816.96,1
108,108,,,,4004.4,4004.4,2
109,109,,,,3230.38,3230.38,1
110,110,,,,6149.31,6149.31,3
111,111,,,,5954.37,5954.37,2
112,112,,,,3895.13,3895.13,1
113,113,,,,4114.29,4114.29,2
114,114,,,,2198.65,2198.65,1
115,115,,,,4388.55,4388.55,2
116,116,,,,2505.55,2505.55,1
117,117,,,,835.01,835.01,0
118,118,,,,4923.43,4923.43,2
119,119,,,,1324.44,1324.44,0
120,120,,,,1561.79,1561.79,0
121,121,,,,4122.99,4122.99,2
122,122,,,,2054.24,2054.24,1
123,123,,,,4953.26,4953.26,2
124,124,,,,1861.44,1861.44,0
125,125,,,,2287.24,2287.24,1
126,126,,,,511.17,511.17,0
127,127,,,,2205.66,2205.66,1
128,128,,,,895.62,895.62,0
129,129,,,,4073.49,4073.49,2
130,130,,,,3093.37,3093.37,1
131,131,,,,5316.4,5316.4,2
132,132,,,,4281.18,4281.18,2
133,133,,,,5668.25,5668.25,2
134,134,,,,3575.67,3575.67,1
135,135,,,,5876.17,5876.17,2
136,136,,,,7013.9,7013.9,3
137,137,,,,2446.03,2446.03,1
138,138,,,,1511.44,1511.44,0
139,139,,,,1674.75,1674.75,0
140,140,,,,1156.42,1156.42,0
141,141,,,,5596.74,5596.74,2
142,142,,,,5739.55,5739.55,2
143,143,,,,4335.93,4335.93,2
144,144,,,,3197.69,3197.69,1
145,145,,,,7641.79,7641.79,3
146,146,,,,7346.03,7346.03,3
147,147,,,,7081.45,7081.45,3
148,148,,,,7583.99,7583.99,3
149,149,,,,4624.56,4624.56,2
150,150,,,,1522.77,1522.77,0
151,151,,,,1793.48,1793.48,0
152,152,,,,2680,2680,1
153,153,,,,4725.54,4725.54,2
154,154,,,,5796.53,5796.53,2
155,155,,,,4665.29,4665.29,2
156,156,,,,4613.17,4613.17,2
157,157,,,,6319.32,6319.32,3
158,158,,,,6692.78,6692.78,3
159,159,,,,4918.31,4918.31,2
160,160,,,,5369.49,5369.49,2
161,161,,,,1833.56,1833.56,0
162,162,,,,677.51,677.51,0
163,163,,,,421.97,421.97,0
164,164,,,,2657.97,2657.97,1
165,165,,,,466.68,466.68,0
166,166,,,,2737.91,2737.91,1
167,167,,,,1213.32,1213.32,0
168,168,,,,268.16,268.16,0
169,169,,,,564.3,564.3,0
170,170,,,,6450.36,6450.36,3
171,171,,,,1136.3,1136.3,0
172,172,,,,3380.57,3380.57,1
173,173,,,,616.83,616.83,0
174,174,,,,336.87,336.87,0
175,175,,,,1274.58,1274.58,0
176,176,,,,824.23,824.23,0
177,177,,,,426.46,426.46,0
178,178,,,,2902.17,2902.17,1
179,179,,,,1930.78,1930.78,0
180,180,,,,302.33,302.33,0
181,181,,,,661.09,661.09,0
182,182,,,,2486.92,2486.92,1
183,183,,,,1245.91,1245.91,0
184,184,,,,1529.86,1529.86,0
185,185,,,,982.02,982.02,0
186,186,,,,473.03,473.03,0
187,187,,,,958.18,958.18,0
188,188,,,,3311.44,3311.44,1
189,189,,,,4076.26,4076.26,2
190,190,,,,5617.95,5617.95,2
191,191,,,,4678.38,4678.38,2
192,192,,,,1323.92,1323.92,0
193,193,,,,154.63,154.63,0
194,194,,,,1409.44,1409.44,0
195,195,,,,930.28,930.28,0
196,196,,,,758.99,758.99,0
197,197,,,,743.61,743.61,0
198,198,,,,2650.55,2650.55,1
199,199,,,,3318.05,3318.05,1
200,200,,,,2814.62,2814.62,1
201,201,,,,1161.68,1161.68,0
202,202,,,,1768.38,1768.38,0
203,203,,,,1622.75,1622.75,0
204,204,,,,2112.7,2112.7,1
205,205,,,,2206.43,2206.43,1
206,206,,,,718.9,718.9,0
207,207,,,,2135.17,2135.17,1
208,208,,,,1538.68,1538.68,0
209,209,,,,5123.93,5123.93,2
210,210,,,,7772.04,7772.04,3
211,211,,,,2279.55,2279.55,1
212,212,,,,510,510,0
213,213,,,,126.94,126.94,0
214,214,,,,1478.3,1478.3,0
215,215,,,,207.26,207.26,0
216,216,,,,1386.9,1386.9,0
217,217,,,,1823.16,1823.16,0
218,218,,,,1429.35,1429.35,0
219,219,,,,4565.25,4565.25,2
220,220,,,,4967.2,4967.2,2
221,221,,,,2690.5,2690.5,1
222,222,,,,3139.03,3139.03,1
223,223,,,,878.16,878.16,0
224,224,,,,1495.77,1495.77,0
225,225,,,,1099.6,1099.6,0
226,226,,,,2222.88,2222.88,1
227,227,,,,1072.8,1072.8,0
228,228,,,,2340.06,2340.06,1
229,229,,,,2496.79,2496.79,1
230,230,,,,3162.18,3162.18,1
231,231,,,,3483.87,3483.87,1
232,232,,,,4362.72,4362.72,2
233,233,,,,4402.43,4402.43,2
234,234,,,,1110.13,1110.13,0
235,235,,,,245.55,245.55,0
236,236,,,,384.1,384.1,0
237,237,,,,862.73,862.73,0
238,238,,,,306.72,306.72,0
239,239,,,,567.71,567.71,0
240,240,,,,346.27,346.27,0
241,241,,,,1273.71,1273.71,0
242,242,,,,373.69,373.69,0
243,243,,,,641.08,641.08,0
244,244,,,,2186.64,2186.64,1
245,245,,,,956.77,956.77,0
246,246,,,,1245.02,1245.02,0
247,247,,,,1202.77,1202.77,0
248,248,,,,382.76,382.76,0
249,249,,,,2840.42,2840.42,1
250,250,,,,646.95,646.95,0
251,251,,,,287.51,287.51,0
252,252,,,,675.67,675.67,0
253,253,,,,1498.14,1498.14,0
254,254,,,,964.46,964.46,0
255,255,,,,307.82,307.82,0
256,256,,,,505.81,505.81,0
257,257,,,,1592.17,1592.17,0
258,258,,,,1832.27,1832.27,0
259,259,,,,3528.84,3528.84,1
260,260,,,,1621.09,1621.09,0
261,261,,,,1342.28,1342.28,0
262,262,,,,1457.35,1457.35,0
263,263,,,,969.56,969.56,0
264,264,,,,345.94,345.94,0
265,265,,,,128.45,128.45,0
266,266,,,,137.5,137.5,0
267,267,,,,3368.16,3368.16,1
268,268,,,,2036.55,2036.55,1
269,269,,,,1437.54,1437.54,0
270,270,,,,1068.65,1068.65,0
271,271,,,,475.61,475.61,0
272,272,,,,610.68,610.68,0
273,273,,,,1541.94,1541.94,0
274,274,,,,199.45,199.45,0
275,275,,,,1389.01,1389.01,0
276,276,,,,554.33,554.33,0
277,277,,,,1518.02,1518.02,0
278,278,,,,1179.36,1179.36,0
279,279,,,,1400.82,1400.82,0
280,280,,,,685.52,685.52,0
281,281,,,,363.38,363.38,0
282,282,,,,201.52,201.52,0
283,283,,,,2195.15,2195.15,1
284,284,,,,476.86,476.86,0
285,285,,,,700.63,700.63,0
286,286,,,,307.42,307.42,0
287,287,,,,4086.63,4086.63,2
288,288,,,,7140.63,7140.63,3
289,289,,,,1157.82,1157.82,0
290,290,,,,920.23,920.23,0
291,291,,,,839.3,839.3,0
292,292,,,,742.45,742.45,0
293,293,,,,648.4,648.4,0
294,294,,,,712.22,712.22,0
295,295,,,,866.93,866.93,0
296,296,,,,1303.12,1303.12,0
297,297,,,,950.75,950.75,0
298,298,,,,518.72,518.72,0
299,299,,,,977.63,977.63,0
300,300,,,,414.89,414.89,0
301,301,,,,538.3,538.3,0
302,302,,,,247.72,247.72,0
303,303,,,,1697.02,1697.02,0
304,304,,,,668.89,668.89,0
305,305,,,,1447.06,1447.06,0
306,306,,,,214.33,214.33,0
307,307,,,,344.38,344.38,0
308,308,,,,337.5,337.5,0
309,309,,,,1030.33,1030.33,0
310,310,,,,102.74,102.74,0
311,311,,,,106.59,106.59,0
312,312,,,,539.84,539.84,0
313,313,,,,225.93,225.93,0
314,314,,,,517.57,517.57,0
315,315,,,,86.41,86.41,0
316,316,,,,853.36,853.36,0
317,317,,,,185.84,185.84,0
318,318,,,,1279.78,1279.78,0
319,319,,,,1043.38,1043.38,0
320,320,,,,3307.71,3307.71,1
321,321,,,,395.33,395.33,0
322,322,,,,618.06,618.06,0
323,323,,,,151.94,151.94,0
324,324,,,,218.48,218.48,0
325,325,,,,105.34,105.34,0
326,326,,,,124.25,124.25,0
327,327,,,,62.27,62.27,0
328,328,,,,685.69,685.69,0
329,329,,,,713.13,713.13,0
330,330,,,,344.61,344.61,0
331,331,,,,1859.68,1859.68,0
332,332,,,,981.64,981.64,0
333,333,,,,82.96,82.96,0
334,334,,,,180.73,180.73,0
335,335,,,,641.35,641.35,0
336,336,,,,60.36,60.36,0
337,337,,,,73.73,73.73,0
338,338,,,,367.32,367.32,0
339,339,,,,109.25,109.25,0
340,340,,,,613.45,613.45,0
341,341,,,,90.9,90.9,0
342,342,,,,295.51,295.51,0
343,343,,,,138.54,138.54,0
344,344,,,,147.27,147.27,0
345,345,,,,572.98,572.98,0
346,346,,,,4093.01,4093.01,2
347,347,,,,357.64,357.64,0
348,348,,,,417.05,417.05,0
349,349,,,,157.97,157.97,0
350,350,,,,233.74,233.74,0
351,351,,,,3872.22,3872.22,1
352,352,,,,693.31,693.31,0
353,353,,,,312.77,312.77,0
354,354,,,,258.18,258.18,0
355,355,,,,270.67,270.67,0
356,356,,,,22604.66,22604.66,11
357,357,,,,16451.99,16451.99,8
358,358,,,,4856.1,4856.1,2
359,359,,,,6264.36,6264.36,3
360,360,,,,5367.01,5367.01,2
361,361,,,,976.83,976.83,0
362,362,,,,3204.62,3204.62,1
363,363,,,,577.52,577.52,0
364,364,,,,535.58,535.58,0
365,365,,,,1178.18,1178.18,0
366,366,,,,191.46,191.46,0
367,367,,,,4767.06,4767.06,2
368,368,,,,1889.3,1889.3,0
369,369,,,,345.33,345.33,0
370,370,,,,662.38,662.38,0
371,371,,,,623.73,623.73,0
372,372,,,,677.19,677.19,0
373,373,,,,1388.46,1388.46,0
374,374,,,,1630.19,1630.19,0
375,375,,,,1063.28,1063.28,0
376,376,,,,13357.89,13357.89,6
377,377,,,,1689,1689,0
378,378,,,,189,189,0
379,379,,,,1280,1280,0
380,380,,,,484,484,0
381,381,,,,1903,1903,0
382,382,,,,1555,1555,0
383,383,,,,724,724,0
384,384,,,,0,0,0
385,385,,,,157,157,0
386,386,,,,22,22,0
387,387,,,,5917,5917,2
