name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
,62,20,21,freeway,1,6,1,5059.91234,60,1,0,6,5059.91234,0.15,4,1,1,100
,63,20,22,freeway,1,5,1,5075.697193,60,1,0,5,5075.697193,0.15,4,1,1,100
,64,21,20,freeway,1,6,1,5059.91234,60,1,0,6,5059.91234,0.15,4,1,1,100
,65,21,22,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,1,1,100
,66,21,24,freeway,1,3,1,4885.357564,60,1,0,3,4885.357564,0.15,4,1,1,100
,67,22,15,freeway,1,3,1,9599.180565,60,1,0,3,9599.180565,0.15,4,1,1,100
,68,22,20,freeway,1,5,1,5075.697193,60,1,0,5,5075.697193,0.15,4,1,1,100
,69,22,21,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,1,1,100
,70,22,23,freeway,1,4,1,5000,60,1,0,4,5000,0.15,4,1,1,100
,71,23,14,freeway,1,4,1,4924.790605,60,1,0,4,4924.790605,0.15,4,1,1,100
,72,23,22,freeway,1,4,1,5000,60,1,0,4,5000,0.15,4,1,1,100
,73,23,24,freeway,1,2,1,5078.508436,60,1,0,2,5078.508436,0.15,4,1,1,100
,74,24,13,freeway,1,4,1,5091.256152,60,1,0,4,5091.256152,0.15,4,1,1,100
,75,24,21,freeway,1,3,1,4885.357564,60,1,0,3,4885.357564,0.15,4,1,1,100
,76,24,23,freeway,1,2,1,5078.508436,60,1,0,2,5078.508436,0.15,4,1,1,100
