agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,geometry
22,1,14,2,p,AM,0.00,0.0,34.9414,18.0000,1;3;12;11;14;,,0758;0802;0806;0820;0833;,478.48;482.49;486.52;500.46;513.42;,4.01;4.02;13.94;12.96;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)"
23,1,14,1,p,AM,0.00,0.0,40.2794,21.0000,1;3;12;13;24;23;14;,,0833;0837;0841;0844;0901;0905;0913;,513.42;517.43;521.46;524.49;541.45;545.04;553.70;,4.01;4.02;3.03;16.96;3.59;8.67;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.751035 43.529306)"
24,1,15,3,p,AM,0.00,0.0,40.3800,25.0000,1;3;4;11;10;15;,,0730;0734;0738;0745;0757;0810;,450.00;454.01;458.35;465.52;477.49;490.38;,4.01;4.34;7.17;11.98;12.89;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401)"
25,1,15,1,p,AM,500.00,0.0,38.9722,24.0000,1;3;4;5;9;10;15;,,0810;0814;0818;0821;0830;0836;0849;,490.38;494.39;498.73;501.11;510.69;516.47;529.35;,4.01;4.34;2.39;9.57;5.78;12.89;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)"
26,1,15,0,p,AM,0.00,0.0,40.4975,23.0000,1;3;4;11;14;15;,,0849;0853;0857;0904;0917;0929;,529.35;533.36;537.70;544.87;557.83;569.85;,4.01;4.34;7.17;12.96;12.02;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)"
27,1,15,4,p,AM,0.00,0.0,46.8397,25.0000,1;3;12;11;10;15;,,0929;0933;0937;0951;1003;1016;,569.85;573.86;577.88;591.83;603.80;616.69;,4.01;4.02;13.94;11.98;12.89;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401)"
28,1,15,2,p,AM,0.00,0.0,46.9573,23.0000,1;3;12;11;14;15;,,1016;1020;1024;1038;1051;1103;,616.69;620.70;624.72;638.67;651.63;663.65;,4.01;4.02;13.94;12.96;12.02;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)"
29,1,16,0,p,AM,454.16,0.0,39.5014,18.0000,1;2;6;8;16;,,0730;0736;0742;0758;0809;,450.00;456.00;462.12;478.27;489.50;,6.00;6.12;16.15;11.23;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744)"
30,1,16,3,p,AM,0.00,0.0,48.1418,22.0000,1;3;4;5;9;10;16;,,0809;0813;0817;0820;0829;0835;0857;,489.50;493.51;497.85;500.24;509.81;515.59;537.64;,4.01;4.34;2.39;9.57;5.78;22.05;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744)"
31,1,16,2,p,AM,45.84,0.0,39.4996,21.0000,1;2;6;8;7;18;16;,,0857;0903;0909;0925;0931;0933;0937;,537.64;543.64;549.77;565.92;571.85;573.91;577.14;,6.00;6.12;16.15;5.93;2.06;3.23;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)"
32,1,16,1,p,AM,0.00,0.0,47.5836,33.0000,1;3;4;5;9;8;7;18;16;,,0937;0941;0945;0947;0957;1013;1019;1021;1024;,577.14;581.15;585.49;587.88;597.45;613.50;619.43;621.49;624.73;,4.01;4.34;2.39;9.57;16.05;5.93;2.06;3.23;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)"
33,1,17,3,p,AM,0.00,0.0,43.8028,27.0000,1;3;4;11;10;17;,,0730;0734;0738;0745;0757;0813;,450.00;454.01;458.35;465.52;477.49;493.80;,4.01;4.34;7.17;11.98;16.31;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.711382 43.541280)"
34,1,17,1,p,AM,400.00,0.0,42.3951,26.0000,1;3;4;5;9;10;17;,,0813;0817;0822;0824;0834;0839;0856;,493.80;497.81;502.15;504.54;514.11;519.89;536.20;,4.01;4.34;2.39;9.57;5.78;16.31;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)"
35,1,17,0,p,AM,0.00,0.0,47.1526,20.0000,1;2;6;8;16;17;,,0856;0902;0908;0924;0935;0943;,536.20;542.20;548.32;564.47;575.70;583.35;,6.00;6.12;16.15;11.23;7.65;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280)"
36,1,17,2,p,AM,0.00,0.0,55.7930,24.0000,1;3;4;5;9;10;16;17;,,0943;0947;0951;0954;1003;1009;1031;1039;,583.35;587.36;591.70;594.08;603.66;609.44;631.49;639.14;,4.01;4.34;2.39;9.57;5.78;22.05;7.65;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280)"
37,1,18,0,p,AM,100.00,0.0,36.2647,18.0000,1;2;6;8;7;18;,,0730;0736;0742;0758;0804;0806;,450.00;456.00;462.12;478.27;484.21;486.26;,6.00;6.12;16.15;5.93;2.06;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)"
38,1,18,2,p,AM,0.00,0.0,42.7347,21.0000,1;2;6;8;16;18;,,0806;0812;0818;0834;0845;0848;,486.26;492.27;498.39;514.54;525.77;529.00;,6.00;6.12;16.15;11.23;3.23;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)"
39,1,18,1,p,AM,0.00,0.0,44.3487,30.0000,1;3;4;5;9;8;7;18;,,0848;0853;0857;0859;0909;0925;0931;0933;,529.00;533.01;537.35;539.73;549.31;565.36;571.29;573.35;,4.01;4.34;2.39;9.57;16.05;5.93;2.06;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)"
40,1,18,3,p,AM,0.00,0.0,51.3751,25.0000,1;3;4;5;9;10;16;18;,,0933;0937;0941;0944;0953;0959;1021;1024;,573.35;577.36;581.70;584.08;593.66;599.44;621.49;624.72;,4.01;4.34;2.39;9.57;5.78;22.05;3.23;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744)"
41,1,19,3,p,AM,0.00,0.0,44.4195,28.0000,1;3;4;11;10;15;19;,,0730;0734;0738;0745;0757;0810;0814;,450.00;454.01;458.35;465.52;477.49;490.38;494.42;,4.01;4.34;7.17;11.98;12.89;4.04;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)"
42,1,19,1,p,AM,300.00,0.0,43.0118,27.0000,1;3;4;5;9;10;15;19;,,0814;0818;0822;0825;0834;0840;0853;0857;,494.42;498.43;502.77;505.15;514.73;520.51;533.39;537.43;,4.01;4.34;2.39;9.57;5.78;12.89;4.04;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)"
43,1,19,0,p,AM,0.00,0.0,54.5799,22.0000,1;2;6;8;16;17;19;,,0857;0903;0909;0925;0936;0944;0952;,537.43;543.43;549.55;565.70;576.93;584.58;592.01;,6.00;6.12;16.15;11.23;7.65;7.43;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)"
44,1,19,4,p,AM,0.00,0.0,50.8793,28.0000,1;3;12;11;10;15;19;,,0952;0956;1000;1013;1025;1038;1042;,592.01;596.02;600.05;613.99;625.97;638.85;642.89;,4.01;4.02;13.94;11.98;12.89;4.04;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)"
45,1,19,2,p,AM,0.00,0.0,50.9968,26.0000,1;3;12;11;14;15;19;,,1042;1046;1050;1104;1117;1129;1133;,642.89;646.90;650.93;664.87;677.83;689.85;693.89;,4.01;4.02;13.94;12.96;12.02;4.04;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)"
46,1,20,0,p,AM,300.00,0.0,40.6313,22.0000,1;2;6;8;7;18;20;,,0730;0736;0742;0758;0804;0806;0810;,450.00;456.00;462.12;478.27;484.21;486.26;490.63;,6.00;6.12;16.15;5.93;2.06;4.37;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)"
47,1,20,2,p,AM,0.00,0.0,47.1014,25.0000,1;2;6;8;16;18;20;,,0810;0816;0822;0838;0850;0853;0857;,490.63;496.63;502.75;518.90;530.13;533.37;537.73;,6.00;6.12;16.15;11.23;3.23;4.37;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)"
48,1,20,3,p,AM,0.00,0.0,48.7154,34.0000,1;3;4;5;9;8;7;18;20;,,0857;0901;0906;0908;0918;0934;0940;0942;0946;,537.73;541.74;546.08;548.47;558.04;574.09;580.02;582.08;586.45;,4.01;4.34;2.39;9.57;16.05;5.93;2.06;4.37;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)"
49,1,20,1,p,AM,0.00,0.0,50.7423,31.0000,1;3;4;5;9;10;15;19;20;,,0946;0950;0954;0957;1006;1012;1025;1029;1037;,586.45;590.46;594.80;597.18;606.76;612.54;625.42;629.46;637.19;,4.01;4.34;2.39;9.57;5.78;12.89;4.04;7.73;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)"
50,1,21,0,p,AM,100.00,0.0,39.7397,18.0000,1;3;12;13;24;21;,,0730;0734;0738;0741;0758;0809;,450.00;454.01;458.04;461.07;478.02;489.74;,4.01;4.02;3.03;16.96;11.71;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485)"
51,1,21,1,p,AM,0.00,0.0,59.1127,37.0000,1;3;4;5;9;10;15;19;20;21;,,0809;0813;0818;0820;0830;0835;0848;0852;0900;0908;,489.74;493.75;498.09;500.47;510.05;515.83;528.71;532.75;540.48;548.85;,4.01;4.34;2.39;9.57;5.78;12.89;4.04;7.73;8.37;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.730979 43.510485)"
52,1,22,2,p,AM,0.00,0.0,55.6185,26.0000,1;3;12;11;14;15;22;,,0730;0734;0738;0751;0804;0816;0825;,450.00;454.01;458.04;471.98;484.94;496.96;505.62;,4.01;4.02;13.94;12.96;12.02;8.66;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)"
53,1,22,0,p,AM,251.73,0.0,43.6571,20.0000,1;3;12;13;24;21;22;,,0825;0829;0833;0836;0853;0905;0909;,505.62;509.63;513.65;516.68;533.64;545.36;549.28;,4.01;4.02;3.03;16.96;11.71;3.92;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485, -96.731241 43.514858)"
54,1,22,1,p,AM,148.27,0.0,43.6557,21.0000,1;3;12;13;24;23;22;,,0909;0913;0917;0920;0937;0940;0952;,549.28;553.29;557.31;560.34;577.30;580.89;592.93;,4.01;4.02;3.03;16.96;3.59;12.04;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.731241 43.514858)"
55,1,23,1,p,AM,0.00,0.0,43.6083,22.0000,1;3;12;11;14;23;,,0730;0734;0738;0751;0804;0813;,450.00;454.01;458.04;471.98;484.94;493.61;,4.01;4.02;13.94;12.96;8.67;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858)"
56,1,23,0,p,AM,300.00,0.0,31.6141,17.0000,1;3;12;13;24;23;,,0813;0817;0821;0824;0841;0845;,493.61;497.62;501.64;504.67;521.63;525.22;,4.01;4.02;3.03;16.96;3.59;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858)"
57,1,24,0,p,AM,100.00,0.0,28.0250,15.0000,1;3;12;13;24;,,0730;0734;0738;0741;0758;,450.00;454.01;458.04;461.07;478.02;,4.01;4.02;3.03;16.96;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164)"
58,2,1,0,p,AM,100.00,0.0,6.0014,6.0000,2;1;,,0730;0736;,450.00;456.00;,6.00;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828)"
59,2,3,0,p,AM,100.00,0.0,10.0133,10.0000,2;1;3;,,0730;0736;0740;,450.00;456.00;460.01;,6.00;4.01;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962)"
60,2,4,1,p,AM,200.00,0.0,14.3489,14.0000,2;1;3;4;,,0730;0736;0740;0744;,450.00;456.00;460.01;464.35;,6.00;4.01;4.34;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)"
61,2,4,0,p,AM,0.00,0.0,17.7717,11.0000,2;6;5;4;,,0744;0750;0759;0802;,464.35;470.47;479.74;482.12;,6.12;9.27;2.38;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654)"
62,2,5,0,p,AM,100.00,0.0,15.3944,9.0000,2;6;5;,,0730;0736;0745;,450.00;456.12;465.39;,6.12;9.27;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034)"
63,2,6,0,p,AM,400.00,0.0,6.1218,5.0000,2;6;,,0730;0736;,450.00;456.12;,6.12;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586)"
64,2,7,0,p,AM,200.00,0.0,28.2038,10.0000,2;6;8;7;,,0730;0736;0752;0758;,450.00;456.12;472.27;478.20;,6.12;16.15;5.93;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)"
65,2,7,1,p,AM,0.00,0.0,48.2907,34.0000,2;1;3;4;5;9;8;7;,,0758;0804;0808;0812;0814;0824;0840;0846;,478.20;484.21;488.22;492.55;494.94;504.51;520.56;526.49;,6.00;4.01;4.34;2.39;9.57;16.05;5.93;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)"
66,2,7,2,p,AM,0.00,0.0,38.7943,17.0000,2;6;8;16;18;7;,,0846;0852;0908;0919;0923;0925;,526.49;532.62;548.77;559.99;563.23;565.29;,6.12;16.15;11.23;3.23;2.06;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)"
67,2,8,0,p,AM,400.00,0.0,22.2719,7.0000,2;6;8;,,0730;0736;0752;,450.00;456.12;472.27;,6.12;16.15;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)"
68,2,8,1,p,AM,0.00,0.0,42.3587,31.0000,2;1;3;4;5;9;8;,,0752;0758;0802;0806;0809;0818;0834;,472.27;478.27;482.29;486.62;489.01;498.58;514.63;,6.00;4.01;4.34;2.39;9.57;16.05;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)"
69,2,9,0,p,AM,200.00,0.0,24.9685,14.0000,2;6;5;9;,,0730;0736;0745;0754;,450.00;456.12;465.39;474.97;,6.12;9.27;9.57;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596)"
70,2,10,3,p,AM,0.00,0.0,33.4963,25.0000,2;1;3;4;11;10;,,0730;0736;0740;0744;0751;0803;,450.00;456.00;460.01;464.35;471.52;483.50;,6.00;4.01;4.34;7.17;11.98;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)"
71,2,10,1,p,AM,600.00,0.0,32.0885,24.0000,2;1;3;4;5;9;10;,,0803;0809;0813;0817;0820;0829;0835;,483.50;489.50;493.51;497.85;500.23;509.81;515.58;,6.00;4.01;4.34;2.39;9.57;5.78;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)"
72,2,10,2,p,AM,0.00,0.0,39.9560,25.0000,2;1;3;12;11;10;,,0835;0841;0845;0849;0903;0915;,515.58;521.59;525.60;529.62;543.56;555.54;,6.00;4.01;4.02;13.94;11.98;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)"
73,2,10,0,p,AM,0.00,0.0,55.5910,16.0000,2;6;8;16;10;,,0915;0921;0937;0949;1011;,555.54;561.66;577.81;589.04;611.13;,6.12;16.15;11.23;22.09;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.731438 43.545271)"
74,2,11,1,p,AM,200.00,0.0,21.5182,20.0000,2;1;3;4;11;,,0730;0736;0740;0744;0751;,450.00;456.00;460.01;464.35;471.52;,6.00;4.01;4.34;7.17;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)"
75,2,11,0,p,AM,0.00,0.0,24.9410,17.0000,2;6;5;4;11;,,0751;0757;0806;0809;0816;,471.52;477.64;486.91;489.29;496.46;,6.12;9.27;2.38;7.17;,"LINESTRING (-96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)"
76,2,11,2,p,AM,0.00,0.0,27.9780,20.0000,2;1;3;12;11;,,0816;0822;0826;0830;0844;,496.46;502.46;506.47;510.50;524.44;,6.00;4.01;4.02;13.94;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)"
77,2,12,0,p,AM,100.00,0.0,14.0365,14.0000,2;1;3;12;,,0730;0736;0740;0744;,450.00;456.00;460.01;464.04;,6.00;4.01;4.02;,"LINESTRING (-96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)"
