name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,restricted_turn_nodes_p1,link_type_name,link_type,geometry,allowed_uses,VDF_fftt1,VDF_cap1
,22,,24,25,1,1385.8,3,60,1800,,,1,"LINESTRING (-112.1025730 33.6399860, -112.0876300 33.6400890)",,,
,23,,25,26,1,1404.53,3,60,1800,,,1,"LINESTRING (-112.0876300 33.6400890, -112.0724850 33.6401930)",,,
,24,,26,27,1,1161.08,3,60,1800,,,1,"LINESTRING (-112.0724850 33.6401930, -112.0599650 33.6402790)",,,
,25,,27,28,1,1254.75,3,60,1800,,,1,"LINESTRING (-112.0599650 33.6402790, -112.0464350 33.6403720)",,,
,26,,28,29,1,983.71,3,60,1800,,,1,"LINESTRING (-112.0464350 33.6403720, -112.0388420 33.6465680)",,,
,27,,29,2,1,1275.47,3,60,1800,,,1,"LINESTRING (-112.0388420 33.6465680, -112.0298670 33.6552860)",,,
,28,,12,2,1,1125.47,4,60,1800,,,1,"LINESTRING (-112.0386420 33.6623000, -112.0298670 33.6552860)",,,
,29,,1,30,1,2580.21,2,30,1800,,,1,"LINESTRING (-112.2164130 33.6539160, -112.1885870 33.6541820)",,,
,30,,30,31,1,2509,2,30,900,,,1,"LINESTRING (-112.1885870 33.6541820, -112.1615280 33.6543680)",,,
,31,,31,32,1,2321.79,2,30,1800,,,1,"LINESTRING (-112.1615280 33.6543680, -112.1364880 33.6545410)",,,
,32,,32,33,1,1988.71,2,30,900,,,1,"LINESTRING (-112.1364880 33.6545410, -112.1150400 33.6546770)",,,
,33,,34,2,1,3108.15,2,20,1800,,,4,"LINESTRING (-112.0633880 33.6550440, -112.0298670 33.6552750)",,,
,34,,33,35,1,2448.82,2,30,900,,,1,"LINESTRING (-112.1150400 33.6546770, -112.0886300 33.6548700)",,,
,35,,35,34,1,2340.5,2,10,900,,,2,"LINESTRING (-112.0886300 33.6548700, -112.0633880 33.6550440)",,,
,36,,36,31,1,974.32,3,30,1000,,,1,"LINESTRING (-112.1688870 33.6606500, -112.1615350 33.6543710)",,,
,37,,31,36,1,974.25,3,65,1900,,,1,"LINESTRING (-112.1615210 33.6543880, -112.1688730 33.6606660)",,,
,38,,31,37,1,964.4,3,65,1900,,,1,"LINESTRING (-112.1615350 33.6543880, -112.1687240 33.6481020)",,,
,39,,37,31,1,964.4,3,65,1900,,,1,"LINESTRING (-112.1687100 33.6480850, -112.1615210 33.6543710)",,,
,40,,38,33,1,892.78,3,65,1900,,,1,"LINESTRING (-112.1175340 33.6624650, -112.1150510 33.6546850)",,,
,41,,33,38,1,892.88,3,65,1900,,,1,"LINESTRING (-112.1150300 33.6546910, -112.1175130 33.6624720)",,,
,42,,33,39,1,871.39,3,65,1900,,,1,"LINESTRING (-112.1150520 33.6546880, -112.1153660 33.6468330)",,,
,43,,39,33,1,871.39,3,65,1900,,,1,"LINESTRING (-112.1153430 33.6468330, -112.1150290 33.6546880)",,,
,44,,40,35,1,812.43,3,65,1900,,,1,"LINESTRING (-112.0943640 33.6604190, -112.0886370 33.6548730)",,,
,45,,35,40,1,812.29,3,65,1900,,,1,"LINESTRING (-112.0886230 33.6548900, -112.0943490 33.6604350)",,,
,46,,35,41,1,1280.51,3,65,1900,,,1,"LINESTRING (-112.0886360 33.6548910, -112.0996530 33.6479270)",,,
,47,,41,35,1,1280.43,3,65,1900,,,1,"LINESTRING (-112.0996410 33.6479090, -112.0886240 33.6548720)",,,
,48,,4,36,1,1497.09,2,30,700,,,1,"LINESTRING (-112.1827040 33.6676370, -112.1688800 33.6606580)",,,
,49,,2,34,1,3108.15,3,65,1900,,,1,"LINESTRING (-112.0298670 33.6552980, -112.0633880 33.6550670)",,,
,50,,34,35,1,2340.5,3,65,1900,,,1,"LINESTRING (-112.0633880 33.6550670, -112.0886300 33.6548930)",,,
,51,,35,33,1,2448.91,3,65,1900,,,1,"LINESTRING (-112.0886300 33.6548930, -112.1150410 33.6546990)",,,
,52,,33,32,1,1988.62,3,65,1900,,,1,"LINESTRING (-112.1150410 33.6546990, -112.1364880 33.6545630)",,,
,53,,32,31,1,2321.79,3,65,1900,,,1,"LINESTRING (-112.1364880 33.6545630, -112.1615280 33.6543910)",,,
,54,,31,30,1,2509.09,3,65,1900,,,1,"LINESTRING (-112.1615280 33.6543910, -112.1885880 33.6542040)",,,
,55,,30,1,1,2580.12,3,65,1900,,,1,"LINESTRING (-112.1885880 33.6542040, -112.2164130 33.6539380)",,,
,56,,7,38,1,672.22,1,65,1900,,,1,"LINESTRING (-112.1203160 33.6680620, -112.1175340 33.6624630)",,,
,57,,38,7,1,672.16,1,65,1900,,,1,"LINESTRING (-112.1175130 33.6624740, -112.1202960 33.6680720)",,,
,58,,39,23,1,793.64,1,65,1900,,,1,"LINESTRING (-112.1153650 33.6468360, -112.1173500 33.6398730)",,,
,59,,23,39,1,793.66,1,65,1900,,,1,"LINESTRING (-112.1173300 33.6398670, -112.1153440 33.6468300)",,,
,60,,7,42,1,376.27,1,65,1900,,,1,"LINESTRING (-112.1202950 33.6680650, -112.1196100 33.6714100)",,,
,61,,42,7,1,376.25,1,65,1900,,,1,"LINESTRING (-112.1196330 33.6714140, -112.1203170 33.6680690)",,,
,62,,23,43,1,556.88,1,65,1900,,,1,"LINESTRING (-112.1173510 33.6398690, -112.1169600 33.6348570)",,,
,63,,43,23,1,556.87,1,65,1900,,,1,"LINESTRING (-112.1169370 33.6348590, -112.1173290 33.6398710)",,,
,64,,11,44,1,3751.73,1,65,1900,,,1,"LINESTRING (-112.0461960 33.6685660, -112.0057270 33.6687410)",,,
,65,,44,11,1,3751.72,1,65,1900,,,1,"LINESTRING (-112.0057270 33.6687640, -112.0461960 33.6685890)",,,
,66,,44,45,1,3895.36,1,65,1900,,,1,"LINESTRING (-112.0057270 33.6687410, -111.9637300 33.6676120)",,,
,67,,45,44,1,3895.37,1,65,1900,,,1,"LINESTRING (-111.9637300 33.6676350, -112.0057270 33.6687640)",,,
,68,,45,46,1,2908.97,1,65,1900,,,1,"LINESTRING (-111.9637320 33.6676120, -111.9328960 33.6627590)",,,
,69,,46,45,1,2908.96,1,65,1900,,,1,"LINESTRING (-111.9328920 33.6627820, -111.9637280 33.6676350)",,,
,70,,2,47,1,2540.6,1,65,1900,,,1,"LINESTRING (-112.0298670 33.6552750, -112.0024700 33.6548840)",,,
,71,,47,2,1,2540.6,1,65,1900,,,1,"LINESTRING (-112.0024700 33.6549070, -112.0298670 33.6552980)",,,
,72,,47,48,1,3550.4,1,65,1900,,,1,"LINESTRING (-112.0024700 33.6548840, -111.9642080 33.6536280)",,,
,73,,48,47,1,3550.49,1,65,1900,,,1,"LINESTRING (-111.9642070 33.6536510, -112.0024700 33.6549070)",,,
,74,,48,49,1,3199.56,1,65,1900,,,1,"LINESTRING (-111.9642070 33.6536280, -111.9297020 33.6539670)",,,
,75,,49,48,1,3199.65,1,65,1900,,,1,"LINESTRING (-111.9297020 33.6539900, -111.9642080 33.6536510)",,,
,76,,44,47,1,1565.76,1,65,1900,,,1,"LINESTRING (-112.0057380 33.6687500, -112.0024800 33.6548930)",,,
,77,,47,44,1,1565.74,1,65,1900,,,1,"LINESTRING (-112.0024600 33.6548970, -112.0057170 33.6687540)",,,
,78,,47,50,1,1741.49,1,65,1900,,,1,"LINESTRING (-112.0024810 33.6548950, -112.0018380 33.6391970)",,,
,79,,50,47,1,1741.49,1,65,1900,,,1,"LINESTRING (-112.0018150 33.6391970, -112.0024590 33.6548950)",,,
