[PROCESS INFO] Step 0: reading section scenarios
[STATUS INFO] scenario_index=0,scenario_name=,2025
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading section demand_period ...
,demand_period= 3, pm,time_period=1500_1700, 900-> 1020
15,0,9601.2,34.341,6.03052
16,0,9601.2,35.0169,3.11284
17,0,9601.2,33.9795,0.112239
18,0,9601.2,34.341,5.1763
19,0,9601.2,34.8904,2.74038
20,0,9601.2,34.0165,0
21,0,9601.2,34.341,4.57508
22,0,9601.2,34.803,2.48318
23,0,9601.2,34.0478,0
24,0,9601.2,34.341,4.12904
25,0,9601.2,34.7393,2.29541
26,0,9601.2,34.0741,0
27,0,9601.2,34.341,3.78501
28,0,9601.2,34.6908,2.15255
29,0,9601.2,34.0964,0
30,0,9601.2,34.341,3.51158
31,0,9601.2,34.6527,2.04033
32,0,9601.2,34.1154,0
33,0,9601.2,34.341,3.28908
34,0,9601.2,34.622,1.94994
35,0,9601.2,34.1318,0
36,0,9601.2,34.341,3.10447
37,0,9601.2,34.5967,1.8756
38,0,9601.2,34.146,0
39,0,9601.2,34.341,2.94885
40,0,9601.2,34.5756,1.81342
41,0,9601.2,34.843,0.824011
42,0,9601.2,34.341,0.478359
43,0,9601.2,34.5577,1.76065
44,0,9601.2,34.803,0.832595
45,0,9601.2,34.341,0.305829
46,0,9601.2,34.5423,1.71532
47,0,9601.2,34.7688,0.84143
48,0,9601.2,34.341,0.154337
49,0,9601.2,34.5289,1.67598
50,0,9601.2,34.7393,0.85027
51,0,9601.2,34.341,0.0202572
52,0,9601.2,34.5172,1.64149
53,0,9601.2,34.7135,0.858936
54,0,9601.2,34.341,0
55,0,9601.2,34.5069,1.61104
56,0,9601.2,34.6908,0.867341
57,0,9601.2,34.341,0
58,0,9601.2,34.4977,1.58395
59,0,9601.2,34.6706,0.875429
60,0,9601.2,34.341,0
61,0,9601.2,34.4894,1.55969
62,0,9601.2,34.6527,0.883164
63,0,9601.2,34.341,0
64,0,9601.2,34.482,1.53785
65,0,9601.2,34.6365,0.890553
66,0,9601.2,34.341,0
67,0,9601.2,34.4753,1.51808
68,0,9601.2,34.622,0.897597
69,0,9601.2,34.341,0
70,0,9601.2,34.4692,1.50009
71,0,9601.2,34.6087,0.904297
72,0,9601.2,34.341,0
73,0,9601.2,34.4636,1.48367
74,0,9601.2,34.5967,0.91066
75,0,9601.2,34.341,0
76,0,9601.2,34.4585,1.46861
77,0,9601.2,34.5857,0.916716
78,0,9601.2,34.7217,0.403623
79,0,9601.2,34.4538,0.267399
80,0,9601.2,34.5756,0.92247
81,0,9601.2,34.7056,0.426281
82,0,9601.2,34.4495,0.179169
83,0,9601.2,34.5663,0.927943
84,0,9601.2,34.6908,0.447578
85,0,9601.2,34.4454,0.0970876
86,0,9601.2,34.5577,0.933149
87,0,9601.2,34.6771,0.467642
88,0,9601.2,34.4417,0.0205342
89,0,9601.2,34.5497,0.938119
90,0,9601.2,34.6644,0.486563
91,0,9601.2,34.4382,0
92,0,9601.2,34.5423,0.942833
93,0,9601.2,34.6527,0.50445
94,0,9601.2,34.435,0
95,0,9601.2,34.5354,0.947332
96,0,9601.2,34.6417,0.521374
97,0,9601.2,34.4319,0
98,0,9601.2,34.5289,0.951631
99,0,9601.2,34.6315,0.537397
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 34.4334(min), optimization obj = 2237.39, Relative_gap = 0.336732 %
[DATA INFO] column updating: iteration = 1, avg travel time = 34.7476(min), optimization obj = 3989.72, Relative_gap = 0.596303 %
[DATA INFO] column updating: iteration = 2, avg travel time = 34.558(min), optimization obj = 457.054, Relative_gap = 0.0688477 %
[DATA INFO] column updating: iteration = 3, avg travel time = 34.5906(min), optimization obj = 27.5776, Relative_gap = 0.00415229 %
[PROCESS INFO] Step 7: perform sensitivity analysis if section dynamic_traffic_management is provided for dtm_type = lane_closure or dms. 
Sensitivity analysis stage
,Iteration,Avg Travel Time(min)
0,34.5878,
column updating
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.yml. 
[PROCESS INFO] Step 9: Collecting statistics, Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,223162,VKT=,359068
,VHT=,5534.74
,network vehicle speed (MPH) =,40.3203,,network vehicle speed (KPH) =,64.8753
,PMT=,245479,PKT=,394975
,PHT=,6088.22
,network person speed (MPH) =,40.3203,,network person speed (KPH) =,64.8753
,simple avg link volume=,4800
,simple avg link speed=,69.7689
,simple avg link speed ratio=,0.722695
     Check OD connectivity and accessibility in od_performance_summary.csv
, # of connected OD pairs =, 0
, # of OD/mode_type/demand_type columns without paths =, 2
Output Link Performance Summary
Output 2 Way Link Performance Summary
