name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length_ml,length,lanes,original_capacity,free_speed_mph,free_speed,capacity,link_type,cost,VDF_fftt,VDF_alpha,VDF_beta,VDF_plf
,38,13,12,freeway,1,3,5427,10,25900.20064,60,96.54,2500,1,0,3,0.15,4,0.965243488
,39,13,24,freeway,1,4,7236,2,5091.256152,60,96.54,2500,1,0,4,0.15,4,0.982075906
,40,14,11,freeway,1,4,7236,1,4876.508287,60,96.54,2500,1,0,4,0.15,4,0.512661899
,41,14,15,freeway,1,5,9045,2,5127.526119,60,96.54,2500,1,0,5,0.15,4,0.975129114
,42,14,23,freeway,1,4,7236,1,4924.790605,60,96.54,2500,1,0,4,0.15,4,0.507635796
,43,15,10,freeway,1,6,10854,5,13512.00155,60,96.54,2500,1,0,6,0.15,4,0.925103505
,44,15,14,freeway,1,5,9045,2,5127.526119,60,96.54,2500,1,0,5,0.15,4,0.975129114
,45,15,19,freeway,1,3,5427,5,14564.75315,60,96.54,2500,1,0,3,0.15,4,0.85823631
,46,15,22,freeway,1,3,5427,3,9599.180565,60,96.54,2500,1,0,3,0.15,4,0.781316691
,47,16,8,freeway,1,5,9045,2,5045.822583,60,96.54,2500,1,0,5,0.15,4,0.990918709
,48,16,10,freeway,1,4,7236,1,4854.917717,60,96.54,2500,1,0,4,0.15,4,0.514941786
,49,16,17,freeway,1,2,3618,2,5229.910063,60,96.54,2500,1,0,2,0.15,4,0.956039385
,50,16,18,freeway,1,3,5427,7,19679.89671,60,96.54,2500,1,0,3,0.15,4,0.889232309
,51,17,10,freeway,1,8,14472,1,4993.510694,60,96.54,2500,1,0,8,0.15,4,0.500649774
,52,17,16,freeway,1,2,3618,2,5229.910063,60,96.54,2500,1,0,2,0.15,4,0.956039385
,53,17,19,freeway,1,2,3618,1,4823.950831,60,96.54,2500,1,0,2,0.15,4,0.518247405
,54,18,7,freeway,1,2,3618,9,23403.47319,60,96.54,2500,1,0,2,0.15,4,0.961395765
,55,18,16,freeway,1,3,5427,7,19679.89671,60,96.54,2500,1,0,3,0.15,4,0.889232309
,56,18,20,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,57,19,15,freeway,1,3,5427,5,14564.75315,60,96.54,2500,1,0,3,0.15,4,0.85823631
,58,19,17,freeway,1,2,3618,1,4823.950831,60,96.54,2500,1,0,2,0.15,4,0.518247405
,59,19,20,freeway,1,4,7236,2,5002.607563,60,96.54,2500,1,0,4,0.15,4,0.999478759
,60,20,18,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,61,20,19,freeway,1,4,7236,2,5002.607563,60,96.54,2500,1,0,4,0.15,4,0.999478759
,62,20,21,freeway,1,6,10854,2,5059.91234,60,96.54,2500,1,0,6,0.15,4,0.988159411
,63,20,22,freeway,1,5,9045,2,5075.697193,60,96.54,2500,1,0,5,0.15,4,0.985086346
,64,21,20,freeway,1,6,10854,2,5059.91234,60,96.54,2500,1,0,6,0.15,4,0.988159411
,65,21,22,freeway,1,2,3618,2,5229.910063,60,96.54,2500,1,0,2,0.15,4,0.956039385
,66,21,24,freeway,1,3,5427,1,4885.357564,60,96.54,2500,1,0,3,0.15,4,0.51173327
,67,22,15,freeway,1,3,5427,3,9599.180565,60,96.54,2500,1,0,3,0.15,4,0.781316691
,68,22,20,freeway,1,5,9045,2,5075.697193,60,96.54,2500,1,0,5,0.15,4,0.985086346
,69,22,21,freeway,1,2,3618,2,5229.910063,60,96.54,2500,1,0,2,0.15,4,0.956039385
,70,22,23,freeway,1,4,7236,2,5000,60,96.54,2500,1,0,4,0.15,4,1
,71,23,14,freeway,1,4,7236,1,4924.790605,60,96.54,2500,1,0,4,0.15,4,0.507635796
,72,23,22,freeway,1,4,7236,2,5000,60,96.54,2500,1,0,4,0.15,4,1
,73,23,24,freeway,1,2,3618,2,5078.508436,60,96.54,2500,1,0,2,0.15,4,0.984541044
,74,24,13,freeway,1,4,7236,2,5091.256152,60,96.54,2500,1,0,4,0.15,4,0.982075906
,75,24,21,freeway,1,3,5427,1,4885.357564,60,96.54,2500,1,0,3,0.15,4,0.51173327
,76,24,23,freeway,1,2,3618,2,5078.508436,60,96.54,2500,1,0,2,0.15,4,0.984541044
