first_column,link_type,link_type_name,name_ description,type_code,demand_period_id,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,allowed_uses_p1_backup,allowed_uses_p2_backup,allowed_uses_p3_backup,peak_load_factor_p1_auto,peak_load_factor_p1_bike,peak_load_factor_p1_walk,peak_load_factor_p2_auto,peak_load_factor_p2_bike,peak_load_factor_p2_walk,peak_load_factor_p3_auto,peak_load_factor_p3_bike,peak_load_factor_p3_walk,free_speed_auto,free_speed_bike,free_speed_walk,capacity_auto,capacity_bike,capacity_walk,lanes_bike,lanes_walk,k_jam_km,meu_auto_bike,meu_auto_walk,meu_auto_auto,meu_bike_bike,meu_bike_walk,meu_bike_auto,meu_walk_bike,meu_walk_walk,meu_walk_auto,,,,
,222,y_bf_bs,buffer,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2.5,1,1,1,1,0.4,1,1,1,,no: 1,None: 0,None: 0
,223,y_bf_ws,buffer,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2.5,1,1,1,1,0.4,1,1,1,,yes: 2,Multiuse Path: 1,Multiuse Path:1
,224,y_bf_cc,buffer,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Buffer: 2,Basic Sidewalk: 2
,225,y_bf_oth,buffer,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Lane: 3,Wide Sidewalk: 3
,230,y_ln_n,lanes,a,,,,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Protected: 4,Centroid Connector: 4
,232,y_ln_bs,lanes,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Shared: 5,Others: 5
,233,y_ln_ws,lanes,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Centroid Connector: 6,
,234,y_ln_cc,lanes,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Others: 7,
,235,y_ln_oth,lanes,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,240,y_pro_n,protected,a,,,,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,242,y_pro_bs,protected,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,243,y_pro_ws,protected,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,244,y_pro_cc,protected,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,245,y_pro_oth,protected,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,250,y_sh_n,shared,a,,,,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,252,y_sh_bs,shared,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,253,y_sh_ws,shared,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,254,y_sh_cc,shared,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,255,y_sh_oth,shared,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,260,y_cc_n,centroid connector,a,,,,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,262,y_cc_bs,centroid connector,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,263,y_cc_ws,centroid connector,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,264,y_cc_cc,centroid connector,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,265,y_cc_oth,centroid connector,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,250,y_other_n,other,a,,,,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,252,y_other_bs,other,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,253,y_other_ws,other,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,254,y_other_cc,other,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,255,y_oth_oth,other,a,,,,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,110,n_mp_n,,,,,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,111,n_mp_mp,,,,,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,101,n_n_mp,,,,,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
XX,100,,,,,,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
