link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,lanes_p1_s0_auto,lanes_p2_s0_auto,lanes_p3_s0_auto,VOL_p1_s0_auto,VOL_p2_s0_auto,VOL_p3_s0_auto,MEU_p1_s0_auto,MEU_p2_s0_auto,MEU_p3_s0_auto,CAP_p1_s0_auto,CAP_p2_s0_auto,CAP_p3_s0_auto,PEN_p1_s0_auto,PEN_p2_s0_auto,PEN_p3_s0_auto,DOC_p1_s0_auto,DOC_p2_s0_auto,DOC_p3_s0_auto,TT_p1_s0_auto,TT_p2_s0_auto,TT_p3_s0_auto,CO2_p1_s0_auto,CO2_p2_s0_auto,CO2_p3_s0_auto,NOX_p1_s0_auto,NOX_p2_s0_auto,NOX_p3_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_md_25nb_auto,MEU_md_25nb_auto,CAP_md_25nb_auto,PEN_md_25nb_auto,DOC_md_25nb_auto,TT_md_25nb_auto,CO2_md_25nb_auto,NOX_md_25nb_auto,VOL_pm_25nb_auto,MEU_pm_25nb_auto,CAP_pm_25nb_auto,PEN_pm_25nb_auto,DOC_pm_25nb_auto,TT_pm_25nb_auto,CO2_pm_25nb_auto,NOX_pm_25nb_auto,
11,11,motorway,5,4,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",2.000000,1.243008,2.000000,60.000000,-60.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,18421.0,13412.6,28266.9,18421.0,13412.6,28266.9,17782.8,17782.8,17782.8,0.0,0.0,0.0,1.0,0.8,1.6,2.3,2.1,3.9,758014.3,553535.1,1342426.7,186.5,144.0,256.5,18421.0,18421.0,17782.794,0.000,1.036,2.345,758014.319,186.547,13412.6,13412.6,17782.794,0.000,0.754,2.097,553535.092,143.965,28266.9,28266.9,17782.794,0.000,1.590,3.915,1342426.672,256.451,
12,12,motorway,5,6,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",4.000000,2.486016,4.000000,60.000000,-60.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8686.5,7987.0,10443.2,8686.5,7987.0,10443.2,4948.0,4948.0,4948.0,0.0,0.0,0.0,1.8,1.6,2.1,9.7,8.1,15.9,920508.5,769482.5,1530498.4,158.5,144.8,210.7,8686.5,8686.5,4947.995,0.000,1.756,9.699,920508.498,158.460,7987.0,7987.0,4947.995,0.000,1.614,8.074,769482.530,144.807,10443.2,10443.2,4947.995,0.000,2.111,15.906,1530498.409,210.711,
13,13,motorway,5,9,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",5.000000,3.107520,5.000000,60.000000,-60.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,15905.0,10887.1,25428.5,15905.0,10887.1,25428.5,10000.0,10000.0,10000.0,0.0,0.0,0.0,1.6,1.1,2.5,9.8,6.1,36.4,1889350.5,1122453.1,7556863.8,360.7,271.9,834.9,15905.0,15905.0,10000.000,0.000,1.590,9.799,1889350.463,360.729,10887.1,10887.1,10000.000,0.000,1.089,6.054,1122453.076,271.927,25428.5,25428.5,10000.000,0.000,2.543,36.358,7556863.807,834.936,
14,14,motorway,6,2,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",5.000000,3.107520,5.000000,60.000000,-60.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,5974.6,4497.7,9920.5,5974.6,4497.7,9920.5,4958.2,4958.2,4958.2,0.0,0.0,0.0,1.2,0.9,2.0,6.6,5.5,17.0,622788.0,462421.4,1626811.9,144.8,117.4,239.4,5974.6,5974.6,4958.181,0.000,1.205,6.581,622787.958,144.788,4497.7,4497.7,4958.181,0.000,0.907,5.508,462421.375,117.368,9920.5,9920.5,4958.181,0.000,2.001,17.020,1626811.914,239.433,
15,15,motorway,6,5,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",4.000000,2.486016,4.000000,60.000000,-60.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8701.6,8005.4,10468.0,8701.6,8005.4,10468.0,4948.0,4948.0,4948.0,0.0,0.0,0.0,1.8,1.6,2.1,9.7,8.1,16.0,924252.8,772961.5,1542159.8,158.8,145.1,211.7,8701.6,8701.6,4947.995,0.000,1.759,9.739,924252.837,158.791,8005.4,8005.4,4947.995,0.000,1.618,8.111,772961.467,145.130,10468.0,10468.0,4947.995,0.000,2.116,16.019,1542159.766,211.689,
16,16,motorway,6,8,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",2.000000,1.243008,2.000000,60.000000,-60.000000,4898.587646,2898.587646,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,12570.3,10438.1,18776.3,12570.3,10438.1,18776.3,4898.6,4898.6,4898.6,0.0,0.0,0.0,2.6,2.1,3.8,15.0,8.2,66.8,1535189.1,781260.6,9165334.4,168.0,106.3,759.3,12570.3,12570.3,4898.588,0.000,2.566,15.008,1535189.052,167.991,10438.1,10438.1,4898.588,0.000,2.131,8.185,781260.609,106.286,18776.3,18776.3,4898.588,0.000,3.833,66.755,9165334.360,759.284,
17,17,motorway,7,8,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",3.000000,1.864512,3.000000,60.000000,-60.000000,7841.811310,5841.811310,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,12212.9,8961.8,19796.0,12212.9,8961.8,19796.0,7841.8,7841.8,7841.8,0.0,0.0,0.0,1.6,1.1,2.5,5.6,3.8,21.3,854953.2,556555.9,3455021.2,166.5,132.4,384.7,12212.9,12212.9,7841.811,0.000,1.557,5.647,854953.250,166.508,8961.8,8961.8,7841.811,0.000,1.143,3.768,556555.914,132.422,19796.0,19796.0,7841.811,0.000,2.524,21.275,3455021.203,384.727,
18,18,motorway,7,18,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",2.000000,1.243008,2.000000,60.000000,-60.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,15997.4,11891.1,24621.7,15997.4,11891.1,24621.7,23403.5,23403.5,23403.5,0.0,0.0,0.0,0.7,0.5,1.1,2.1,2.0,2.4,661454.7,493406.4,1013700.9,173.3,130.7,248.3,15997.4,15997.4,23403.473,0.000,0.684,2.065,661454.727,173.334,11891.1,11891.1,23403.473,0.000,0.508,2.020,493406.431,130.739,24621.7,24621.7,23403.473,0.000,1.052,2.368,1013700.878,248.322,
19,19,motorway,8,6,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",2.000000,1.243008,2.000000,60.000000,-60.000000,4898.587646,2898.587646,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,12605.9,10451.2,18829.1,12605.9,10451.2,18829.1,4898.6,4898.6,4898.6,0.0,0.0,0.0,2.6,2.1,3.8,15.2,8.2,67.5,1552648.7,784447.1,9288801.3,169.4,106.6,768.7,12605.9,12605.9,4898.588,0.000,2.573,15.156,1552648.737,169.397,10451.2,10451.2,4898.588,0.000,2.134,8.216,784447.149,106.552,18829.1,18829.1,4898.588,0.000,3.844,67.487,9288801.260,768.712,
20,20,motorway,8,7,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",3.000000,1.864512,3.000000,60.000000,-60.000000,7841.811310,5841.811310,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,12179.3,8931.4,19734.8,12179.3,8931.4,19734.8,7841.8,7841.8,7841.8,0.0,0.0,0.0,1.6,1.1,2.5,5.6,3.8,21.1,850696.2,554479.9,3413354.7,166.1,132.1,381.4,12179.3,12179.3,7841.811,0.000,1.553,5.618,850696.242,166.101,8931.4,8931.4,7841.811,0.000,1.139,3.757,554479.937,132.107,19734.8,19734.8,7841.811,0.000,2.517,21.050,3413354.710,381.360,
21,21,motorway,8,9,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",10.000000,6.215040,10.000000,60.000000,-60.000000,5050.193156,3050.193156,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,6859.4,3848.0,11236.5,6859.4,3848.0,11236.5,5050.2,5050.2,5050.2,0.0,0.0,0.0,1.4,0.8,2.2,15.1,10.5,46.8,1476829.8,793854.4,4652881.5,320.7,206.3,600.0,6859.4,6859.4,5050.193,0.000,1.358,15.105,1476829.752,320.742,3848.0,3848.0,5050.193,0.000,0.762,10.506,793854.354,206.271,11236.5,11236.5,5050.193,0.000,2.225,46.761,4652881.492,599.995,
22,22,motorway,8,16,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",5.000000,3.107520,5.000000,60.000000,-60.000000,5045.822583,3045.822583,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8283.1,6230.5,11892.9,8283.1,6230.5,11892.9,5045.8,5045.8,5045.8,0.0,0.0,0.0,1.6,1.2,2.4,10.4,6.7,28.1,1014262.6,652398.1,2853562.9,187.7,149.9,343.3,8283.1,8283.1,5045.823,0.000,1.642,10.446,1014262.639,187.669,6230.5,6230.5,5045.823,0.000,1.235,6.744,652398.067,149.859,11892.9,11892.9,5045.823,0.000,2.357,28.147,2853562.852,343.334,
23,23,motorway,9,5,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",5.000000,3.107520,5.000000,60.000000,-60.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,15897.6,10919.0,25506.7,15897.6,10919.0,25506.7,10000.0,10000.0,10000.0,0.0,0.0,0.0,1.6,1.1,2.6,9.8,6.1,36.7,1887697.3,1125954.3,7649355.6,360.6,272.5,842.4,15897.6,15897.6,10000.000,0.000,1.590,9.791,1887697.265,360.574,10919.0,10919.0,10000.000,0.000,1.092,6.066,1125954.340,272.500,25506.7,25506.7,10000.000,0.000,2.551,36.745,7649355.627,842.395,
24,24,motorway,9,8,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",10.000000,6.215040,10.000000,60.000000,-60.000000,5050.193156,3050.193156,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,6792.1,3843.8,11201.5,6792.1,3843.8,11201.5,5050.2,5050.2,5050.2,0.0,0.0,0.0,1.3,0.8,2.2,14.9,10.5,46.3,1456889.5,793025.2,4603350.9,318.5,206.1,595.9,6792.1,6792.1,5050.193,0.000,1.345,14.908,1456889.499,318.478,3843.8,3843.8,5050.193,0.000,0.761,10.503,793025.210,206.077,11201.5,11201.5,5050.193,0.000,2.218,46.305,4603350.893,595.887,
25,25,motorway,9,10,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",3.000000,1.864512,3.000000,60.000000,-60.000000,13915.788420,11915.788420,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,21888.0,17474.0,32722.8,21888.0,17474.0,32722.8,13915.8,13915.8,13915.8,0.0,0.0,0.0,1.6,1.3,2.4,5.8,4.1,16.8,1544930.0,1101824.6,4681546.3,298.1,250.9,564.8,21888.0,21888.0,13915.788,0.000,1.573,5.754,1544929.973,298.118,17474.0,17474.0,13915.788,0.000,1.256,4.119,1101824.612,250.877,32722.8,32722.8,13915.788,0.000,2.351,16.759,4681546.300,564.821,
26,26,motorway,10,9,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",3.000000,1.864512,3.000000,60.000000,-60.000000,13915.788420,11915.788420,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,21913.4,17581.9,32916.0,21913.4,17581.9,32916.0,13915.8,13915.8,13915.8,0.0,0.0,0.0,1.6,1.3,2.4,5.8,4.1,17.1,1548260.0,1110236.0,4784049.5,298.4,252.0,573.2,21913.4,21913.4,13915.788,0.000,1.575,5.767,1548260.018,298.434,17581.9,17581.9,13915.788,0.000,1.263,4.147,1110235.970,251.950,32916.0,32916.0,13915.788,0.000,2.365,17.087,4784049.514,573.217,
27,27,motorway,10,11,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",5.000000,3.107520,5.000000,60.000000,-60.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,17714.9,14584.3,26248.3,17714.9,14584.3,26248.3,10000.0,10000.0,10000.0,0.0,0.0,0.0,1.8,1.5,2.6,12.4,8.4,40.6,2375200.5,1625286.8,8581229.9,404.7,335.0,917.3,17714.9,17714.9,10000.000,0.000,1.771,12.386,2375200.469,404.711,14584.3,14584.3,10000.000,0.000,1.458,8.393,1625286.847,334.999,26248.3,26248.3,10000.000,0.000,2.625,40.601,8581229.879,917.322,
28,28,motorway,10,15,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",6.000000,3.729024,6.000000,60.000000,-60.000000,13512.001550,11512.001550,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,23147.4,18436.2,35119.8,23147.4,18436.2,35119.8,13512.0,13512.0,13512.0,0.0,0.0,0.0,1.7,1.4,2.6,13.8,9.1,47.1,3567147.5,2385907.9,13372152.2,631.0,516.6,1443.9,23147.4,23147.4,13512.002,0.000,1.713,13.751,3567147.540,630.961,18436.2,18436.2,13512.002,0.000,1.364,9.119,2385907.880,516.593,35119.8,35119.8,13512.002,0.000,2.599,47.075,13372152.186,1443.895,
29,29,motorway,10,16,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",4.000000,2.486016,4.000000,60.000000,-60.000000,4854.917717,2854.917717,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,11031.1,9499.1,16097.9,11031.1,9499.1,16097.9,4854.9,4854.9,4854.9,0.0,0.0,0.0,2.3,2.0,3.3,20.0,12.8,76.5,1924780.0,1194527.0,9216968.6,241.9,180.8,817.7,11031.1,11031.1,4854.918,0.000,2.272,19.992,1924780.017,241.936,9499.1,9499.1,4854.918,0.000,1.957,12.793,1194526.977,180.757,16097.9,16097.9,4854.918,0.000,3.316,76.527,9216968.554,817.727,
30,30,motorway,10,17,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",8.000000,4.972032,8.000000,60.000000,-60.000000,4993.510694,2993.510694,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8100.0,6297.0,12474.4,8100.0,6297.0,12474.4,4993.5,4993.5,4993.5,0.0,0.0,0.0,1.6,1.3,2.5,16.3,11.0,54.7,1568124.2,1059875.2,5631499.4,293.7,240.8,634.3,8100.0,8100.0,4993.511,0.000,1.622,16.308,1568124.217,293.668,6297.0,6297.0,4993.511,0.000,1.261,11.035,1059875.222,240.772,12474.4,12474.4,4993.511,0.000,2.498,54.734,5631499.402,634.259,
31,31,motorway,11,4,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",6.000000,3.729024,6.000000,60.000000,-60.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,5313.2,4230.3,9255.7,5313.2,4230.3,9255.7,4908.8,4908.8,4908.8,0.0,0.0,0.0,1.1,0.9,1.9,7.2,6.5,17.4,657121.4,522330.1,1636406.8,159.5,133.7,259.1,5313.2,5313.2,4908.827,0.000,1.082,7.235,657121.377,159.511,4230.3,4230.3,4908.827,0.000,0.862,6.496,522330.050,133.708,9255.7,9255.7,4908.827,0.000,1.886,17.375,1636406.845,259.092,
32,32,motorway,11,10,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",5.000000,3.107520,5.000000,60.000000,-60.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,17565.5,14497.6,26119.3,17565.5,14497.6,26119.3,10000.0,10000.0,10000.0,0.0,0.0,0.0,1.8,1.4,2.6,12.1,8.3,39.9,2328511.2,1610060.2,8411750.2,400.6,333.4,903.7,17565.5,17565.5,10000.000,0.000,1.757,12.140,2328511.242,400.583,14497.6,14497.6,10000.000,0.000,1.450,8.313,1610060.175,333.438,26119.3,26119.3,10000.000,0.000,2.612,39.907,8411750.200,903.725,
33,33,motorway,11,12,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",6.000000,3.729024,6.000000,60.000000,-60.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8356.3,7745.7,10990.5,8356.3,7745.7,10990.5,4908.8,4908.8,4908.8,0.0,0.0,0.0,1.7,1.6,2.2,13.6,11.6,28.6,1278050.5,1096436.0,2772724.9,227.6,210.9,354.8,8356.3,8356.3,4908.827,0.000,1.702,13.558,1278050.522,227.620,7745.7,7745.7,4908.827,0.000,1.578,11.579,1096436.006,210.937,10990.5,10990.5,4908.827,0.000,2.239,28.615,2772724.898,354.821,
34,34,motorway,11,14,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",4.000000,2.486016,4.000000,60.000000,-60.000000,4876.508287,2876.508287,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,9817.5,8375.4,14195.8,9817.5,8375.4,14195.8,4876.5,4876.5,4876.5,0.0,0.0,0.0,2.0,1.7,2.9,13.9,9.2,47.1,1303655.7,863154.9,5172866.7,190.4,152.2,502.8,9817.5,9817.5,4876.508,0.000,2.013,13.857,1303655.657,190.399,8375.4,8375.4,4876.508,0.000,1.718,9.221,863154.925,152.248,14195.8,14195.8,4876.508,0.000,2.911,47.088,5172866.713,502.792,
35,35,motorway,12,3,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",4.000000,2.486016,4.000000,60.000000,-60.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,10373.7,6674.9,21362.7,10373.7,6674.9,21362.7,23403.5,23403.5,23403.5,0.0,0.0,0.0,0.4,0.3,0.9,4.0,4.0,4.4,861550.1,554870.6,1756963.0,228.8,147.7,445.4,10373.7,10373.7,23403.473,0.000,0.443,4.023,861550.135,228.764,6674.9,6674.9,23403.473,0.000,0.285,4.004,554870.554,147.685,21362.7,21362.7,23403.473,0.000,0.913,4.417,1756962.991,445.427,
36,36,motorway,12,11,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",6.000000,3.729024,6.000000,60.000000,-60.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8406.9,7781.0,10993.7,8406.9,7781.0,10993.7,4908.8,4908.8,4908.8,0.0,0.0,0.0,1.7,1.6,2.2,13.7,11.7,28.6,1295091.2,1105820.7,2775523.9,229.1,211.8,355.1,8406.9,8406.9,4908.827,0.000,1.713,13.742,1295091.231,229.150,7781.0,7781.0,4908.827,0.000,1.585,11.682,1105820.711,211.822,10993.7,10993.7,4908.827,0.000,2.240,28.641,2775523.867,355.053,
