[PROCESS INFO] Step 0: reading section scenarios
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[PROCESS INFO] Step 1.1: Reading section demand_period ...
,demand_period= 1, am,time_period=0700_0800, 420-> 480
[PROCESS INFO] Step 1.2: Reading section mode_type...
mode_type =, auto, real time info flag = 0
link_type =, 1, link_type_name = motorway
,mode_type= auto,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 24
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,motorway,76,60,96.5604,314,778788,10247.2,4131.58,
,,-1,,,,1,motorway,[PROCESS INFO] Step 2.1: read demand, defined in demand_files section.
[DATA INFO] column updating: iteration = 24, avg travel time = 33.3431(min), optimization obj = 27934.8, Relative_gap = 0.125166 %
[DATA INFO] column updating: iteration = 25, avg travel time = 34.1524(min), optimization obj = 27350.9, Relative_gap = 0.122549 %
[DATA INFO] column updating: iteration = 26, avg travel time = 35.0866(min), optimization obj = 26858, Relative_gap = 0.12034 %
[DATA INFO] column updating: iteration = 27, avg travel time = 33.2345(min), optimization obj = 26560.1, Relative_gap = 0.119004 %
[DATA INFO] column updating: iteration = 28, avg travel time = 32.7687(min), optimization obj = 26052.4, Relative_gap = 0.116728 %
[DATA INFO] column updating: iteration = 29, avg travel time = 34.5221(min), optimization obj = 25601, Relative_gap = 0.114704 %
[DATA INFO] column updating: iteration = 30, avg travel time = 32.8987(min), optimization obj = 25238.2, Relative_gap = 0.113078 %
[DATA INFO] column updating: iteration = 31, avg travel time = 33.4097(min), optimization obj = 24937, Relative_gap = 0.111726 %
[DATA INFO] column updating: iteration = 32, avg travel time = 33.9971(min), optimization obj = 24559, Relative_gap = 0.110032 %
[DATA INFO] column updating: iteration = 33, avg travel time = 33.5796(min), optimization obj = 24200.9, Relative_gap = 0.108426 %
[DATA INFO] column updating: iteration = 34, avg travel time = 33.0001(min), optimization obj = 23892.7, Relative_gap = 0.107045 %
[DATA INFO] column updating: iteration = 35, avg travel time = 32.2828(min), optimization obj = 23703.5, Relative_gap = 0.106196 %
[DATA INFO] column updating: iteration = 36, avg travel time = 34.9706(min), optimization obj = 23392.1, Relative_gap = 0.1048 %
[DATA INFO] column updating: iteration = 37, avg travel time = 33.6819(min), optimization obj = 23110.1, Relative_gap = 0.103536 %
[DATA INFO] column updating: iteration = 38, avg travel time = 32.822(min), optimization obj = 22844.6, Relative_gap = 0.102345 %
[DATA INFO] column updating: iteration = 39, avg travel time = 31.7142(min), optimization obj = 22603.5, Relative_gap = 0.101264 %
[PROCESS INFO] Step 7: perform sensitivity analysis if section dynamic_traffic_management is provided for dtm_type = lane_closure or dms. 
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.yml. 
[PROCESS INFO] Step 9: Collecting statistics, Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,76,MAPE=,6.18104%
,VMT=,2.19219e+06,VKT=,3.52723e+06
,VHT=,199633
,network vehicle speed (MPH) =,10.9811,,network vehicle speed (KPH) =,17.6686
,PMT=,2.19219e+06,PKT=,3.52723e+06
,PHT=,199633
,network person speed (MPH) =,10.9811,,network person speed (KPH) =,17.6686
,simple avg link volume=,11873.7
,simple avg link speed=,25.3711
,simple avg link speed ratio=,0.422852
     Check OD connectivity and accessibility in od_performance_summary.csv
, # of connected OD pairs =, 0
, # of OD/mode_type/demand_type columns without paths =, 528
Output Link Performance Summary
Output 2 Way Link Performance Summary
