first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,OD_based_UE_relative_gap_compared_to_least_time_path_travel_time,path_based_UE_gap,path_based_relative_UE_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,11,1,8,0,7,1->8,0,auto,am,800.0000,13.0000,8.0796,47.3063,13.0000,8.030236,0.001295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,47.3063,0.0000,4,1;2;6;8;,1;4;16;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,0.014;4.802;29.490;,6.000;5.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,12,1,8,0,7,1->8,0,auto,am,0.0000,16.0000,9.9441,55.4385,16.0000,9.393724,0.001506,0.0000,8.1331,0.1156,0.0000,0.0000,0.0000,0.0000,0,55.4385,0.0000,6,1;3;4;5;6;8;,2;6;9;12;16;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324)",,0.077;1.780;1.169;6.922;29.490;,4.000;4.000;2.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,13,1,8,0,7,1->8,0,auto,am,0.0000,25.0000,15.5376,55.4479,25.0000,10.800023,0.002001,0.0000,8.1424,0.1157,0.0000,0.0000,0.0000,0.0000,0,55.4479,0.0000,6,1;3;4;5;9;8;,2;6;9;13;24;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",,0.077;1.780;1.169;12.684;14.738;,4.000;4.000;2.000;5.000;10.000;,0,,,,,,,,,-1.000000,0.000000,
0,14,1,9,0,8,1->9,0,auto,am,500.0000,15.0000,9.3226,30.7103,15.0000,6.334261,0.001240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,30.7103,0.0000,5,1;3;4;5;9;,2;6;9;13;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",,0.077;1.780;1.169;12.684;,4.000;4.000;2.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,15,1,9,0,8,1->9,0,auto,am,0.0000,22.0000,13.6731,58.0509,22.0000,10.652244,0.001864,0.0000,27.3333,0.3885,0.0000,0.0000,0.0000,0.0000,0,58.0509,0.0000,6,1;3;12;11;10;9;,2;7;36;32;26;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",,0.077;0.188;13.061;15.949;6.777;,4.000;4.000;6.000;5.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,16,1,10,0,9,1->10,0,auto,am,156.9882,19.0000,11.8086,41.1333,19.0000,8.222644,0.001565,0.0026,0.8670,0.0123,0.0000,0.0000,0.0000,0.0000,0,41.1333,0.0000,5,1;3;4;11;10;,2;6;10;32;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)",,0.077;1.780;4.328;15.949;,4.000;4.000;6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,17,1,10,0,9,1->10,0,auto,am,1143.0118,18.0000,11.1871,40.2765,18.0000,7.903004,0.001478,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,40.2765,0.0000,6,1;3;4;5;9;10;,2;6;9;13;25;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)",,0.077;1.780;1.169;12.684;6.566;,4.000;4.000;2.000;5.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,18,1,10,0,9,1->10,0,auto,am,0.0000,19.0000,11.8086,48.2744,19.0000,9.060417,0.001625,0.0026,7.9886,0.1135,0.0000,0.0000,0.0000,0.0000,0,48.2744,0.0000,5,1;3;12;11;10;,2;7;36;32;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)",,0.077;0.188;13.061;15.949;,4.000;4.000;6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,19,1,11,0,10,1->11,0,auto,am,500.0000,14.0000,8.7011,20.1845,14.0000,5.048854,0.001137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20.1845,0.0000,4,1;3;4;11;,2;6;10;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)",,0.077;1.780;4.328;,4.000;4.000;6.000;,0,,,,,,,,,-1.000000,0.000000,
0,20,1,11,0,10,1->11,0,auto,am,0.0000,14.0000,8.7011,27.3256,14.0000,5.886627,0.001197,0.0000,7.1217,0.1012,0.0000,0.0000,0.0000,0.0000,0,27.3256,0.0000,4,1;3;12;11;,2;7;36;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",,0.077;0.188;13.061;,4.000;4.000;6.000;,0,,,,,,,,,-1.000000,0.000000,
0,21,1,12,0,11,1->12,0,auto,am,200.0000,8.0000,4.9720,8.2641,8.0000,2.756901,0.000722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,8.2641,0.0000,3,1;3;12;,2;7;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)",,0.077;0.188;,4.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,22,1,13,0,12,1->13,0,auto,am,500.0000,11.0000,6.8365,11.4231,11.0000,3.788175,0.000990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,11.4231,0.0000,4,1;3;12;13;,2;7;37;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",,0.077;0.188;0.159;,4.000;4.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,23,1,14,0,13,1->14,0,auto,am,300.0000,18.0000,11.1871,44.8834,18.0000,8.500713,0.001539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,44.8834,0.0000,5,1;3;4;11;14;,2;6;10;34;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",,0.077;1.780;4.328;20.699;,4.000;4.000;6.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,24,1,14,0,13,1->14,0,auto,am,0.0000,18.0000,11.1871,52.0245,18.0000,9.338486,0.001600,0.0000,7.1217,0.1012,0.0000,0.0000,0.0000,0.0000,0,52.0245,0.0000,5,1;3;12;11;14;,2;7;36;34;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)",,0.077;0.188;13.061;20.699;,4.000;4.000;6.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,25,1,14,0,13,1->14,0,auto,am,0.0000,21.0000,13.0516,58.8171,21.0000,10.800246,0.001900,0.0000,13.9295,0.1980,0.0000,0.0000,0.0000,0.0000,0,58.8171,0.0000,7,1;3;12;13;24;23;14;,2;7;37;39;76;71;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.751035 43.529306)",,0.077;0.188;0.159;25.338;3.839;8.216;,4.000;4.000;3.000;4.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,26,1,15,0,14,1->15,0,auto,am,61.9116,25.0000,15.5376,65.3515,25.0000,11.927044,0.002072,0.0017,0.8670,0.0119,0.0000,0.0000,0.0000,0.0000,0,65.3515,0.0000,6,1;3;4;11;10;15;,2;6;10;32;28;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401)",,0.077;1.780;4.328;15.949;18.218;,4.000;4.000;6.000;5.000;6.000;,0,,,,,,,,,-1.000000,0.000000,
0,27,1,15,0,14,1->15,0,auto,am,438.0884,24.0000,14.9161,64.4947,24.0000,11.607403,0.001984,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,64.4947,0.0000,7,1;3;4;5;9;10;15;,2;6;9;13;25;28;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)",,0.077;1.780;1.169;12.684;6.566;18.218;,4.000;4.000;2.000;5.000;3.000;6.000;,0,,,,,,,,,-1.000000,0.000000,
0,28,1,15,0,14,1->15,0,auto,am,0.0000,23.0000,14.2946,65.5743,23.0000,11.645279,0.001965,0.0017,1.0905,0.0150,0.0000,0.0000,0.0000,0.0000,0,65.5743,0.0000,6,1;3;4;11;14;15;,2;6;10;34;41;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",,0.077;1.780;4.328;20.699;15.691;,4.000;4.000;6.000;4.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,29,1,15,0,14,1->15,0,auto,am,0.0000,23.0000,14.2946,72.7154,23.0000,12.483052,0.002025,0.0017,8.2122,0.1129,0.0000,0.0000,0.0000,0.0000,0,72.7154,0.0000,6,1;3;12;11;14;15;,2;7;36;34;41;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",,0.077;0.188;13.061;20.699;15.691;,4.000;4.000;6.000;4.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,30,1,16,0,15,1->16,0,auto,am,432.2216,18.0000,11.1871,64.0158,18.0000,10.729035,0.001695,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,64.0158,0.0000,5,1;2;6;8;16;,1;4;16;22;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744)",,0.014;4.802;29.490;11.710;,6.000;5.000;2.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,31,1,16,0,15,1->16,0,auto,am,67.7784,21.0000,13.0516,64.1425,21.0000,11.434311,0.001949,0.0003,0.1415,0.0019,0.0000,0.0000,0.0000,0.0000,0,64.1425,0.0000,7,1;2;6;8;7;18;16;,1;4;16;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",,0.014;4.802;29.490;7.458;0.244;1.135;,6.000;5.000;2.000;3.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,32,1,16,0,15,1->16,0,auto,am,0.0000,24.0000,14.9161,72.2748,24.0000,12.797799,0.002160,0.0003,8.2746,0.1138,0.0000,0.0000,0.0000,0.0000,0,72.2748,0.0000,9,1;3;4;5;6;8;7;18;16;,2;6;9;12;16;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",,0.077;1.780;1.169;6.922;29.490;7.458;0.244;1.135;,4.000;4.000;2.000;4.000;2.000;3.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,33,1,16,0,15,1->16,0,auto,am,0.0000,33.0000,20.5096,72.2841,33.0000,14.204098,0.002655,0.0003,8.2840,0.1139,0.0000,0.0000,0.0000,0.0000,0,72.2841,0.0000,9,1;3;4;5;9;8;7;18;16;,2;6;9;13;24;20;18;55;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",,0.077;1.780;1.169;12.684;14.738;7.458;0.244;1.135;,4.000;4.000;2.000;5.000;10.000;3.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,34,1,17,0,16,1->17,0,auto,am,52.3430,27.0000,16.7806,68.3260,27.0000,12.591273,0.002208,0.0017,0.8670,0.0109,0.0000,0.0000,0.0000,0.0000,0,68.3260,0.0000,6,1;3;4;11;10;17;,2;6;10;32;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.711382 43.541280)",,0.077;1.780;4.328;15.949;19.193;,4.000;4.000;6.000;5.000;8.000;,0,,,,,,,,,-1.000000,0.000000,
0,35,1,17,0,16,1->17,0,auto,am,347.6570,26.0000,16.1591,67.4691,26.0000,12.271633,0.002121,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,67.4691,0.0000,7,1;3;4;5;9;10;17;,2;6;9;13;25;30;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",,0.077;1.780;1.169;12.684;6.566;19.193;,4.000;4.000;2.000;5.000;3.000;8.000;,0,,,,,,,,,-1.000000,0.000000,
0,36,1,17,0,16,1->17,0,auto,am,0.0000,20.0000,12.4301,78.0335,20.0000,12.648985,0.001910,0.0017,10.5367,0.1328,0.0000,0.0000,0.0000,0.0000,0,78.0335,0.0000,6,1;2;6;8;16;17;,1;4;16;22;49;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280)",,0.014;4.802;29.490;11.710;12.018;,6.000;5.000;2.000;5.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,37,1,17,0,16,1->17,0,auto,am,0.0000,29.0000,18.0236,79.3404,29.0000,14.127978,0.002385,0.0017,11.8647,0.1496,0.0000,0.0000,0.0000,0.0000,0,79.3404,0.0000,9,1;3;4;5;9;10;15;19;17;,2;6;9;13;25;28;45;58;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711382 43.541280)",,0.077;1.780;1.169;12.684;6.566;18.218;3.050;6.796;,4.000;4.000;2.000;5.000;3.000;6.000;3.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,38,1,18,0,17,1->18,0,auto,am,100.0000,18.0000,11.1871,60.0080,18.0000,10.382537,0.001710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,60.0080,0.0000,6,1;2;6;8;7;18;,1;4;16;20;18;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",,0.014;4.802;29.490;7.458;0.244;,6.000;5.000;2.000;3.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,39,1,18,0,17,1->18,0,auto,am,0.0000,21.0000,13.0516,68.1403,21.0000,11.746025,0.001921,0.0000,8.1331,0.1025,0.0000,0.0000,0.0000,0.0000,0,68.1403,0.0000,8,1;3;4;5;6;8;7;18;,2;6;9;12;16;20;18;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",,0.077;1.780;1.169;6.922;29.490;7.458;0.244;,4.000;4.000;2.000;4.000;2.000;3.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,40,1,18,0,17,1->18,0,auto,am,0.0000,30.0000,18.6451,68.1496,30.0000,13.152324,0.002416,0.0000,8.1424,0.1026,0.0000,0.0000,0.0000,0.0000,0,68.1496,0.0000,8,1;3;4;5;9;8;7;18;,2;6;9;13;24;20;18;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",,0.077;1.780;1.169;12.684;14.738;7.458;0.244;,4.000;4.000;2.000;5.000;10.000;3.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,41,1,18,0,17,1->18,0,auto,am,0.0000,21.0000,13.0516,68.1237,21.0000,11.779362,0.001935,0.0000,8.1020,0.1021,0.0000,0.0000,0.0000,0.0000,0,68.1237,0.0000,6,1;2;6;8;16;18;,1;4;16;22;50;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744)",,0.014;4.802;29.490;11.710;1.108;,6.000;5.000;2.000;5.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,42,1,19,0,18,1->19,0,auto,am,40.9830,28.0000,17.4021,71.4016,28.0000,13.130836,0.002298,0.0017,0.8670,0.0100,0.0000,0.0000,0.0000,0.0000,0,71.4016,0.0000,7,1;3;4;11;10;15;19;,2;6;10;32;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",,0.077;1.780;4.328;15.949;18.218;3.050;,4.000;4.000;6.000;5.000;6.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,43,1,19,0,18,1->19,0,auto,am,259.0170,27.0000,16.7806,70.5448,27.0000,12.811196,0.002211,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,70.5448,0.0000,8,1;3;4;5;9;10;15;19;,2;6;9;13;25;28;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",,0.077;1.780;1.169;12.684;6.566;18.218;3.050;,4.000;4.000;2.000;5.000;3.000;6.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,44,1,19,0,18,1->19,0,auto,am,0.0000,22.0000,13.6731,87.1311,22.0000,14.000183,0.002086,0.0017,16.5534,0.1901,0.0000,0.0000,0.0000,0.0000,0,87.1311,0.0000,7,1;2;6;8;16;17;19;,1;4;16;22;49;53;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",,0.014;4.802;29.490;11.710;12.018;7.098;,6.000;5.000;2.000;5.000;2.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,45,1,19,0,18,1->19,0,auto,am,0.0000,26.0000,16.1591,78.7655,26.0000,13.686845,0.002252,0.0017,8.2122,0.0943,0.0000,0.0000,0.0000,0.0000,0,78.7655,0.0000,7,1;3;12;11;14;15;19;,2;7;36;34;41;45;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",,0.077;0.188;13.061;20.699;15.691;3.050;,4.000;4.000;6.000;4.000;5.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,46,1,20,0,19,1->20,0,auto,am,300.0000,22.0000,13.6731,65.2275,22.0000,11.770363,0.002034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,65.2275,0.0000,7,1;2;6;8;7;18;20;,1;4;16;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",,0.014;4.802;29.490;7.458;0.244;1.220;,6.000;5.000;2.000;3.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,47,1,20,0,19,1->20,0,auto,am,0.0000,25.0000,15.5376,73.3598,25.0000,13.133851,0.002245,0.0000,8.1331,0.0934,0.0000,0.0000,0.0000,0.0000,0,73.3598,0.0000,9,1;3;4;5;6;8;7;18;20;,2;6;9;12;16;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",,0.077;1.780;1.169;6.922;29.490;7.458;0.244;1.220;,4.000;4.000;2.000;4.000;2.000;3.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,48,1,20,0,19,1->20,0,auto,am,0.0000,34.0000,21.1311,73.3691,34.0000,14.540150,0.002740,0.0000,8.1424,0.0935,0.0000,0.0000,0.0000,0.0000,0,73.3691,0.0000,9,1;3;4;5;9;8;7;18;20;,2;6;9;13;24;20;18;56;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",,0.077;1.780;1.169;12.684;14.738;7.458;0.244;1.220;,4.000;4.000;2.000;5.000;10.000;3.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,49,1,20,0,19,1->20,0,auto,am,0.0000,25.0000,15.5376,73.3432,25.0000,13.167188,0.002259,0.0000,8.1020,0.0930,0.0000,0.0000,0.0000,0.0000,0,73.3432,0.0000,7,1;2;6;8;16;18;20;,1;4;16;22;50;56;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",,0.014;4.802;29.490;11.710;1.108;1.220;,6.000;5.000;2.000;5.000;3.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
