link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_auto,MEU_vol_auto,mode_link_cap_auto,mode_DOC_auto,mode_TT_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
12,12,bpr,5,6,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,7339.394,7339.394,8554.285,-1214.891,,2:0;8:4359;,0.000,0.000,0.000,,,,0.000,10.922,21.974,13.657,0.366,1.483,1.483,4947.995,4947.995,0.000,0.000,0.000,1.000,1.000,7339.393,0.955,1.142,1.498,0.917,60.000,51.000,0.400,4.000,21.974,16.924,18245.852,1336.036,18245.852,1336.036,846.743,760.397,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",7339.393,7339.393,4947.995,1.483306,10.922,60.000,60.000,60.000,60.000,26.585,18.330,17.407,22.646,50.503,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7339.394,7339.394,0.000,21.974,0.000,-21.974,1.483,0.000,-1.483,1.498,0.000,-1.498,period-based
13,13,bpr,5,9,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16466.814,16466.814,15714.926,751.888,,8:1195;10:11155;,0.000,0.000,0.000,,,,0.000,17.684,16.964,10.543,0.283,1.647,1.647,10000.000,10000.000,0.000,0.000,0.000,1.000,1.000,16466.814,0.955,1.142,1.688,1.083,60.000,51.000,0.400,4.000,16.964,12.015,51170.957,4853.421,51170.957,4853.421,3481.186,3239.027,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",16466.814,16466.814,10000.000,1.646681,17.684,60.000,60.000,60.000,60.000,18.273,12.914,12.324,15.683,47.185,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,16466.814,16466.814,0.000,16.964,0.000,-16.964,1.647,0.000,-1.647,1.688,0.000,-1.688,period-based
14,14,bpr,6,2,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6211.084,6211.084,5582.613,628.471,,1:4485;,0.000,0.000,0.000,,,,0.000,9.835,30.503,18.958,0.508,1.253,1.253,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,6211.084,0.955,1.142,1.235,0.417,60.000,51.000,0.400,4.000,30.503,26.414,19301.068,1018.110,19301.068,1018.110,500.519,409.180,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",6211.084,6211.084,4958.181,1.252694,9.835,60.000,60.000,60.000,60.000,40.216,28.703,27.209,35.205,55.310,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,6211.084,6211.084,0.000,30.503,0.000,-30.503,1.253,0.000,-1.253,1.235,0.000,-1.235,period-based
15,15,bpr,6,5,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,7340.064,7340.064,8519.162,-1179.098,,4:4508;9:1521;,0.000,0.000,0.000,,,,0.000,10.924,21.969,13.654,0.366,1.483,1.483,4947.995,4947.995,0.000,0.000,0.000,1.000,1.000,7340.065,0.955,1.142,1.498,0.917,60.000,51.000,0.400,4.000,21.969,16.919,18247.520,1336.436,18247.520,1336.436,847.098,760.745,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",7340.065,7340.065,4947.995,1.483442,10.924,60.000,60.000,60.000,60.000,26.578,18.325,17.402,22.640,50.500,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7340.064,7340.064,0.000,21.969,0.000,-21.969,1.483,0.000,-1.483,1.498,0.000,-1.498,period-based
16,16,bpr,6,8,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12714.212,12714.212,12837.499,-123.287,,7:4616;16:3836;,0.000,0.000,0.000,,,,0.000,31.490,3.811,2.368,0.064,2.595,2.595,4898.588,4898.588,0.000,0.000,0.000,1.000,1.000,12714.212,0.955,1.142,2.837,1.083,60.000,51.000,0.400,4.000,3.811,1.895,15803.868,6672.934,15803.868,6672.934,6249.127,6174.337,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",12714.212,12714.212,4898.588,2.595485,31.490,60.000,60.000,60.000,60.000,2.270,1.956,1.916,2.127,40.814,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12714.212,12714.212,0.000,3.811,0.000,-3.811,2.595,0.000,-2.595,2.837,0.000,-2.837,period-based
17,17,bpr,7,8,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12888.592,12888.592,12616.312,272.280,,6:4808;9:2101;,0.000,0.000,0.000,,,,0.000,10.557,17.050,10.597,0.284,1.644,1.644,7841.811,7841.811,0.000,0.000,0.000,1.000,1.000,12888.591,0.955,1.142,1.684,1.083,60.000,51.000,0.400,4.000,17.050,12.094,24030.936,2267.814,24030.936,2267.814,1623.385,1509.662,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",12888.591,12888.591,7841.811,1.643573,10.557,60.000,60.000,60.000,60.000,18.410,13.001,12.406,15.796,47.240,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12888.592,12888.592,0.000,17.050,0.000,-17.050,1.644,0.000,-1.644,1.684,0.000,-1.684,period-based
18,18,bpr,7,18,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16465.463,16465.463,15620.555,844.908,,16:6320;20:9010;,0.000,0.000,0.000,,,,0.000,2.244,53.481,33.239,0.891,0.704,0.704,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,16465.464,0.955,1.142,0.234,0.000,60.000,51.000,0.400,4.000,53.481,50.939,20466.703,615.748,20466.703,615.748,66.899,0.000,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",16465.464,16465.464,23403.473,0.703548,2.244,60.000,60.000,60.000,60.000,58.582,55.863,54.261,57.163,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,16465.463,16465.463,0.000,53.481,0.000,-53.481,0.704,0.000,-0.704,0.234,0.000,-0.234,period-based
19,19,bpr,8,6,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12727.889,12727.889,12901.775,-173.886,,2:5011;5:4318;,0.000,0.000,0.000,,,,0.000,31.616,3.796,2.359,0.063,2.598,2.598,4898.588,4898.588,0.000,0.000,0.000,1.000,1.000,12727.888,0.955,1.142,2.840,1.083,60.000,51.000,0.400,4.000,3.796,1.886,15820.868,6706.750,15820.868,6706.750,6282.487,6207.617,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",12727.888,12727.888,4898.588,2.598277,31.616,60.000,60.000,60.000,60.000,2.258,1.947,1.907,2.116,40.810,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12727.889,12727.889,0.000,3.796,0.000,-3.796,2.598,0.000,-2.598,2.840,0.000,-2.840,period-based
20,20,bpr,8,7,1.000000,3.000000,1.864512,3.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12842.792,12842.792,12528.570,314.222,,18:8586;,0.000,0.000,0.000,,,,0.000,10.458,17.212,10.697,0.287,1.638,1.638,7841.811,7841.811,0.000,0.000,0.000,1.000,1.000,12842.792,0.955,1.142,1.677,1.083,60.000,51.000,0.400,4.000,17.212,12.245,23945.541,2238.487,23945.541,2238.487,1596.348,1483.029,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",12842.792,12842.792,7841.811,1.637733,10.458,60.000,60.000,60.000,60.000,18.668,13.167,12.562,16.010,47.345,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12842.792,12842.792,0.000,17.212,0.000,-17.212,1.638,0.000,-1.638,1.677,0.000,-1.677,period-based
21,21,bpr,8,9,1.000000,10.000000,6.215040,10.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,7145.441,7145.441,7211.184,-65.743,,5:1179;10:2366;,0.000,0.000,0.000,,,,0.000,24.630,24.360,15.140,0.406,1.415,1.415,5050.193,5050.193,0.000,0.000,0.000,1.000,1.000,7145.442,0.955,1.142,1.419,0.750,60.000,51.000,0.400,4.000,24.360,19.444,44409.207,2933.248,44409.207,2933.248,1742.341,1532.181,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",7145.442,7145.442,5050.193,1.414885,24.630,60.000,60.000,60.000,60.000,30.625,21.107,20.016,26.153,52.044,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7145.441,7145.441,0.000,24.360,0.000,-24.360,1.415,0.000,-1.415,1.419,0.000,-1.419,period-based
