link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,link_distance_in_km,free_speed,fftt,capacity,allow_uses,geometry
75,74,24,21,1,,1,0.003000,60.000000,0.001865,4885.357564,,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",
76,75,24,23,1,,1,0.002000,60.000000,0.001243,5078.508436,,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",
,76,1,-1,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.770420 43.612828,-96.749200 43.503164)"
,77,-1,1,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.770420 43.612828)"
,78,2,-2,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711251 43.605813,-96.749200 43.503164)"
,79,-2,2,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711251 43.605813)"
,80,3,-3,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.774303 43.572962,-96.749200 43.503164)"
,81,-3,3,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.774303 43.572962)"
,82,4,-4,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.747168 43.563654,-96.749200 43.503164)"
,83,-4,4,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.747168 43.563654)"
,84,5,-5,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.731569 43.564034,-96.749200 43.503164)"
,85,-5,5,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.731569 43.564034)"
,86,6,-6,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711644 43.587586,-96.749200 43.503164)"
,87,-6,6,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711644 43.587586)"
,88,7,-7,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.693423 43.563844,-96.749200 43.503164)"
,89,-7,7,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.693423 43.563844)"
,90,8,-8,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711382 43.562324,-96.749200 43.503164)"
,91,-8,8,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711382 43.562324)"
,92,9,-9,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.731241 43.548596,-96.749200 43.503164)"
,93,-9,9,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.731241 43.548596)"
,94,10,-10,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.731438 43.545271,-96.749200 43.503164)"
,95,-10,10,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.731438 43.545271)"
,96,11,-11,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.746841 43.544131,-96.749200 43.503164)"
,97,-11,11,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.746841 43.544131)"
,98,12,-12,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.780137 43.543941,-96.749200 43.503164)"
,99,-12,12,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.780137 43.543941)"
,100,13,-13,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.793377 43.490707,-96.749200 43.503164)"
,101,-13,13,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.793377 43.490707)"
,102,14,-14,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.751035 43.529306,-96.749200 43.503164)"
,103,-14,14,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.751035 43.529306)"
,104,15,-15,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.731504 43.529401,-96.749200 43.503164)"
,105,-15,15,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.731504 43.529401)"
,106,16,-16,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711382 43.546744,-96.749200 43.503164)"
,107,-16,16,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711382 43.546744)"
,108,17,-17,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711382 43.541280,-96.749200 43.503164)"
,109,-17,17,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711382 43.541280)"
,110,18,-18,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.694078 43.546744,-96.749200 43.503164)"
,111,-18,18,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.694078 43.546744)"
,112,19,-19,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711316 43.529591,-96.749200 43.503164)"
,113,-19,19,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711316 43.529591)"
,114,20,-20,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.711185 43.515333,-96.749200 43.503164)"
,115,-20,20,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.711185 43.515333)"
,116,21,-21,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.730979 43.510485,-96.749200 43.503164)"
,117,-21,21,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.730979 43.510485)"
,118,22,-22,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.731241 43.514858,-96.749200 43.503164)"
,119,-22,22,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.731241 43.514858)"
,120,23,-23,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.750904 43.514858,-96.749200 43.503164)"
,121,-23,23,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.750904 43.514858)"
,122,24,-24,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.749200 43.503164)"
,123,-24,24,-1,,1,0.000010,0.000000,1.000000,999999.000000,,"LINESTRING (-96.749200 43.503164,-96.749200 43.503164)"
