name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,geometry
,29,10,16,freeway,1,4,1,4854.917717,60,1,0,4,4854.917717,0.15,4,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)"
,30,10,17,freeway,1,8,1,4993.510694,60,1,0,8,4993.510694,0.15,4,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)"
,31,11,4,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)"
,32,11,10,freeway,1,5,1,10000,60,1,0,5,10000,0.15,4,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)"
,33,11,12,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)"
,34,11,14,freeway,1,4,1,4876.508287,60,1,0,4,4876.508287,0.15,4,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)"
,35,12,3,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)"
,36,12,11,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)"
,37,12,13,freeway,1,3,1,25900.20064,60,1,0,3,25900.20064,0.15,4,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)"
,38,13,12,freeway,1,3,1,25900.20064,60,1,0,3,25900.20064,0.15,4,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)"
,39,13,24,freeway,1,4,1,5091.256152,60,1,0,4,5091.256152,0.15,4,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)"
,40,14,11,freeway,1,4,1,4876.508287,60,1,0,4,4876.508287,0.15,4,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)"
,41,14,15,freeway,1,5,1,5127.526119,60,1,0,5,5127.526119,0.15,4,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)"
,42,14,23,freeway,1,4,1,4924.790605,60,1,0,4,4924.790605,0.15,4,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)"
,43,15,10,freeway,1,6,1,13512.00155,60,1,0,6,13512.00155,0.15,4,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)"
,44,15,14,freeway,1,5,1,5127.526119,60,1,0,5,5127.526119,0.15,4,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)"
,45,15,19,freeway,1,3,1,14564.75315,60,1,0,3,14564.75315,0.15,4,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)"
,46,15,22,freeway,1,3,1,9599.180565,60,1,0,3,9599.180565,0.15,4,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)"
,47,16,8,freeway,1,5,1,5045.822583,60,1,0,5,5045.822583,0.15,4,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)"
,48,16,10,freeway,1,4,1,4854.917717,60,1,0,4,4854.917717,0.15,4,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)"
,49,16,17,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)"
,50,16,18,freeway,1,3,1,19679.89671,60,1,0,3,19679.89671,0.15,4,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)"
,51,17,10,freeway,1,8,1,4993.510694,60,1,0,8,4993.510694,0.15,4,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)"
,52,17,16,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)"
,53,17,19,freeway,1,2,1,4823.950831,60,1,0,2,4823.950831,0.15,4,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)"
,54,18,7,freeway,1,2,1,23403.47319,60,1,0,2,23403.47319,0.15,4,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)"
,55,18,16,freeway,1,3,1,19679.89671,60,1,0,3,19679.89671,0.15,4,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)"
,56,18,20,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)"
,57,19,15,freeway,1,3,1,14564.75315,60,1,0,3,14564.75315,0.15,4,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)"
,58,19,17,freeway,1,2,1,4823.950831,60,1,0,2,4823.950831,0.15,4,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)"
,59,19,20,freeway,1,4,1,5002.607563,60,1,0,4,5002.607563,0.15,4,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)"
,60,20,18,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)"
,61,20,19,freeway,1,4,1,5002.607563,60,1,0,4,5002.607563,0.15,4,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)"
,62,20,21,freeway,1,6,1,5059.91234,60,1,0,6,5059.91234,0.15,4,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)"
,63,20,22,freeway,1,5,1,5075.697193,60,1,0,5,5075.697193,0.15,4,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)"
,64,21,20,freeway,1,6,1,5059.91234,60,1,0,6,5059.91234,0.15,4,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)"
,65,21,22,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)"
,66,21,24,freeway,1,3,1,4885.357564,60,1,0,3,4885.357564,0.15,4,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)"
,67,22,15,freeway,1,3,1,9599.180565,60,1,0,3,9599.180565,0.15,4,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)"
,68,22,20,freeway,1,5,1,5075.697193,60,1,0,5,5075.697193,0.15,4,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)"
,69,22,21,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)"
,70,22,23,freeway,1,4,1,5000,60,1,0,4,5000,0.15,4,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)"
,71,23,14,freeway,1,4,1,4924.790605,60,1,0,4,4924.790605,0.15,4,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)"
,72,23,22,freeway,1,4,1,5000,60,1,0,4,5000,0.15,4,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)"
,73,23,24,freeway,1,2,1,5078.508436,60,1,0,2,5078.508436,0.15,4,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)"
,74,24,13,freeway,1,4,1,5091.256152,60,1,0,4,5091.256152,0.15,4,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)"
,75,24,21,freeway,1,3,1,4885.357564,60,1,0,3,4885.357564,0.15,4,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)"
,76,24,23,freeway,1,2,1,5078.508436,60,1,0,2,5078.508436,0.15,4,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)"
