o_zone_id,d_zone_id,distance,geometry
5,1,3.8938,"LINESTRING (-96.731569 43.564034,-96.770420 43.612828,)"
5,2,3.0621,"LINESTRING (-96.731569 43.564034,-96.711251 43.605813,)"
5,3,2.2276,"LINESTRING (-96.731569 43.564034,-96.774303 43.572962,)"
5,4,0.7818,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654,)"
5,6,1.9096,"LINESTRING (-96.731569 43.564034,-96.711644 43.587586,)"
5,7,1.9108,"LINESTRING (-96.731569 43.564034,-96.693423 43.563844,)"
5,8,1.0181,"LINESTRING (-96.731569 43.564034,-96.711382 43.562324,)"
5,9,1.0673,"LINESTRING (-96.731569 43.564034,-96.731241 43.548596,)"
5,10,1.2970,"LINESTRING (-96.731569 43.564034,-96.731438 43.545271,)"
5,11,1.5743,"LINESTRING (-96.731569 43.564034,-96.746841 43.544131,)"
5,12,2.8017,"LINESTRING (-96.731569 43.564034,-96.780137 43.543941,)"
5,13,5.9405,"LINESTRING (-96.731569 43.564034,-96.793377 43.490707,)"
5,14,2.5912,"LINESTRING (-96.731569 43.564034,-96.751035 43.529306,)"
5,15,2.3941,"LINESTRING (-96.731569 43.564034,-96.731504 43.529401,)"
5,16,1.5657,"LINESTRING (-96.731569 43.564034,-96.711382 43.546744,)"
5,17,1.8700,"LINESTRING (-96.731569 43.564034,-96.711382 43.541280,)"
5,18,2.2262,"LINESTRING (-96.731569 43.564034,-96.694078 43.546744,)"
5,19,2.5881,"LINESTRING (-96.731569 43.564034,-96.711316 43.529591,)"
5,20,3.5181,"LINESTRING (-96.731569 43.564034,-96.711185 43.515333,)"
5,21,3.7018,"LINESTRING (-96.731569 43.564034,-96.730979 43.510485,)"
5,22,3.3994,"LINESTRING (-96.731569 43.564034,-96.731241 43.514858,)"
5,23,3.5348,"LINESTRING (-96.731569 43.564034,-96.750904 43.514858,)"
5,24,4.2995,"LINESTRING (-96.731569 43.564034,-96.749200 43.503164,)"
6,1,3.4208,"LINESTRING (-96.711644 43.587586,-96.770420 43.612828,)"
6,2,1.2602,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813,)"
6,3,3.2966,"LINESTRING (-96.711644 43.587586,-96.774303 43.572962,)"
6,4,2.4294,"LINESTRING (-96.711644 43.587586,-96.747168 43.563654,)"
6,5,1.9096,"LINESTRING (-96.711644 43.587586,-96.731569 43.564034,)"
6,7,1.8778,"LINESTRING (-96.711644 43.587586,-96.693423 43.563844,)"
6,8,1.7463,"LINESTRING (-96.711644 43.587586,-96.711382 43.562324,)"
6,9,2.8684,"LINESTRING (-96.711644 43.587586,-96.731241 43.548596,)"
6,10,3.0886,"LINESTRING (-96.711644 43.587586,-96.731438 43.545271,)"
6,11,3.4830,"LINESTRING (-96.711644 43.587586,-96.746841 43.544131,)"
6,12,4.5686,"LINESTRING (-96.711644 43.587586,-96.780137 43.543941,)"
6,13,7.8501,"LINESTRING (-96.711644 43.587586,-96.793377 43.490707,)"
6,14,4.4860,"LINESTRING (-96.711644 43.587586,-96.751035 43.529306,)"
6,15,4.1434,"LINESTRING (-96.711644 43.587586,-96.731504 43.529401,)"
6,16,2.8233,"LINESTRING (-96.711644 43.587586,-96.711382 43.546744,)"
6,17,3.2010,"LINESTRING (-96.711644 43.587586,-96.711382 43.541280,)"
6,18,2.9572,"LINESTRING (-96.711644 43.587586,-96.694078 43.546744,)"
6,19,4.0090,"LINESTRING (-96.711644 43.587586,-96.711316 43.529591,)"
6,20,4.9947,"LINESTRING (-96.711644 43.587586,-96.711185 43.515333,)"
6,21,5.4171,"LINESTRING (-96.711644 43.587586,-96.730979 43.510485,)"
6,22,5.1224,"LINESTRING (-96.711644 43.587586,-96.731241 43.514858,)"
6,23,5.3986,"LINESTRING (-96.711644 43.587586,-96.750904 43.514858,)"
6,24,6.1317,"LINESTRING (-96.711644 43.587586,-96.749200 43.503164,)"
7,1,5.1312,"LINESTRING (-96.693423 43.563844,-96.770420 43.612828,)"
7,2,3.0355,"LINESTRING (-96.693423 43.563844,-96.711251 43.605813,)"
7,3,4.0998,"LINESTRING (-96.693423 43.563844,-96.774303 43.572962,)"
7,4,2.6922,"LINESTRING (-96.693423 43.563844,-96.747168 43.563654,)"
7,5,1.9108,"LINESTRING (-96.693423 43.563844,-96.731569 43.564034,)"
7,6,1.8778,"LINESTRING (-96.693423 43.563844,-96.711644 43.587586,)"
7,8,0.9057,"LINESTRING (-96.693423 43.563844,-96.711382 43.562324,)"
7,9,2.1680,"LINESTRING (-96.693423 43.563844,-96.731241 43.548596,)"
7,10,2.2968,"LINESTRING (-96.693423 43.563844,-96.731438 43.545271,)"
7,11,3.0031,"LINESTRING (-96.693423 43.563844,-96.746841 43.544131,)"
7,12,4.5569,"LINESTRING (-96.693423 43.563844,-96.780137 43.543941,)"
7,13,7.1175,"LINESTRING (-96.693423 43.563844,-96.793377 43.490707,)"
7,14,3.7461,"LINESTRING (-96.693423 43.563844,-96.751035 43.529306,)"
7,15,3.0511,"LINESTRING (-96.693423 43.563844,-96.731504 43.529401,)"
7,16,1.4855,"LINESTRING (-96.693423 43.563844,-96.711382 43.546744,)"
7,17,1.8007,"LINESTRING (-96.693423 43.563844,-96.711382 43.541280,)"
7,18,1.1825,"LINESTRING (-96.693423 43.563844,-96.694078 43.546744,)"
7,19,2.5318,"LINESTRING (-96.693423 43.563844,-96.711316 43.529591,)"
7,20,3.4695,"LINESTRING (-96.693423 43.563844,-96.711185 43.515333,)"
7,21,4.1409,"LINESTRING (-96.693423 43.563844,-96.730979 43.510485,)"
7,22,3.8805,"LINESTRING (-96.693423 43.563844,-96.731241 43.514858,)"
7,23,4.4456,"LINESTRING (-96.693423 43.563844,-96.750904 43.514858,)"
7,24,5.0407,"LINESTRING (-96.693423 43.563844,-96.749200 43.503164,)"
8,1,4.5746,"LINESTRING (-96.711382 43.562324,-96.770420 43.612828,)"
8,2,3.0063,"LINESTRING (-96.711382 43.562324,-96.711251 43.605813,)"
8,3,3.2362,"LINESTRING (-96.711382 43.562324,-96.774303 43.572962,)"
8,4,1.7949,"LINESTRING (-96.711382 43.562324,-96.747168 43.563654,)"
8,5,1.0181,"LINESTRING (-96.711382 43.562324,-96.731569 43.564034,)"
8,6,1.7463,"LINESTRING (-96.711382 43.562324,-96.711644 43.587586,)"
8,7,0.9057,"LINESTRING (-96.711382 43.562324,-96.693423 43.563844,)"
8,9,1.3749,"LINESTRING (-96.711382 43.562324,-96.731241 43.548596,)"
8,10,1.5489,"LINESTRING (-96.711382 43.562324,-96.731438 43.545271,)"
8,11,2.1766,"LINESTRING (-96.711382 43.562324,-96.746841 43.544131,)"
8,12,3.6715,"LINESTRING (-96.711382 43.562324,-96.780137 43.543941,)"
8,13,6.4342,"LINESTRING (-96.711382 43.562324,-96.793377 43.490707,)"
8,14,3.0261,"LINESTRING (-96.711382 43.562324,-96.751035 43.529306,)"
8,15,2.4892,"LINESTRING (-96.711382 43.562324,-96.731504 43.529401,)"
8,16,1.0770,"LINESTRING (-96.711382 43.562324,-96.711382 43.546744,)"
8,17,1.4547,"LINESTRING (-96.711382 43.562324,-96.711382 43.541280,)"
8,18,1.3825,"LINESTRING (-96.711382 43.562324,-96.694078 43.546744,)"
8,19,2.2627,"LINESTRING (-96.711382 43.562324,-96.711316 43.529591,)"
8,20,3.2483,"LINESTRING (-96.711382 43.562324,-96.711185 43.515333,)"
8,21,3.7156,"LINESTRING (-96.711382 43.562324,-96.730979 43.510485,)"
8,22,3.4288,"LINESTRING (-96.711382 43.562324,-96.731241 43.514858,)"
8,23,3.8326,"LINESTRING (-96.711382 43.562324,-96.750904 43.514858,)"
8,24,4.5074,"LINESTRING (-96.711382 43.562324,-96.749200 43.503164,)"
9,1,4.8543,"LINESTRING (-96.731241 43.548596,-96.770420 43.612828,)"
9,2,4.0800,"LINESTRING (-96.731241 43.548596,-96.711251 43.605813,)"
9,3,2.7368,"LINESTRING (-96.731241 43.548596,-96.774303 43.572962,)"
9,4,1.3115,"LINESTRING (-96.731241 43.548596,-96.747168 43.563654,)"
9,5,1.0673,"LINESTRING (-96.731241 43.548596,-96.731569 43.564034,)"
9,6,2.8684,"LINESTRING (-96.731241 43.548596,-96.711644 43.587586,)"
9,7,2.1680,"LINESTRING (-96.731241 43.548596,-96.693423 43.563844,)"
9,8,1.3749,"LINESTRING (-96.731241 43.548596,-96.711382 43.562324,)"
9,10,0.2301,"LINESTRING (-96.731241 43.548596,-96.731438 43.545271,)"
9,11,0.8404,"LINESTRING (-96.731241 43.548596,-96.746841 43.544131,)"
9,12,2.4710,"LINESTRING (-96.731241 43.548596,-96.780137 43.543941,)"
9,13,5.0710,"LINESTRING (-96.731241 43.548596,-96.793377 43.490707,)"
9,14,1.6619,"LINESTRING (-96.731241 43.548596,-96.751035 43.529306,)"
9,15,1.3270,"LINESTRING (-96.731241 43.548596,-96.731504 43.529401,)"
9,16,1.0033,"LINESTRING (-96.731241 43.548596,-96.711382 43.546744,)"
9,17,1.1162,"LINESTRING (-96.731241 43.548596,-96.711382 43.541280,)"
9,18,1.8664,"LINESTRING (-96.731241 43.548596,-96.694078 43.546744,)"
9,19,1.6501,"LINESTRING (-96.731241 43.548596,-96.711316 43.529591,)"
9,20,2.5095,"LINESTRING (-96.731241 43.548596,-96.711185 43.515333,)"
9,21,2.6346,"LINESTRING (-96.731241 43.548596,-96.730979 43.510485,)"
9,22,2.3322,"LINESTRING (-96.731241 43.548596,-96.731241 43.514858,)"
9,23,2.5319,"LINESTRING (-96.731241 43.548596,-96.750904 43.514858,)"
9,24,3.2671,"LINESTRING (-96.731241 43.548596,-96.749200 43.503164,)"
10,1,5.0616,"LINESTRING (-96.731438 43.545271,-96.770420 43.612828,)"
10,2,4.3055,"LINESTRING (-96.731438 43.545271,-96.711251 43.605813,)"
10,3,2.8766,"LINESTRING (-96.731438 43.545271,-96.774303 43.572962,)"
10,4,1.4953,"LINESTRING (-96.731438 43.545271,-96.747168 43.563654,)"
10,5,1.2970,"LINESTRING (-96.731438 43.545271,-96.731569 43.564034,)"
10,6,3.0886,"LINESTRING (-96.731438 43.545271,-96.711644 43.587586,)"
10,7,2.2968,"LINESTRING (-96.731438 43.545271,-96.693423 43.563844,)"
10,8,1.5489,"LINESTRING (-96.731438 43.545271,-96.711382 43.562324,)"
10,9,0.2301,"LINESTRING (-96.731438 43.545271,-96.731241 43.548596,)"
10,11,0.7758,"LINESTRING (-96.731438 43.545271,-96.746841 43.544131,)"
10,12,2.4418,"LINESTRING (-96.731438 43.545271,-96.780137 43.543941,)"
10,13,4.8854,"LINESTRING (-96.731438 43.545271,-96.793377 43.490707,)"
10,14,1.4773,"LINESTRING (-96.731438 43.545271,-96.751035 43.529306,)"
10,15,1.0970,"LINESTRING (-96.731438 43.545271,-96.731504 43.529401,)"
10,16,1.0101,"LINESTRING (-96.731438 43.545271,-96.711382 43.546744,)"
10,17,1.0421,"LINESTRING (-96.731438 43.545271,-96.711382 43.541280,)"
10,18,1.8747,"LINESTRING (-96.731438 43.545271,-96.694078 43.546744,)"
10,19,1.4804,"LINESTRING (-96.731438 43.545271,-96.711316 43.529591,)"
10,20,2.3050,"LINESTRING (-96.731438 43.545271,-96.711185 43.515333,)"
10,21,2.4048,"LINESTRING (-96.731438 43.545271,-96.730979 43.510485,)"
10,22,2.1024,"LINESTRING (-96.731438 43.545271,-96.731241 43.514858,)"
10,23,2.3177,"LINESTRING (-96.731438 43.545271,-96.750904 43.514858,)"
10,24,3.0438,"LINESTRING (-96.731438 43.545271,-96.749200 43.503164,)"
11,1,4.8935,"LINESTRING (-96.746841 43.544131,-96.770420 43.612828,)"
11,2,4.6215,"LINESTRING (-96.746841 43.544131,-96.711251 43.605813,)"
11,3,2.4217,"LINESTRING (-96.746841 43.544131,-96.774303 43.572962,)"
11,4,1.3497,"LINESTRING (-96.746841 43.544131,-96.747168 43.563654,)"
11,5,1.5743,"LINESTRING (-96.746841 43.544131,-96.731569 43.564034,)"
11,6,3.4830,"LINESTRING (-96.746841 43.544131,-96.711644 43.587586,)"
11,7,3.0031,"LINESTRING (-96.746841 43.544131,-96.693423 43.563844,)"
11,8,2.1766,"LINESTRING (-96.746841 43.544131,-96.711382 43.562324,)"
11,9,0.8404,"LINESTRING (-96.746841 43.544131,-96.731241 43.548596,)"
11,10,0.7758,"LINESTRING (-96.746841 43.544131,-96.731438 43.545271,)"
11,12,1.6684,"LINESTRING (-96.746841 43.544131,-96.780137 43.543941,)"
11,13,4.3681,"LINESTRING (-96.746841 43.544131,-96.793377 43.490707,)"
11,14,1.0461,"LINESTRING (-96.746841 43.544131,-96.751035 43.529306,)"
11,15,1.2757,"LINESTRING (-96.746841 43.544131,-96.731504 43.529401,)"
11,16,1.7859,"LINESTRING (-96.746841 43.544131,-96.711382 43.546744,)"
11,17,1.7877,"LINESTRING (-96.746841 43.544131,-96.711382 43.541280,)"
11,18,2.6499,"LINESTRING (-96.746841 43.544131,-96.694078 43.546744,)"
11,19,2.0444,"LINESTRING (-96.746841 43.544131,-96.711316 43.529591,)"
11,20,2.6751,"LINESTRING (-96.746841 43.544131,-96.711185 43.515333,)"
11,21,2.4580,"LINESTRING (-96.746841 43.544131,-96.730979 43.510485,)"
11,22,2.1693,"LINESTRING (-96.746841 43.544131,-96.731241 43.514858,)"
11,23,2.0338,"LINESTRING (-96.746841 43.544131,-96.750904 43.514858,)"
11,24,2.8344,"LINESTRING (-96.746841 43.544131,-96.749200 43.503164,)"
12,1,4.7868,"LINESTRING (-96.780137 43.543941,-96.770420 43.612828,)"
12,2,5.4950,"LINESTRING (-96.780137 43.543941,-96.711251 43.605813,)"
12,3,2.0273,"LINESTRING (-96.780137 43.543941,-96.774303 43.572962,)"
12,4,2.1413,"LINESTRING (-96.780137 43.543941,-96.747168 43.563654,)"
12,5,2.8017,"LINESTRING (-96.780137 43.543941,-96.731569 43.564034,)"
12,6,4.5686,"LINESTRING (-96.780137 43.543941,-96.711644 43.587586,)"
12,7,4.5569,"LINESTRING (-96.780137 43.543941,-96.693423 43.563844,)"
12,8,3.6715,"LINESTRING (-96.780137 43.543941,-96.711382 43.562324,)"
12,9,2.4710,"LINESTRING (-96.780137 43.543941,-96.731241 43.548596,)"
12,10,2.4418,"LINESTRING (-96.780137 43.543941,-96.731438 43.545271,)"
12,11,1.6684,"LINESTRING (-96.780137 43.543941,-96.746841 43.544131,)"
12,13,3.7393,"LINESTRING (-96.780137 43.543941,-96.793377 43.490707,)"
12,14,1.7749,"LINESTRING (-96.780137 43.543941,-96.751035 43.529306,)"
12,15,2.6363,"LINESTRING (-96.780137 43.543941,-96.731504 43.529401,)"
12,16,3.4505,"LINESTRING (-96.780137 43.543941,-96.711382 43.546744,)"
12,17,3.4501,"LINESTRING (-96.780137 43.543941,-96.711382 43.541280,)"
12,18,4.3164,"LINESTRING (-96.780137 43.543941,-96.694078 43.546744,)"
12,19,3.5886,"LINESTRING (-96.780137 43.543941,-96.711316 43.529591,)"
12,20,3.9816,"LINESTRING (-96.780137 43.543941,-96.711185 43.515333,)"
12,21,3.3792,"LINESTRING (-96.780137 43.543941,-96.730979 43.510485,)"
12,22,3.1697,"LINESTRING (-96.780137 43.543941,-96.731241 43.514858,)"
12,23,2.4876,"LINESTRING (-96.780137 43.543941,-96.750904 43.514858,)"
12,24,3.2171,"LINESTRING (-96.780137 43.543941,-96.749200 43.503164,)"
13,1,8.5199,"LINESTRING (-96.793377 43.490707,-96.770420 43.612828,)"
13,2,8.9580,"LINESTRING (-96.793377 43.490707,-96.711251 43.605813,)"
13,3,5.7658,"LINESTRING (-96.793377 43.490707,-96.774303 43.572962,)"
13,4,5.5490,"LINESTRING (-96.793377 43.490707,-96.747168 43.563654,)"
13,5,5.9405,"LINESTRING (-96.793377 43.490707,-96.731569 43.564034,)"
13,6,7.8501,"LINESTRING (-96.793377 43.490707,-96.711644 43.587586,)"
13,7,7.1175,"LINESTRING (-96.793377 43.490707,-96.693423 43.563844,)"
13,8,6.4342,"LINESTRING (-96.793377 43.490707,-96.711382 43.562324,)"
13,9,5.0710,"LINESTRING (-96.793377 43.490707,-96.731241 43.548596,)"
13,10,4.8854,"LINESTRING (-96.793377 43.490707,-96.731438 43.545271,)"
13,11,4.3681,"LINESTRING (-96.793377 43.490707,-96.746841 43.544131,)"
13,12,3.7393,"LINESTRING (-96.793377 43.490707,-96.780137 43.543941,)"
13,14,3.4097,"LINESTRING (-96.793377 43.490707,-96.751035 43.529306,)"
13,15,4.0960,"LINESTRING (-96.793377 43.490707,-96.731504 43.529401,)"
13,16,5.6479,"LINESTRING (-96.793377 43.490707,-96.711382 43.546744,)"
13,17,5.3961,"LINESTRING (-96.793377 43.490707,-96.711382 43.541280,)"
13,18,6.3073,"LINESTRING (-96.793377 43.490707,-96.694078 43.546744,)"
13,19,4.9144,"LINESTRING (-96.793377 43.490707,-96.711316 43.529591,)"
13,20,4.4589,"LINESTRING (-96.793377 43.490707,-96.711185 43.515333,)"
13,21,3.4145,"LINESTRING (-96.793377 43.490707,-96.730979 43.510485,)"
13,22,3.5346,"LINESTRING (-96.793377 43.490707,-96.731241 43.514858,)"
13,23,2.7060,"LINESTRING (-96.793377 43.490707,-96.750904 43.514858,)"
13,24,2.3767,"LINESTRING (-96.793377 43.490707,-96.749200 43.503164,)"
14,1,5.8547,"LINESTRING (-96.751035 43.529306,-96.770420 43.612828,)"
14,2,5.6517,"LINESTRING (-96.751035 43.529306,-96.711251 43.605813,)"
14,3,3.2351,"LINESTRING (-96.751035 43.529306,-96.774303 43.572962,)"
14,4,2.3823,"LINESTRING (-96.751035 43.529306,-96.747168 43.563654,)"
14,5,2.5912,"LINESTRING (-96.751035 43.529306,-96.731569 43.564034,)"
14,6,4.4860,"LINESTRING (-96.751035 43.529306,-96.711644 43.587586,)"
14,7,3.7461,"LINESTRING (-96.751035 43.529306,-96.693423 43.563844,)"
14,8,3.0261,"LINESTRING (-96.751035 43.529306,-96.711382 43.562324,)"
14,9,1.6619,"LINESTRING (-96.751035 43.529306,-96.731241 43.548596,)"
14,10,1.4773,"LINESTRING (-96.751035 43.529306,-96.731438 43.545271,)"
14,11,1.0461,"LINESTRING (-96.751035 43.529306,-96.746841 43.544131,)"
14,12,1.7749,"LINESTRING (-96.751035 43.529306,-96.780137 43.543941,)"
14,13,3.4097,"LINESTRING (-96.751035 43.529306,-96.793377 43.490707,)"
14,15,0.9789,"LINESTRING (-96.751035 43.529306,-96.731504 43.529401,)"
14,16,2.3241,"LINESTRING (-96.751035 43.529306,-96.711382 43.546744,)"
14,17,2.1527,"LINESTRING (-96.751035 43.529306,-96.711382 43.541280,)"
14,18,3.0983,"LINESTRING (-96.751035 43.529306,-96.694078 43.546744,)"
14,19,1.9908,"LINESTRING (-96.751035 43.529306,-96.711316 43.529591,)"
14,20,2.2188,"LINESTRING (-96.751035 43.529306,-96.711185 43.515333,)"
14,21,1.6442,"LINESTRING (-96.751035 43.529306,-96.730979 43.510485,)"
14,22,1.4078,"LINESTRING (-96.751035 43.529306,-96.731241 43.514858,)"
14,23,0.9988,"LINESTRING (-96.751035 43.529306,-96.750904 43.514858,)"
14,24,1.8095,"LINESTRING (-96.751035 43.529306,-96.749200 43.503164,)"
15,1,6.0876,"LINESTRING (-96.731504 43.529401,-96.770420 43.612828,)"
15,2,5.3787,"LINESTRING (-96.731504 43.529401,-96.711251 43.605813,)"
15,3,3.6967,"LINESTRING (-96.731504 43.529401,-96.774303 43.572962,)"
15,4,2.4945,"LINESTRING (-96.731504 43.529401,-96.747168 43.563654,)"
15,5,2.3941,"LINESTRING (-96.731504 43.529401,-96.731569 43.564034,)"
15,6,4.1434,"LINESTRING (-96.731504 43.529401,-96.711644 43.587586,)"
15,7,3.0511,"LINESTRING (-96.731504 43.529401,-96.693423 43.563844,)"
15,8,2.4892,"LINESTRING (-96.731504 43.529401,-96.711382 43.562324,)"
15,9,1.3270,"LINESTRING (-96.731504 43.529401,-96.731241 43.548596,)"
15,10,1.0970,"LINESTRING (-96.731504 43.529401,-96.731438 43.545271,)"
