od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,
24,1,25,0,24,6,9,p,AM,8.44,1,21.5615,34.6924,21.5615,0.000000,0.000000,0.000000,0.000000,0.000000,
25,1,26,0,25,6,9,p,AM,13.43,1,19.1891,30.8752,19.1891,0.000000,0.000000,0.000000,0.000000,0.000000,
26,1,27,0,26,6,4,p,AM,8.38,1,18.5260,29.8084,18.5260,0.000000,0.000000,0.000000,0.000000,0.000000,
27,1,28,0,27,6,4,p,AM,32.99,1,16.0253,25.7847,16.0253,0.000000,0.000000,0.000000,0.000000,0.000000,
28,1,29,0,28,6,4,p,AM,28.07,1,18.9565,30.5009,18.9565,0.000000,0.000000,0.000000,0.000000,0.000000,
29,1,30,0,29,6,11,p,AM,3.65,1,21.5688,34.7042,21.5688,0.000000,0.000000,0.000000,0.000000,0.000000,
30,1,31,0,30,6,4,p,AM,3.21,1,21.4642,34.5359,21.4642,0.000000,0.000000,0.000000,0.000000,0.000000,
31,1,32,0,31,6,11,p,AM,5.58,1,25.0114,40.2434,25.0114,0.000000,0.000000,0.000000,0.000000,0.000000,
32,1,33,0,32,6,11,p,AM,3.32,1,25.1736,40.5043,25.1736,0.000000,0.000000,0.000000,0.000000,0.000000,
33,1,34,0,33,6,4,p,AM,2.01,1,22.6109,36.3809,22.6109,0.000000,0.000000,0.000000,0.000000,0.000000,
34,1,35,0,34,6,4,p,AM,5.50,1,21.5802,34.7225,21.5802,0.000000,0.000000,0.000000,0.000000,0.000000,
35,1,36,0,35,6,4,p,AM,8.53,1,26.2392,42.2189,26.2392,0.000000,0.000000,0.000000,0.000000,0.000000,
36,1,37,0,36,6,7,p,AM,30.51,1,15.0895,24.2790,15.0895,0.000000,0.000000,0.000000,0.000000,0.000000,
37,1,39,0,37,6,5,p,AM,2.57,1,29.4082,47.3178,29.4082,0.000000,0.000000,0.000000,0.000000,0.000000,
38,1,41,0,38,6,5,p,AM,2.76,1,26.4802,42.6067,26.4802,0.000000,0.000000,0.000000,0.000000,0.000000,
39,1,42,0,39,6,5,p,AM,0.20,1,29.4692,47.4160,29.4692,0.000000,0.000000,0.000000,0.000000,0.000000,
40,1,43,0,40,6,18,p,AM,4.48,1,22.4728,36.1587,22.4728,0.000000,0.000000,0.000000,0.000000,0.000000,
41,1,44,0,41,6,5,p,AM,3.78,1,25.4624,40.9690,25.4624,0.000000,0.000000,0.000000,0.000000,0.000000,
42,1,45,0,42,6,18,p,AM,6.22,1,20.5582,33.0781,20.5582,0.000000,0.000000,0.000000,0.000000,0.000000,
43,1,46,0,43,6,5,p,AM,4.91,1,23.6106,37.9895,23.6106,0.000000,0.000000,0.000000,0.000000,0.000000,
44,1,47,0,44,6,18,p,AM,24.92,1,16.2017,26.0686,16.2017,0.000000,0.000000,0.000000,0.000000,0.000000,
45,1,48,0,45,6,18,p,AM,14.87,1,19.5442,31.4466,19.5442,0.000000,0.000000,0.000000,0.000000,0.000000,
46,1,49,0,46,6,6,p,AM,26.40,1,13.2731,21.3564,13.2731,0.000000,0.000000,0.000000,0.000000,0.000000,
47,1,50,0,47,6,18,p,AM,17.29,1,16.6162,26.7354,16.6162,0.000000,0.000000,0.000000,0.000000,0.000000,
48,1,51,0,48,6,6,p,AM,9.33,1,12.5411,20.1786,12.5411,0.000000,0.000000,0.000000,0.000000,0.000000,
49,1,52,0,49,6,6,p,AM,106.99,1,6.5702,10.5715,6.5702,0.000000,0.000000,0.000000,0.000000,0.000000,
50,1,53,0,50,6,6,p,AM,67.93,1,9.6425,15.5147,9.6425,0.000000,0.000000,0.000000,0.000000,0.000000,
51,1,56,0,51,6,5,p,AM,1.09,1,30.0043,48.2769,30.0043,0.000000,0.000000,0.000000,0.000000,0.000000,
52,1,58,0,52,6,5,p,AM,3.16,1,28.6066,46.0280,28.6066,0.000000,0.000000,0.000000,0.000000,0.000000,
53,1,59,0,53,6,5,p,AM,0.46,1,31.4762,50.6452,31.4762,0.000000,0.000000,0.000000,0.000000,0.000000,
54,1,60,0,54,6,5,p,AM,0.74,1,24.2619,39.0374,24.2619,0.000000,0.000000,0.000000,0.000000,0.000000,
55,1,61,0,55,6,5,p,AM,1.31,1,27.1315,43.6546,27.1315,0.000000,0.000000,0.000000,0.000000,0.000000,
56,1,62,0,56,6,5,p,AM,4.81,1,20.6978,33.3028,20.6978,0.000000,0.000000,0.000000,0.000000,0.000000,
57,1,63,0,57,6,5,p,AM,4.19,1,23.6315,38.0231,23.6315,0.000000,0.000000,0.000000,0.000000,0.000000,
58,1,64,0,58,6,5,p,AM,21.17,1,18.3841,29.5800,18.3841,0.000000,0.000000,0.000000,0.000000,0.000000,
59,1,65,0,59,6,5,p,AM,4.17,1,21.1298,33.9978,21.1298,0.000000,0.000000,0.000000,0.000000,0.000000,
60,1,66,0,60,6,7,p,AM,27.46,1,13.9149,22.3891,13.9149,0.000000,0.000000,0.000000,0.000000,0.000000,
61,1,67,0,61,6,7,p,AM,8.76,1,17.8302,28.6888,17.8302,0.000000,0.000000,0.000000,0.000000,0.000000,
62,1,68,0,62,6,7,p,AM,44.35,1,11.5969,18.6594,11.5969,0.000000,0.000000,0.000000,0.000000,0.000000,
63,1,69,0,63,6,7,p,AM,29.70,1,15.4504,24.8597,15.4504,0.000000,0.000000,0.000000,0.000000,0.000000,
64,1,70,0,64,6,6,p,AM,131.34,1,6.9110,11.1199,6.9110,0.000000,0.000000,0.000000,0.000000,0.000000,
65,1,71,0,65,6,6,p,AM,67.65,1,10.5995,17.0546,10.5995,0.000000,0.000000,0.000000,0.000000,0.000000,
66,1,72,0,66,6,6,p,AM,396.95,1,5.0161,8.0709,5.0161,0.000000,0.000000,0.000000,0.000000,0.000000,
67,1,73,0,67,6,6,p,AM,233.74,1,8.5856,13.8142,8.5856,0.000000,0.000000,0.000000,0.000000,0.000000,
68,1,74,0,68,6,6,p,AM,256.33,1,4.7120,7.5816,4.7120,0.000000,0.000000,0.000000,0.000000,0.000000,
69,1,75,0,69,6,6,p,AM,141.39,1,3.3090,5.3242,3.3090,0.000000,0.000000,0.000000,0.000000,0.000000,
70,1,76,0,70,6,7,p,AM,41.81,1,12.3014,19.7929,12.3014,0.000000,0.000000,0.000000,0.000000,0.000000,
71,1,77,0,71,6,7,p,AM,23.87,1,17.8403,28.7050,17.8403,0.000000,0.000000,0.000000,0.000000,0.000000,
72,1,78,0,72,6,8,p,AM,33.99,1,14.8964,23.9684,14.8964,0.000000,0.000000,0.000000,0.000000,0.000000,
73,1,79,0,73,6,8,p,AM,32.10,1,10.4131,16.7546,10.4131,0.000000,0.000000,0.000000,0.000000,0.000000,
74,1,80,0,74,6,8,p,AM,18.57,1,17.5867,28.2969,17.5867,0.000000,0.000000,0.000000,0.000000,0.000000,
75,1,81,0,75,6,7,p,AM,6.66,1,20.8909,33.6134,20.8909,0.000000,0.000000,0.000000,0.000000,0.000000,
76,1,82,0,76,6,9,p,AM,5.70,1,20.8251,33.5076,20.8251,0.000000,0.000000,0.000000,0.000000,0.000000,
77,1,83,0,77,6,15,p,AM,2.19,1,23.6980,38.1300,23.6980,0.000000,0.000000,0.000000,0.000000,0.000000,
78,1,84,0,78,6,1,p,AM,9.05,1,15.6316,25.1513,15.6316,0.000000,0.000000,0.000000,0.000000,0.000000,
79,1,85,0,79,6,9,p,AM,11.07,1,17.7141,28.5020,17.7141,0.000000,0.000000,0.000000,0.000000,0.000000,
80,1,86,0,80,6,9,p,AM,2.23,1,24.7876,39.8832,24.7876,0.000000,0.000000,0.000000,0.000000,0.000000,
81,1,87,0,81,6,9,p,AM,0.77,1,27.7181,44.5984,27.7181,0.000000,0.000000,0.000000,0.000000,0.000000,
82,1,88,0,82,6,9,p,AM,0.52,1,25.3346,40.7634,25.3346,0.000000,0.000000,0.000000,0.000000,0.000000,
83,1,89,0,83,6,10,p,AM,0.25,1,28.2652,45.4786,28.2651,0.000000,0.000000,0.000000,0.000000,0.000000,
84,1,90,0,84,6,9,p,AM,1.27,1,19.9135,32.0409,19.9135,0.000000,0.000000,0.000000,0.000000,0.000000,
85,1,91,0,85,6,9,p,AM,2.19,1,23.7043,38.1402,23.7043,0.000000,0.000000,0.000000,0.000000,0.000000,
86,1,92,0,86,6,17,p,AM,0.03,1,36.6742,59.0087,36.6742,0.000000,0.000000,0.000000,0.000000,0.000000,
87,1,93,0,87,6,10,p,AM,0.27,1,28.5210,45.8903,28.5210,0.000000,0.000000,0.000000,0.000000,0.000000,
88,1,94,0,88,6,10,p,AM,0.02,1,31.1957,50.1939,31.1957,0.000000,0.000000,0.000000,0.000000,0.000000,
89,1,95,0,89,6,10,p,AM,0.08,1,31.5716,50.7988,31.5716,0.000000,0.000000,0.000000,0.000000,0.000000,
90,1,96,0,90,6,10,p,AM,0.02,1,34.1262,54.9091,34.1262,0.000000,0.000000,0.000000,0.000000,0.000000,
91,1,97,0,91,6,11,p,AM,3.54,1,23.2260,37.3706,23.2260,0.000000,0.000000,0.000000,0.000000,0.000000,
92,1,98,0,92,6,11,p,AM,0.46,1,26.5739,42.7574,26.5739,0.000000,0.000000,0.000000,0.000000,0.000000,
93,1,99,0,93,6,11,p,AM,0.20,1,28.1604,45.3102,28.1605,0.000000,0.000000,0.000000,0.000000,0.000000,
94,1,100,0,94,6,11,p,AM,0.10,1,29.5635,47.5677,29.5635,0.000000,0.000000,0.000000,0.000000,0.000000,
95,1,101,0,95,6,11,p,AM,0.22,1,27.4405,44.1517,27.4405,0.000000,0.000000,0.000000,0.000000,0.000000,
96,1,102,0,96,6,12,p,AM,0.04,1,34.5612,55.6091,34.5612,0.000000,0.000000,0.000000,0.000000,0.000000,
97,1,103,0,97,6,12,p,AM,0.02,1,37.1787,59.8205,37.1787,0.000000,0.000000,0.000000,0.000000,0.000000,
98,1,104,0,98,6,12,p,AM,0.03,1,37.4950,60.3294,37.4950,0.000000,0.000000,0.000000,0.000000,0.000000,
99,1,106,0,99,6,11,p,AM,1.13,1,30.5426,49.1430,30.5426,0.000000,0.000000,0.000000,0.000000,0.000000,
100,1,107,0,100,6,11,p,AM,0.06,1,32.4941,52.2829,32.4941,0.000000,0.000000,0.000000,0.000000,0.000000,
101,1,108,0,101,6,11,p,AM,0.10,1,33.9929,54.6946,33.9929,0.000000,0.000000,0.000000,0.000000,0.000000,
102,1,109,0,102,6,11,p,AM,0.06,1,35.6075,57.2924,35.6075,0.000000,0.000000,0.000000,0.000000,0.000000,
103,1,110,0,103,6,13,p,AM,0.13,1,28.6655,46.1229,28.6655,0.000000,0.000000,0.000000,0.000000,0.000000,
104,1,111,0,104,6,11,p,AM,0.22,1,29.6203,47.6591,29.6203,0.000000,0.000000,0.000000,0.000000,0.000000,
105,1,112,0,105,6,13,p,AM,0.10,1,31.7162,51.0313,31.7161,0.000000,0.000000,0.000000,0.000000,0.000000,
106,1,113,0,106,6,13,p,AM,0.09,1,32.7929,52.7638,32.7929,0.000000,0.000000,0.000000,0.000000,0.000000,
107,1,114,0,107,6,13,p,AM,0.04,1,30.3112,48.7707,30.3112,0.000000,0.000000,0.000000,0.000000,0.000000,
108,1,115,0,108,6,13,p,AM,0.07,1,33.3008,53.5810,33.3008,0.000000,0.000000,0.000000,0.000000,0.000000,
109,1,116,0,109,6,14,p,AM,0.03,1,45.2251,72.7671,45.2251,0.000000,0.000000,0.000000,0.000000,0.000000,
110,1,118,0,110,6,14,p,AM,0.04,1,48.3329,77.7676,48.3329,0.000000,0.000000,0.000000,0.000000,0.000000,
111,1,121,0,111,6,14,p,AM,0.03,1,41.2957,66.4448,41.2957,0.000000,0.000000,0.000000,0.000000,0.000000,
112,1,123,0,112,6,14,p,AM,0.02,1,44.2243,71.1570,44.2244,0.000000,0.000000,0.000000,0.000000,0.000000,
113,1,125,0,113,6,5,p,AM,0.03,1,34.8552,56.0820,34.8552,0.000000,0.000000,0.000000,0.000000,0.000000,
114,1,127,0,114,6,15,p,AM,0.03,1,39.0248,62.7910,39.0248,0.000000,0.000000,0.000000,0.000000,0.000000,
115,1,129,0,115,6,5,p,AM,0.44,1,29.1179,46.8507,29.1179,0.000000,0.000000,0.000000,0.000000,0.000000,
116,1,130,0,116,6,5,p,AM,0.08,1,31.8656,51.2717,31.8656,0.000000,0.000000,0.000000,0.000000,0.000000,
117,1,131,0,117,6,5,p,AM,0.37,1,33.2844,53.5546,33.2844,0.000000,0.000000,0.000000,0.000000,0.000000,
118,1,132,0,118,6,15,p,AM,0.18,1,36.1572,58.1769,36.1572,0.000000,0.000000,0.000000,0.000000,0.000000,
119,1,133,0,119,6,5,p,AM,7.90,1,23.7682,38.2431,23.7682,0.000000,0.000000,0.000000,0.000000,0.000000,
120,1,134,0,120,6,5,p,AM,2.58,1,25.9642,41.7765,25.9642,0.000000,0.000000,0.000000,0.000000,0.000000,
121,1,135,0,121,6,7,p,AM,5.17,1,20.7176,33.3347,20.7176,0.000000,0.000000,0.000000,0.000000,0.000000,
122,1,136,0,122,6,15,p,AM,1.97,1,30.2592,48.6871,30.2592,0.000000,0.000000,0.000000,0.000000,0.000000,
123,1,137,0,123,6,16,p,AM,0.05,1,35.4156,56.9837,35.4156,0.000000,0.000000,0.000000,0.000000,0.000000,
124,1,141,0,124,6,15,p,AM,0.43,1,29.6123,47.6463,29.6123,0.000000,0.000000,0.000000,0.000000,0.000000,
125,1,142,0,125,6,15,p,AM,1.35,1,32.4210,52.1654,32.4210,0.000000,0.000000,0.000000,0.000000,0.000000,
126,1,143,0,126,6,15,p,AM,0.24,1,32.7850,52.7511,32.7850,0.000000,0.000000,0.000000,0.000000,0.000000,
127,1,144,0,127,6,16,p,AM,0.06,1,35.5970,57.2755,35.5970,0.000000,0.000000,0.000000,0.000000,0.000000,
128,1,145,0,128,6,15,p,AM,3.34,1,23.5846,37.9477,23.5846,0.000000,0.000000,0.000000,0.000000,0.000000,
129,1,146,0,129,6,15,p,AM,3.28,1,26.3357,42.3742,26.3357,0.000000,0.000000,0.000000,0.000000,0.000000,
130,1,147,0,130,6,15,p,AM,7.65,1,26.9004,43.2828,26.9004,0.000000,0.000000,0.000000,0.000000,0.000000,
131,1,148,0,131,6,15,p,AM,2.00,1,29.2644,47.0864,29.2644,0.000000,0.000000,0.000000,0.000000,0.000000,
132,1,149,0,132,6,19,p,AM,0.12,1,41.7686,67.2057,41.7686,0.000000,0.000000,0.000000,0.000000,0.000000,
133,1,153,0,133,6,16,p,AM,1.32,1,35.8966,57.7576,35.8966,0.000000,0.000000,0.000000,0.000000,0.000000,
134,1,154,0,134,6,16,p,AM,1.25,1,38.7771,62.3924,38.7771,0.000000,0.000000,0.000000,0.000000,0.000000,
135,1,155,0,135,6,16,p,AM,0.08,1,37.3575,60.1083,37.3575,0.000000,0.000000,0.000000,0.000000,0.000000,
136,1,156,0,136,6,19,p,AM,0.05,1,40.2304,64.7307,40.2304,0.000000,0.000000,0.000000,0.000000,0.000000,
137,1,157,0,137,6,15,p,AM,0.70,1,31.0031,49.8839,31.0031,0.000000,0.000000,0.000000,0.000000,0.000000,
138,1,158,0,138,6,15,p,AM,0.34,1,34.1472,54.9428,34.1472,0.000000,0.000000,0.000000,0.000000,0.000000,
139,1,159,0,139,6,17,p,AM,1.34,1,31.1931,50.1898,31.1931,0.000000,0.000000,0.000000,0.000000,0.000000,
140,1,160,0,140,6,17,p,AM,0.11,1,34.1237,54.9050,34.1237,0.000000,0.000000,0.000000,0.000000,0.000000,
141,1,161,0,141,6,17,p,AM,0.10,1,39.9164,64.2254,39.9164,0.000000,0.000000,0.000000,0.000000,0.000000,
142,1,170,0,142,6,5,p,AM,0.11,1,40.3243,64.8818,40.3243,0.000000,0.000000,0.000000,0.000000,0.000000,
143,1,190,0,143,6,19,p,AM,0.01,1,49.0778,78.9663,49.0779,0.000000,0.000000,0.000000,0.000000,0.000000,
144,1,191,0,144,6,19,p,AM,0.01,1,60.0521,96.6238,60.0521,0.000000,0.000000,0.000000,0.000000,0.000000,
145,1,210,0,145,6,18,p,AM,0.20,1,29.2394,47.0462,29.2394,0.000000,0.000000,0.000000,0.000000,0.000000,
146,1,219,0,146,6,18,p,AM,0.26,1,30.3248,48.7926,30.3248,0.000000,0.000000,0.000000,0.000000,0.000000,
147,1,220,0,147,6,18,p,AM,1.27,1,26.1675,42.1035,26.1675,0.000000,0.000000,0.000000,0.000000,0.000000,
148,1,221,0,148,6,18,p,AM,0.49,1,23.0956,37.1609,23.0956,0.000000,0.000000,0.000000,0.000000,0.000000,
149,1,229,0,149,6,18,p,AM,1.67,1,25.6448,41.2625,25.6448,0.000000,0.000000,0.000000,0.000000,0.000000,
150,1,230,0,150,6,18,p,AM,0.59,1,28.5734,45.9746,28.5734,0.000000,0.000000,0.000000,0.000000,0.000000,
151,1,231,0,151,6,18,p,AM,1.83,1,20.1448,32.4130,20.1448,0.000000,0.000000,0.000000,0.000000,0.000000,
152,1,232,0,152,6,18,p,AM,9.24,1,16.6770,26.8332,16.6770,0.000000,0.000000,0.000000,0.000000,0.000000,
153,1,233,0,153,6,18,p,AM,4.77,1,19.6107,31.5536,19.6107,0.000000,0.000000,0.000000,0.000000,0.000000,
154,1,267,0,154,6,16,p,AM,0.04,1,44.5131,71.6216,44.5131,0.000000,0.000000,0.000000,0.000000,0.000000,
155,1,268,0,155,6,19,p,AM,0.01,1,47.5686,76.5379,47.5686,0.000000,0.000000,0.000000,0.000000,0.000000,
156,1,269,0,156,6,19,p,AM,0.02,1,41.0666,66.0761,41.0666,0.000000,0.000000,0.000000,0.000000,0.000000,
157,1,279,0,157,6,12,p,AM,0.01,1,39.7083,63.8906,39.7083,0.000000,0.000000,0.000000,0.000000,0.000000,
158,1,287,0,158,6,20,p,AM,0.01,1,49.8538,80.2147,49.8538,0.000000,0.000000,0.000000,0.000000,0.000000,
159,1,288,0,159,6,20,p,AM,0.01,1,53.0270,85.3204,53.0270,0.000000,0.000000,0.000000,0.000000,0.000000,
160,1,356,0,160,6,13,p,AM,0.57,1,33.7250,54.2635,33.7250,0.000000,0.000000,0.000000,0.000000,0.000000,
161,1,357,0,161,6,21,p,AM,0.14,1,39.7068,63.8883,39.7068,0.000000,0.000000,0.000000,0.000000,0.000000,
162,1,387,0,167,6,21,p,AM,24.00,1,47.6069,76.5995,47.6069,0.000000,0.000000,0.000000,0.000000,0.000000,
163,2,1,1,0,6,6,p,AM,309.92,1,3.0632,4.9286,3.0632,0.000000,0.000000,0.000000,0.000000,0.000000,
164,2,3,1,2,6,2,p,AM,285.29,1,5.4453,8.7615,5.4453,0.000000,0.000000,0.000000,0.000000,0.000000,
165,2,4,1,3,6,2,p,AM,376.17,1,4.4533,7.1654,4.4533,0.000000,0.000000,0.000000,0.000000,0.000000,
166,2,5,1,4,6,2,p,AM,357.84,1,7.3054,11.7544,7.3054,0.000000,0.000000,0.000000,0.000000,0.000000,
167,2,6,1,5,6,1,p,AM,380.31,1,4.1608,6.6947,4.1608,0.000000,0.000000,0.000000,0.000000,0.000000,
168,2,7,1,6,6,1,p,AM,226.02,1,6.2995,10.1359,6.2995,0.000000,0.000000,0.000000,0.000000,0.000000,
169,2,8,1,7,6,8,p,AM,188.72,1,7.2311,11.6348,7.2311,0.000000,0.000000,0.000000,0.000000,0.000000,
170,2,9,1,8,6,8,p,AM,80.84,1,12.7698,20.5466,12.7698,0.000000,0.000000,0.000000,0.000000,0.000000,
171,2,10,1,9,6,1,p,AM,145.40,1,9.7064,15.6176,9.7064,0.000000,0.000000,0.000000,0.000000,0.000000,
172,2,11,1,10,6,1,p,AM,44.49,1,12.5760,20.2348,12.5760,0.000000,0.000000,0.000000,0.000000,0.000000,
173,2,12,1,11,6,2,p,AM,53.06,1,9.0597,14.5771,9.0597,0.000000,0.000000,0.000000,0.000000,0.000000,
174,2,13,1,12,6,2,p,AM,47.33,1,14.5360,23.3884,14.5360,0.000000,0.000000,0.000000,0.000000,0.000000,
175,2,14,1,13,6,2,p,AM,231.95,1,7.0728,11.3801,7.0728,0.000000,0.000000,0.000000,0.000000,0.000000,
176,2,15,1,14,6,2,p,AM,96.14,1,9.5318,15.3366,9.5318,0.000000,0.000000,0.000000,0.000000,0.000000,
177,2,16,1,15,6,3,p,AM,122.81,1,11.9017,19.1498,11.9017,0.000000,0.000000,0.000000,0.000000,0.000000,
178,2,17,1,16,6,3,p,AM,293.81,1,9.5258,15.3270,9.5258,0.000000,0.000000,0.000000,0.000000,0.000000,
179,2,18,1,17,6,3,p,AM,151.95,1,11.0349,17.7551,11.0349,0.000000,0.000000,0.000000,0.000000,0.000000,
180,2,19,1,18,6,3,p,AM,30.39,1,12.5191,20.1432,12.5191,0.000000,0.000000,0.000000,0.000000,0.000000,
181,2,20,1,19,6,3,p,AM,22.08,1,16.6745,26.8292,16.6745,0.000000,0.000000,0.000000,0.000000,0.000000,
182,2,21,1,20,6,3,p,AM,16.40,1,13.3708,21.5135,13.3707,0.000000,0.000000,0.000000,0.000000,0.000000,
183,2,22,1,21,6,3,p,AM,17.70,1,14.0550,22.6145,14.0550,0.000000,0.000000,0.000000,0.000000,0.000000,
184,2,23,1,22,6,3,p,AM,41.30,1,15.5581,25.0329,15.5581,0.000000,0.000000,0.000000,0.000000,0.000000,
185,2,24,1,23,6,9,p,AM,15.07,1,18.1987,29.2818,18.1987,0.000000,0.000000,0.000000,0.000000,0.000000,
186,2,25,1,24,6,9,p,AM,9.21,1,21.6490,34.8332,21.6490,0.000000,0.000000,0.000000,0.000000,0.000000,
187,2,26,1,25,6,9,p,AM,15.01,1,19.2766,31.0160,19.2766,0.000000,0.000000,0.000000,0.000000,0.000000,
188,2,27,1,26,6,4,p,AM,8.06,1,18.6136,29.9492,18.6135,0.000000,0.000000,0.000000,0.000000,0.000000,
189,2,28,1,27,6,4,p,AM,34.28,1,16.1128,25.9255,16.1128,0.000000,0.000000,0.000000,0.000000,0.000000,
190,2,29,1,28,6,4,p,AM,27.21,1,19.0440,30.6417,19.0440,0.000000,0.000000,0.000000,0.000000,0.000000,
191,2,30,1,29,6,11,p,AM,4.59,1,21.6563,34.8451,21.6563,0.000000,0.000000,0.000000,0.000000,0.000000,
192,2,31,1,30,6,4,p,AM,5.09,1,21.5517,34.6767,21.5517,0.000000,0.000000,0.000000,0.000000,0.000000,
193,2,32,1,31,6,11,p,AM,4.53,1,25.0989,40.3842,25.0989,0.000000,0.000000,0.000000,0.000000,0.000000,
194,2,33,1,32,6,11,p,AM,1.29,1,25.2611,40.6451,25.2611,0.000000,0.000000,0.000000,0.000000,0.000000,
195,2,34,1,33,6,4,p,AM,4.92,1,22.6984,36.5217,22.6984,0.000000,0.000000,0.000000,0.000000,0.000000,
196,2,35,1,34,6,4,p,AM,4.36,1,21.6677,34.8633,21.6677,0.000000,0.000000,0.000000,0.000000,0.000000,
197,2,36,1,35,6,4,p,AM,8.48,1,26.3267,42.3597,26.3267,0.000000,0.000000,0.000000,0.000000,0.000000,
198,2,37,1,36,6,7,p,AM,59.98,1,13.7516,22.1264,13.7516,0.000000,0.000000,0.000000,0.000000,0.000000,
199,2,39,1,37,6,5,p,AM,1.96,1,28.0704,45.1653,28.0704,0.000000,0.000000,0.000000,0.000000,0.000000,
200,2,41,1,38,6,5,p,AM,7.97,1,25.1424,40.4541,25.1424,0.000000,0.000000,0.000000,0.000000,0.000000,
201,2,42,1,39,6,5,p,AM,0.39,1,28.1314,45.2634,28.1314,0.000000,0.000000,0.000000,0.000000,0.000000,
202,2,43,1,40,6,18,p,AM,9.86,1,21.1350,34.0062,21.1350,0.000000,0.000000,0.000000,0.000000,0.000000,
203,2,44,1,41,6,5,p,AM,4.00,1,24.1246,38.8165,24.1246,0.000000,0.000000,0.000000,0.000000,0.000000,
204,2,45,1,42,6,18,p,AM,10.81,1,19.2204,30.9256,19.2204,0.000000,0.000000,0.000000,0.000000,0.000000,
205,2,46,1,43,6,5,p,AM,7.91,1,22.2728,35.8369,22.2728,0.000000,0.000000,0.000000,0.000000,0.000000,
206,2,47,1,44,6,18,p,AM,41.85,1,14.8639,23.9160,14.8639,0.000000,0.000000,0.000000,0.000000,0.000000,
207,2,48,1,45,6,18,p,AM,22.63,1,18.2063,29.2940,18.2063,0.000000,0.000000,0.000000,0.000000,0.000000,
208,2,49,1,46,6,6,p,AM,39.99,1,11.9353,19.2038,11.9353,0.000000,0.000000,0.000000,0.000000,0.000000,
