sensor_id,from_node_id,to_node_id,demand_period,count,upper_bound_flag,,scenario_index,activate
63,481,483,am,3681.043,1,,0,0
64,622,623,am,3693.583,1,,0,0
65,528,529,am,3701.86,1,,0,0
66,591,589,am,3739.26,1,,0,0
67,622,615,am,3740.177,1,,0,0
68,571,572,am,3747.345,1,,0,0
69,549,550,am,3757.042,1,,0,0
70,631,490,am,3767.098,1,,0,0
71,545,580,am,3781.704,1,,0,0
72,559,562,am,3788.427,1,,0,0
73,549,547,am,3837.217,1,,0,0
74,618,616,am,3852.601,1,,0,0
75,559,566,am,3860.2,1,,0,0
76,432,599,am,3867.428,1,,0,0
77,691,692,am,3880.123,1,,0,0
78,558,491,am,3880.66,1,,0,0
79,622,540,am,3886.625,1,,0,0
80,501,502,am,3886.934,1,,0,0
81,530,523,am,3918.869,1,,0,0
82,623,681,am,3919.239,1,,0,0
83,558,557,am,3931.897,1,,0,0
84,533,568,am,3960.54,1,,0,0
85,580,545,am,3973.107,1,,0,0
86,502,503,am,3976.652,1,,0,0
87,548,618,am,3982.56,1,,0,0
88,551,550,am,3989.697,1,,0,0
89,623,622,am,3992.18,1,,0,0
90,646,644,am,3996.77,1,,0,0
91,705,635,am,4009.195,1,,0,0
92,633,629,am,4009.341,1,,0,0
93,644,643,am,4017.538,1,,0,0
94,679,681,am,4025.056,1,,0,0
95,528,526,am,4051.695,1,,0,0
96,427,426,am,4058.449,1,,0,0
97,478,633,am,4062.425,1,,0,0
98,592,608,am,4086.385,1,,0,0
99,632,628,am,4113.83,1,,0,0
100,572,569,am,4115.67,1,,0,0
101,506,644,am,4126.823,1,,0,0
102,557,559,am,4144.837,1,,0,0
103,560,556,am,4145.32,1,,0,0
104,574,532,am,4145.53,1,,0,0
105,633,632,am,4169.762,1,,0,0
106,552,618,am,4201.679,1,,0,0
107,440,441,am,4202.805,1,,0,0
108,637,571,am,4215.518,1,,0,0
109,560,553,am,4258.697,1,,0,0
110,557,630,am,4274.488,1,,0,0
111,487,681,am,4281.94,1,,0,0
112,630,557,am,4293.553,1,,0,0
113,523,545,am,4295.93,1,,0,0
114,433,616,am,4329.261,1,,0,0
115,426,427,am,4349.194,1,,0,0
116,625,554,am,4358.498,1,,0,0
117,616,433,am,4367.044,1,,0,0
118,616,618,am,4375.574,1,,0,0
119,572,570,am,4383.534,1,,0,0
120,426,425,am,4386.691,1,,0,0
121,438,439,am,4387.291,1,,0,0
122,493,492,am,4443.781,1,,0,0
123,487,488,am,4454.187,1,,0,0
124,590,589,am,4460.32,1,,0,0
125,496,556,am,4466.591,1,,0,0
126,485,628,am,4476.603,1,,0,0
127,535,487,am,4487.79,1,,0,0
128,479,693,am,4499.108,1,,0,0
129,506,507,am,4500.274,1,,0,0
130,643,644,am,4502.181,1,,0,0
131,626,630,am,4530.287,1,,0,0
132,639,505,am,4532.867,1,,0,0
133,631,559,am,4554.36,1,,0,0
134,537,399,am,4577.433,1,,0,0
135,438,535,am,4602.84,1,,0,0
136,547,549,am,4606.258,1,,0,0
137,572,573,am,4607.19,1,,0,0
138,566,559,am,4616.563,1,,0,0
139,441,591,am,4624.903,1,,0,0
140,552,553,am,4625.556,1,,0,0
141,568,533,am,4640.988,1,,0,0
142,592,591,am,4649.552,1,,0,0
143,681,679,am,4670.339,1,,0,0
144,427,594,am,4706.039,1,,0,0
145,555,622,am,4717.752,1,,0,0
146,615,622,am,4722.654,1,,0,0
147,498,499,am,4746.62,1,,0,0
148,626,627,am,4749.819,1,,0,0
149,530,575,am,4754.075,1,,0,0
150,614,439,am,4763.481,1,,0,0
151,627,623,am,4782.344,1,,0,0
152,492,561,am,4797.016,1,,0,0
153,566,500,am,4816.018,1,,0,0
154,477,503,am,4819.473,1,,0,0
155,503,633,am,4840.054,1,,0,0
156,691,486,am,4846.359,1,,0,0
157,555,625,am,4853.837,1,,0,0
158,556,555,am,4855.217,1,,0,0
159,569,565,am,4855.852,1,,0,0
160,556,560,am,4856.564,1,,0,0
161,612,617,am,4858.307,1,,0,0
162,483,539,am,4860.104,1,,0,0
163,568,574,am,4873.422,1,,0,0
164,703,478,am,4884.088,1,,0,0
165,553,552,am,4888.541,1,,0,0
166,627,626,am,4902.313,1,,0,0
167,627,484,am,4913.963,1,,0,0
168,532,569,am,4916.861,1,,0,0
169,679,610,am,4936.614,1,,0,0
170,439,614,am,4938.827,1,,0,0
171,426,441,am,4941.045,1,,0,0
172,491,558,am,4951.603,1,,0,0
173,551,549,am,4966.03,1,,0,0
174,494,561,am,4968.006,1,,0,0
175,578,577,am,4969.517,1,,0,0
176,500,570,am,4979.529,1,,0,0
177,529,528,am,4986.043,1,,0,0
178,681,623,am,4987.519,1,,0,0
179,536,537,am,5001.911,1,,0,0
180,625,555,am,5018.652,1,,0,0
181,610,679,am,5036.516,1,,0,0
182,434,433,am,5047.817,1,,0,0
183,644,637,am,5078.285,1,,0,0
184,624,626,am,5090.69,1,,0,0
185,572,571,am,5101.805,1,,0,0
186,505,634,am,5107.373,1,,0,0
187,554,437,am,5131.553,1,,0,0
188,554,625,am,5145.354,1,,0,0
189,644,506,am,5169.999,1,,0,0
190,433,432,am,5171.861,1,,0,0
191,577,530,am,5190.451,1,,0,0
192,438,540,am,5223.803,1,,0,0
193,435,434,am,5233.388,1,,0,0
194,476,477,am,5242.717,1,,0,0
195,630,626,am,5247.228,1,,0,0
196,560,558,am,5250.904,1,,0,0
197,432,431,am,5251.143,1,,0,0
198,681,691,am,5252.157,1,,0,0
199,590,592,am,5253.085,1,,0,0
200,610,537,am,5256.034,1,,0,0
201,437,554,am,5266.93,1,,0,0
202,557,558,am,5269.403,1,,0,0
203,553,496,am,5278.991,1,,0,0
204,591,613,am,5288.482,1,,0,0
205,496,553,am,5293.299,1,,0,0
206,553,560,am,5318.712,1,,0,0
207,500,501,am,5334.545,1,,0,0
208,504,635,am,5339.624,1,,0,0
209,589,591,am,5351.623,1,,0,0
210,504,505,am,5365.581,1,,0,0
211,499,498,am,5398.799,1,,0,0
212,558,561,am,5402.546,1,,0,0
213,627,486,am,5419.613,1,,0,0
214,439,438,am,5457.44,1,,0,0
215,608,537,am,5486.45,1,,0,0
216,558,560,am,5500.139,1,,0,0
217,571,501,am,5528.95,1,,0,0
218,434,435,am,5531.274,1,,0,0
219,502,501,am,5532.787,1,,0,0
220,495,560,am,5533.213,1,,0,0
221,545,523,am,5533.503,1,,0,0
222,556,496,am,5564.621,1,,0,0
223,528,575,am,5595.885,1,,0,0
224,484,480,am,5612.893,1,,0,0
225,552,435,am,5634.871,1,,0,0
226,439,440,am,5660.477,1,,0,0
227,499,500,am,5661.538,1,,0,0
228,636,631,am,5671.974,1,,0,0
229,591,441,am,5688.975,1,,0,0
230,441,440,am,5692.237,1,,0,0
231,505,506,am,5721.452,1,,0,0
232,590,401,am,5741.471,1,,0,0
233,507,506,am,5758.624,1,,0,0
234,577,573,am,5789.555,1,,0,0
235,573,572,am,5806.17,1,,0,0
236,556,557,am,5819.464,1,,0,0
237,477,504,am,5820.566,1,,0,0
238,617,619,am,5821.529,1,,0,0
239,500,566,am,5864.161,1,,0,0
240,573,569,am,5869.044,1,,0,0
241,428,431,am,5887.018,1,,0,0
242,435,552,am,5895.938,1,,0,0
243,480,484,am,5909.135,1,,0,0
244,578,643,am,5928.326,1,,0,0
245,628,485,am,5957.569,1,,0,0
246,492,493,am,5978.411,1,,0,0
247,550,551,am,6006.631,1,,0,0
248,503,502,am,6022.648,1,,0,0
249,439,615,am,6023.608,1,,0,0
250,557,556,am,6037.897,1,,0,0
251,504,503,am,6043.279,1,,0,0
252,563,494,am,6044.518,1,,0,0
253,619,434,am,6067.18,1,,0,0
254,611,610,am,6068.097,1,,0,0
255,535,438,am,6075.458,1,,0,0
256,596,441,am,6090.817,1,,0,0
257,433,434,am,6109.681,1,,0,0
258,485,484,am,6110.354,1,,0,0
259,615,439,am,6123.915,1,,0,0
260,570,500,am,6154.753,1,,0,0
261,487,535,am,6168.453,1,,0,0
262,438,536,am,6224.69,1,,0,0
263,498,533,am,6249.021,1,,0,0
264,501,636,am,6290.14,1,,0,0
265,567,499,am,6296.044,1,,0,0
266,693,483,am,6318.449,1,,0,0
267,432,433,am,6321.661,1,,0,0
268,537,536,am,6331.15,1,,0,0
269,626,485,am,6383.041,1,,0,0
270,484,485,am,6399.896,1,,0,0
271,581,575,am,6431.378,1,,0,0
272,478,477,am,6443.778,1,,0,0
273,481,691,am,6444.418,1,,0,0
274,490,489,am,6451.841,1,,0,0
275,504,477,am,6564.794,1,,0,0
276,576,572,am,6568.12,1,,0,0
277,560,561,am,6601.251,1,,0,0
278,435,436,am,6609.22,1,,0,0
279,480,483,am,6619.805,1,,0,0
280,436,435,am,6627.961,1,,0,0
281,613,615,am,6636.522,1,,0,0
282,615,610,am,6642.208,1,,0,0
283,437,438,am,6658.398,1,,0,0
284,438,437,am,6662.886,1,,0,0
285,483,480,am,6695.034,1,,0,0
286,486,480,am,6704.072,1,,0,0
287,431,432,am,6744.052,1,,0,0
288,484,627,am,6799.902,1,,0,0
289,440,439,am,6805.718,1,,0,0
290,523,530,am,6838.846,1,,0,0
291,499,569,am,6852.96,1,,0,0
292,491,490,am,6868.387,1,,0,0
293,610,615,am,6871.972,1,,0,0
294,624,555,am,6923.875,1,,0,0
295,480,486,am,6925.347,1,,0,0
296,501,500,am,6949.345,1,,0,0
297,560,495,am,6991.443,1,,0,0
298,562,567,am,7031.151,1,,0,0
299,691,481,am,7066.362,1,,0,0
300,540,583,am,7136.801,1,,0,0
301,555,624,am,7205.146,1,,0,0
302,479,478,am,7221.626,1,,0,0
303,561,492,am,7240.518,1,,0,0
304,530,529,am,7275.223,1,,0,0
305,536,438,am,7292.74,1,,0,0
306,489,485,am,7299.867,1,,0,0
307,691,681,am,7380.003,1,,0,0
308,500,499,am,7403.409,1,,0,0
309,533,498,am,7410.077,1,,0,0
310,486,627,am,7429.871,1,,0,0
311,561,494,am,7437.826,1,,0,0
312,485,489,am,7439.152,1,,0,0
313,436,437,am,7443.373,1,,0,0
314,437,436,am,7473.621,1,,0,0
315,533,532,am,7480.428,1,,0,0
316,562,492,am,7503.179,1,,0,0
317,480,479,am,7543.442,1,,0,0
318,626,624,am,7556.38,1,,0,0
319,562,493,am,7582.639,1,,0,0
320,434,619,am,7591.743,1,,0,0
321,505,504,am,7627.825,1,,0,0
322,635,504,am,7656.921,1,,0,0
323,493,497,am,7687.979,1,,0,0
324,497,498,am,7687.979,1,,0,0
325,489,490,am,7694.406,1,,0,0
326,549,551,am,7784.642,1,,0,0
327,485,626,am,8014.26,1,,0,0
328,477,478,am,8025.18,1,,0,0
329,479,480,am,8043.807,1,,0,0
330,441,596,am,8085.556,1,,0,0
331,493,494,am,8144.547,1,,0,0
332,506,505,am,8202.337,1,,0,0
333,490,491,am,8288.433,1,,0,0
334,491,559,am,8431.78,1,,0,0
335,492,491,am,8442.279,1,,0,0
336,494,493,am,8509.48,1,,0,0
337,532,531,am,8585.667,1,,0,0
338,531,529,am,8591.978,1,,0,0
339,483,693,am,8685.561,1,,0,0
340,559,491,am,8737.951,1,,0,0
341,532,533,am,8741.804,1,,0,0
342,565,568,am,8831.898,1,,0,0
343,537,610,am,9028.51,1,,0,0
344,492,562,am,9067.313,1,,0,0
345,491,492,am,9097.55,1,,0,0
346,493,562,am,9168.695,1,,0,0
347,478,479,am,9288.406,1,,0,0
348,569,499,am,9496.902,1,,0,0
349,497,493,am,9501.232,1,,0,0
350,498,497,am,9501.232,1,,0,0
351,531,532,am,9513.134,1,,0,0
352,486,535,am,9943.035,1,,0,0
353,499,567,am,10029.671,1,,0,0
354,535,486,am,10151.104,1,,0,0
355,494,495,am,10294.563,1,,0,0
356,494,563,am,10424.316,1,,0,0
357,495,496,am,10832.087,1,,0,0
358,529,531,am,10931.622,1,,0,0
359,564,565,am,11072.338,1,,0,0
360,496,495,am,11927.276,1,,0,0
361,567,562,am,12172.108,1,,0,0
362,563,551,am,12555.435,1,,0,0
363,495,494,am,12569.463,1,,0,0
364,574,568,am,13397.604,1,,0,0
365,496,436,am,14071.304,1,,0,0
366,436,496,am,14082.794,1,,0,0
367,575,574,am,14527.311,1,,0,0
368,564,493,am,14959.912,1,,0,0
369,568,565,am,15213.554,1,,0,0
370,493,564,am,17086.674,1,,0,0
371,563,564,am,18383.445,1,,0,0
372,565,564,am,19223.25,1,,0,0
373,551,563,am,19536.203,1,,0,0
374,564,563,am,20160.752,1,,0,0
