first_column,link_type,link_type_name,name_ description,type_code,demand_period_id,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,peak_load_factor_p1_d,peak_load_factor_p1_b,peak_load_factor_p1_w,peak_load_factor_p2_d,peak_load_factor_p2_b,peak_load_factor_p2_w,peak_load_factor_p3_d,peak_load_factor_p3_b,peak_load_factor_p3_w,free_speed_d,free_speed_b,free_speed_w,capacity_d,capacity_b,capacity_w,lanes_d,lanes_b,lanes_w,k_jam_km,meu_d_b,meu_d_w,meu_d_d,meu_b_b,meu_b_w,meu_b_d,meu_w_b,meu_w_w,meu_w_d,,,,
,222,y_bf_bs,buffer,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2.5,1,1,1,1,0.4,1,1,1,,no: 1,None: 0,None: 0
,223,y_bf_ws,buffer,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2.5,1,1,1,1,0.4,1,1,1,,yes: 2,Multiuse Path: 1,Multiuse Path:1
,224,y_bf_cc,buffer,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Buffer: 2,Basic Sidewalk: 2
,225,y_bf_oth,buffer,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Lane: 3,Wide Sidewalk: 3
,230,y_ln_n,lanes,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Protected: 4,Centroid Connector: 4
,232,y_ln_bs,lanes,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Shared: 5,Others: 5
,233,y_ln_ws,lanes,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Centroid Connector: 6,
,234,y_ln_cc,lanes,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,Others: 7,
,235,y_ln_oth,lanes,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,240,y_pro_n,protected,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,242,y_pro_bs,protected,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,243,y_pro_ws,protected,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,244,y_pro_cc,protected,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,245,y_pro_oth,protected,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,250,y_sh_n,shared,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,252,y_sh_bs,shared,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,253,y_sh_ws,shared,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,254,y_sh_cc,shared,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,255,y_sh_oth,shared,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,260,y_cc_n,centroid connector,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,262,y_cc_bs,centroid connector,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,263,y_cc_ws,centroid connector,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,264,y_cc_cc,centroid connector,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,265,y_cc_oth,centroid connector,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,250,y_other_n,other,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,252,y_other_bs,other,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,253,y_other_ws,other,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,254,y_other_cc,other,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,255,y_oth_oth,other,a,,,d;b;w,d;b;w,d;b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,1,1,1,1,0.5,1,1,1,,,,
,110,n_mp_n,Multiuse Path,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,2,1,1,1,1,0.5,1,1,1,,,,
,111,n_mp_mp,Multiuse Path,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,2,1,1,1,1,0.5,1,1,1,,,,
,101,n_n_mp,Multiuse Path,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,100,n_n_n,,,,,closed,closed,closed,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,0,0,600,1,1,1,1,1,1,1,1,1,,,,
,102,n_n_bs,basic sidewalk,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,103,n_n_ws,wide sidewalk,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,104,n_n_cc,centroid connector,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,105,n_n_oth,other,,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,120,n_mp_n,Multiuse Path,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,122,n_mp_bs,Multiuse Path/basic side walk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,123,n_mp_ws,Multiuse Path/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,124,n_mp_cc,Multiuse Path/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,125,n_mp_oth,Multiuse Path/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,130,n_ln_n,Lanes/none,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,132,n_ln_bs,Lanes/basic sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,133,n_ln_ws,Lanes/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,134,n_ln_cc,Lanes/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,135,n_ln_oth,Lanes/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,140,n_pro_n,none/protected/none,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,142,n_pro_bs,none/protected/basic sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,143,n_pro_ws,none/protected/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,144,n_pro_cc,none/protected/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,145,n_pro_oth,none/protected/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,150,n_sh_n,none/shared/none,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,152,n_sh_bs,none/shared/basic sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,153,n_sh_ws,none/shared/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,154,n_sh_cc,none/shared/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,155,n_sh_oth,none/shared/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,160,n_cc_n,none/centroid connector/none,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,162,n_cc_bs,none/centroid connector/basic sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,163,n_cc_ws,none/centroid connector/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,164,n_cc_cc,none/centroid connector/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,165,n_cc_oth,none/centroid connector/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,170,n_oth_n,none/other/none,,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,172,n_oth_bs,none/other/basic sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,173,n_oth_ws,none/other/wide sidewalk,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,174,n_oth_cc,none/other/centroid connector,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
,175,n_oth_oth,none/other/other,,,,b;w,b;w,b;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,1,1,1,1,1,1,1,1,1,,,,
