agent_type =, rt, real time info flag = 1
agent_type =, hist, real time info flag = 0
, number of activity nodes defined in node.csv=, 41
, number of boundary activity nodes defined in node.csv=, 0
Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
,summary by multi-modal and demand types,demand_period,agent_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,AM,rt,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,,AM,hist,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,,264,51.1907,82.3832,159.822,317242,731.523,605.385,
,,2,,0,0,0,0,0,0,0,
,,3,,0,0,0,0,0,0,0,
,,4,,0,0,0,0,0,0,0,
,,5,,0,0,0,0,0,0,0,
,,20,,0,0,0,0,0,0,0,
,,99,,114,33.6123,54.0936,348.081,7.98e+06,10000,3053.34,
[real_time_info] 
,info_updating_freq_in_min= 5 min
,visual_distance_in_cells= 5 cells
, # of demand side records in demand_side_scenario.csv=,0,
Step 2.1: read demand, defined in [demand_file_list] in settings.csv.
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,1,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 25286.2
,total demand =, 25286.2
,from_flag,to_flag,volume
,from_flag,to_flag,volume
,0=not related, 1=signficiantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,25286.2
,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,agent_type,departure_time,volume
,,43,3,31,3,3,rt,AM,83.5875
,,44,27,11,3,3,rt,AM,83.5539
,,45,27,41,3,3,rt,AM,82.7382
,,46,32,11,3,3,rt,AM,80.7811
,,47,32,41,3,3,rt,AM,79.9925
,,48,3,22,3,3,rt,AM,79.0442
,,49,3,16,3,3,rt,AM,78.9525
,,50,17,21,3,3,rt,AM,78.2822
,,51,3,19,3,3,rt,AM,78.0618
,,52,6,14,3,3,rt,AM,77.3713
,,53,2,21,3,3,rt,AM,77.2207
,,54,34,24,3,3,rt,AM,77.0507
,,55,34,9,3,3,rt,AM,76.7354
,,56,18,11,3,3,rt,AM,72.093
,,57,31,24,3,3,rt,AM,71.8351
,,58,31,9,3,3,rt,AM,71.5412
,,59,18,41,3,3,rt,AM,71.3892
,,60,6,21,3,3,rt,AM,71.3827
,,61,5,24,3,3,rt,AM,70.1662
,,62,5,9,3,3,rt,AM,69.879
,,63,37,24,3,3,rt,AM,69.1926
,,64,17,13,3,3,rt,AM,69.1631
,,65,17,34,3,3,rt,AM,69.049
,,66,37,9,3,3,rt,AM,68.9095
,,67,2,13,3,3,rt,AM,68.2253
,,68,2,34,3,3,rt,AM,68.1127
,,69,11,24,3,3,rt,AM,66.411
,,70,9,11,3,3,rt,AM,66.1777
,,71,11,9,3,3,rt,AM,66.1392
,,72,41,24,3,3,rt,AM,65.8547
,,73,7,24,3,3,rt,AM,65.646
,,74,41,9,3,3,rt,AM,65.5852
,,75,9,41,3,3,rt,AM,65.5316
,,76,7,9,3,3,rt,AM,65.3774
,,77,34,14,3,3,rt,AM,63.7378
,,78,3,37,3,3,rt,AM,63.6783
,,79,3,15,3,3,rt,AM,63.2566
,,80,6,13,3,3,rt,AM,63.0674
,,81,6,34,3,3,rt,AM,62.9633
,,82,27,24,3,3,rt,AM,62.8644
,,83,27,9,3,3,rt,AM,62.6072
,,84,3,28,3,3,rt,AM,62.537
,,85,3,17,3,3,rt,AM,61.5763
,,86,1,3,3,3,rt,AM,61.2394
,,87,3,1,3,3,rt,AM,61.1764
,,88,32,24,3,3,rt,AM,60.7782
,,89,32,9,3,3,rt,AM,60.5295
,,90,3,18,3,3,rt,AM,59.9519
,,91,31,14,3,3,rt,AM,59.4235
,,92,34,21,3,3,rt,AM,58.8045
,,93,12,11,3,3,rt,AM,58.5062
,,94,3,20,3,3,rt,AM,58.144
,,95,5,14,3,3,rt,AM,58.0429
,,96,12,41,3,3,rt,AM,57.9351
,,97,37,14,3,3,rt,AM,57.2375
,,98,3,32,3,3,rt,AM,55.7424
,,99,3,38,3,3,rt,AM,55.5684
,,100,28,11,3,3,rt,AM,55.4562
step 2.2 read supply side scenario
, # of records in supply_side_scenario.csv=,0,
, # of SA records in supply_side_scenario.csv=,0,
, # of incident records in supply_side_scenario.csv=,0,
, # of dms records in supply_side_scenario.csv=,0,
Step 3: check OD connectivity and accessibility in od_performance.csv
, # of connected OD pairs =, 704
, # of OD/agent_type/demand_type columns without paths =, 778
Iteration, CPU Running Time, # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,25286.2,0,-100
1,0,25286.2,0,-100
2,0,25286.2,34.2259,382.645
3,0,25286.2,34.2259,382.645
4,0,25286.2,12.5196,49.2537
5,0,25286.2,20.492,177.702
6,0,25286.2,13.9581,87.6049
7,0,25286.2,12.1027,53.6932
8,0,25286.2,11.2767,30.7263
9,0,25286.2,11.075,26.6892
10,0,25286.2,10.8292,25.912
11,0,25286.2,10.3357,17.8726
12,0,25286.2,10.1084,12.6349
13,0,25286.2,10.3698,21.5092
14,0,25286.2,10.0219,14.4617
15,0,25286.2,9.8272,8.77611
16,0,25286.2,9.8032,8.80737
17,0,25286.2,9.72721,9.55578
18,0,25286.2,9.56417,7.11947
19,0,25286.2,9.48287,7.07881
Step 4: Column Generation for Traffic Assignment
column updating
column updating: iteration= 0, avg travel time = 15.7001(min), optimization obj = 13977.3,Relative_gap=5.08873 %
column updating: iteration= 1, avg travel time = 16.1974(min), optimization obj = 52890.8,Relative_gap=19.347 %
column updating: iteration= 2, avg travel time = 16.2084(min), optimization obj = 49913.2,Relative_gap=18.829 %
column updating: iteration= 3, avg travel time = 15.2603(min), optimization obj = 25447.3,Relative_gap=10.6236 %
column updating: iteration= 4, avg travel time = 14.7858(min), optimization obj = 8945.81,Relative_gap=3.9235 %
column updating: iteration= 5, avg travel time = 14.6008(min), optimization obj = 5149.03,Relative_gap=2.30546 %
column updating: iteration= 6, avg travel time = 14.5319(min), optimization obj = 3771.45,Relative_gap=1.70267 %
column updating: iteration= 7, avg travel time = 14.4906(min), optimization obj = 3074.83,Relative_gap=1.39528 %
column updating: iteration= 8, avg travel time = 14.4605(min), optimization obj = 2590.57,Relative_gap=1.17964 %
column updating: iteration= 9, avg travel time = 14.4383(min), optimization obj = 2272.7,Relative_gap=1.03744 %
column updating: iteration= 10, avg travel time = 14.4208(min), optimization obj = 2096.31,Relative_gap=0.958699 %
column updating: iteration= 11, avg travel time = 14.4064(min), optimization obj = 1946.49,Relative_gap=0.891537 %
column updating: iteration= 12, avg travel time = 14.3952(min), optimization obj = 1834.02,Relative_gap=0.8411 %
column updating: iteration= 13, avg travel time = 14.3858(min), optimization obj = 1752.55,Relative_gap=0.804492 %
column updating: iteration= 14, avg travel time = 14.3771(min), optimization obj = 1665.19,Relative_gap=0.765058 %
column updating: iteration= 15, avg travel time = 14.3695(min), optimization obj = 1597.53,Relative_gap=0.734535 %
column updating: iteration= 16, avg travel time = 14.3629(min), optimization obj = 1539.33,Relative_gap=0.708231 %
column updating: iteration= 17, avg travel time = 14.3565(min), optimization obj = 1472.68,Relative_gap=0.67799 %
column updating: iteration= 18, avg travel time = 14.3506(min), optimization obj = 1428.91,Relative_gap=0.658211 %
column updating: iteration= 19, avg travel time = 14.3455(min), optimization obj = 1385.81,Relative_gap=0.638651 %
Step 6: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,20
ODME stage
Step 4.3: OD estimation 
,# of ODME_iterations=,0
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,50891.3,VKT=,81884.1
,VHT=,3609.52
,network vehicle speed (MPH) =,14.0992,,network vehicle speed (KPH) =,22.6856
,PMT=,50891.3,PKT=,81884.1
,PHT=,3609.52
,network person speed (MPH) =,14.0992,,network person speed (KPH) =,22.6856
,simple avg link volume=,545.974
,simple avg link speed=,35.9552
,simple avg link speed ratio=,0.819488
