first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,13,25nb,am,auto,88736.2,2.1866e+06,1.35898e+06,2.4395e+06,24.6416,15.3149,27.4916,38;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;222;223;224;226;228;238;242;243;244;245;246;250;251;252;253;254;258;260;262;374;375;376;377;,"POLYGON ((-88.321 42.3943,-87.9566 42.6887,-87.8447 42.478,-87.8447 42.3952,-87.8614 42.3079,-87.9769 42.2223,-88.1757 42.1143,-88.2638 42.1764,-88.3222 42.262,-88.3234 42.307,-88.321 42.3943,))"
,14,25nb,am,auto,18021.4,414132,257385,438158,22.9801,14.2822,24.3133,92;265;266;267;268;269;270;271;272;273;274;275;276;278;280;283;,"POLYGON ((-88.1162 41.7064,-88.0566 41.7091,-87.9697 41.6632,-87.9959 41.6236,-88.1662 41.5309,-88.2245 41.5741,-88.2293 41.6614,-88.1162 41.7064,))"
,15,25nb,am,auto,18914,441581,274444,459100,23.3468,14.5101,24.273,105;277;279;281;282;285;287;288;289;290;291;292;294;299;,"POLYGON ((-88.165 41.4885,-88.0531 41.5777,-87.9399 41.6245,-87.8816 41.5813,-87.9923 41.4921,-88.19 41.4246,-88.165 41.4885,))"
,16,25nb,am,auto,3730.15,104374,64868.8,106289,27.9812,17.3904,28.4947,293;300;301;309;310;311;316;317;339;,"POLYGON ((-88.0769 41.4282,-87.9352 41.493,-87.953 41.2517,-88.1841 41.2508,-88.1864 41.3382,-88.0769 41.4282,))"
,17,25nb,am,auto,7973.18,191339,118918,198046,23.9978,14.9147,24.839,117;119;295;296;297;298;302;303;312;,"POLYGON ((-87.7613 41.539,-87.728 41.4318,-87.8411 41.3463,-87.878 41.4948,-87.878 41.5381,-87.7613 41.539,))"
,18,25nb,am,auto,11322.6,315627,196164,322950,27.8758,17.3249,28.5226,284;286;318;319;320;321;322;323;324;325;326;328;329;331;332;335;,"POLYGON ((-88.4305 41.6857,-88.3139 41.6812,-88.2234 41.5291,-88.2234 41.4867,-88.2984 41.2454,-88.4127 41.3238,-88.5353 41.502,-88.5401 41.6776,-88.4305 41.6857,))"
,19,25nb,am,auto,2330.83,61738.1,38370.5,63200.8,26.4876,16.4622,27.1151,306;307;313;314;315;340;341;342;,"POLYGON ((-87.7244 41.3472,-87.6446 41.4102,-87.5863 41.4102,-87.541 41.349,-87.591 41.2562,-87.7196 41.2517,-87.8316 41.2517,-87.7244 41.3472,))"
,20,25nb,am,auto,5962.39,117586,73080.3,145209,19.7213,12.2569,24.3542,346;347;348;351;352;354;355;,"POLYGON ((-87.5887 41.1707,-87.5863 41.0663,-87.7113 41.0438,-87.8637 41.1095,-87.8673 41.1725,-87.5887 41.1707,))"
,21,25nb,am,auto,20020.6,902958,561192,1.0172e+06,45.1016,28.0308,50.8078,358;360;361;362;363;364;365;366;385;386;387;,"POLYGON ((-87.266 41.5552,-87.2017 41.5903,-87.1421 41.4822,-87.2779 41.1464,-87.4696 41.2652,-87.4755 41.3967,-87.266 41.5552,))"
,22,25nb,am,auto,5911.5,297882,185135,312078,50.3903,31.3177,52.7916,234;239;247;368;369;370;379;,"POLYGON ((-88.7056 42.5447,-88.5913 42.5447,-88.6366 42.2899,-88.8795 42.2421,-88.7056 42.5447,))"
,23,25nb,am,auto,5650.2,162414,100941,166650,28.7448,17.865,29.4945,235;236;237;240;241;371;372;373;378;,"POLYGON ((-88.5222 42.4591,-88.4782 42.5447,-88.2865 42.6653,-88.2424 42.5438,-88.2924 42.4582,-88.4091 42.3754,-88.5234 42.3754,-88.5222 42.4591,))"
,24,25nb,am,auto,4871.21,567161,352493,590845,116.431,72.3624,121.293,327;330;333;334;336;337;381;382;383;,"POLYGON ((-88.6913 41.3562,-88.533 41.4156,-88.4127 41.2391,-88.4139 41.1527,-88.5306 41.0501,-88.7485 41.1095,-88.6913 41.3562,))"
,25,25nb,am,auto,1846.6,49675.8,30873.7,50863.9,26.9012,16.7192,27.5446,338;343;344;345;349;350;353;384;,"POLYGON ((-88.19 41.0528,-88.296 41.1554,-88.1805 41.1581,-88.0662 41.1599,-87.953 41.1248,-87.9185 41.0402,-87.9209 40.9573,-88.19 41.0528,))"
