link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,lanes_s2,link_type_s0,link_type_s1,link_type_s2,lanes_p1_s0_auto,lanes_p1_s1_auto,lanes_p1_s2_auto,VOL_p1_s0_auto,VOL_p1_s1_auto,VOL_p1_s2_auto,MEU_p1_s0_auto,MEU_p1_s1_auto,MEU_p1_s2_auto,CAP_p1_s0_auto,CAP_p1_s1_auto,CAP_p1_s2_auto,PEN_p1_s0_auto,PEN_p1_s1_auto,PEN_p1_s2_auto,DOC_p1_s0_auto,DOC_p1_s1_auto,DOC_p1_s2_auto,TT_p1_s0_auto,TT_p1_s1_auto,TT_p1_s2_auto,CO2_p1_s0_auto,CO2_p1_s1_auto,CO2_p1_s2_auto,NOX_p1_s0_auto,NOX_p1_s1_auto,NOX_p1_s2_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_2040_auto,MEU_am_2040_auto,CAP_am_2040_auto,PEN_am_2040_auto,DOC_am_2040_auto,TT_am_2040_auto,CO2_am_2040_auto,NOX_am_2040_auto,VOL_am_2050_auto,MEU_am_2050_auto,CAP_am_2050_auto,PEN_am_2050_auto,DOC_am_2050_auto,TT_am_2050_auto,CO2_am_2050_auto,NOX_am_2050_auto,
11,11,motorway,11,557,"LINESTRING (-87.761306 41.896383, -87.749405 41.905386)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,10551.1,15826.6,21102.1,10551.1,15826.6,21102.1,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,304397.4,456482.6,608247.2,81.0,121.5,161.6,10551.1,10551.1,49500.000,0.000,0.213,1.388,304397.366,81.046,15826.6,15826.6,49500.000,0.000,0.320,1.390,456482.616,121.463,21102.1,21102.1,49500.000,0.000,0.426,1.395,608247.218,161.572,
12,12,motorway,12,558,"LINESTRING (-87.725585 41.901785, -87.713681 41.910789)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6985.8,10478.7,13971.6,6985.8,10478.7,13971.6,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.3,1.4,1.4,1.4,201549.3,302309.4,403027.2,53.7,80.5,107.3,6985.8,6985.8,49500.000,0.000,0.141,1.388,201549.318,53.670,10478.7,10478.7,49500.000,0.000,0.212,1.388,302309.408,80.491,13971.6,13971.6,49500.000,0.000,0.282,1.389,403027.247,107.272,
13,13,motorway,13,559,"LINESTRING (-87.719627 41.872072, -87.707727 41.881076)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9401.5,14102.2,18803.0,9401.5,14102.2,18803.0,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,271238.2,406793.4,542165.5,72.2,108.3,144.1,9401.5,9401.5,49500.000,0.000,0.190,1.388,271238.238,72.222,14102.2,14102.2,49500.000,0.000,0.285,1.389,406793.376,108.273,18803.0,18803.0,49500.000,0.000,0.380,1.392,542165.470,144.150,
14,14,motorway,14,560,"LINESTRING (-87.713676 41.929697, -87.701773 41.938700)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,14763.7,22145.5,29527.4,14763.7,22145.5,29527.4,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.4,0.6,1.4,1.4,1.4,425857.5,638196.3,849022.9,113.3,169.4,224.0,14763.7,14763.7,49500.000,0.000,0.298,1.390,425857.500,113.336,22145.5,22145.5,49500.000,0.000,0.447,1.396,638196.340,169.439,29527.4,29527.4,49500.000,0.000,0.597,1.414,849022.938,223.976,
15,15,motorway,15,561,"LINESTRING (-87.680335 41.903585, -87.668431 41.912589)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,8934.7,13402.1,17869.4,8934.7,13402.1,17869.4,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,257773.8,386611.0,515305.6,68.6,102.9,137.0,8934.7,8934.7,49500.000,0.000,0.180,1.388,257773.763,68.638,13402.1,13402.1,49500.000,0.000,0.271,1.389,386611.019,102.910,17869.4,17869.4,49500.000,0.000,0.361,1.392,515305.579,137.048,
16,16,motorway,16,562,"LINESTRING (-87.668426 41.875673, -87.656523 41.884678)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,10301.0,15451.5,20602.0,10301.0,15451.5,20602.0,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,297185.1,445677.0,593883.2,79.1,118.6,157.8,10301.0,10301.0,49500.000,0.000,0.208,1.388,297185.093,79.127,15451.5,15451.5,49500.000,0.000,0.312,1.390,445676.979,118.596,20602.0,20602.0,49500.000,0.000,0.416,1.394,593883.194,157.792,
17,17,motorway,17,563,"LINESTRING (-87.637466 41.901785, -87.625562 41.910789)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9098.6,13647.8,18197.1,9098.6,13647.8,18197.1,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,262499.8,393695.3,524734.9,69.9,104.8,139.5,9098.6,9098.6,49500.000,0.000,0.184,1.388,262499.764,69.896,13647.8,13647.8,49500.000,0.000,0.276,1.389,393695.321,104.793,18197.1,18197.1,49500.000,0.000,0.368,1.392,524734.879,139.542,
18,18,motorway,18,564,"LINESTRING (-87.630325 41.880175, -87.618417 41.889180)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9300.7,13951.1,18601.5,9300.7,13951.1,18601.5,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,268332.3,402437.8,536369.6,71.4,107.1,142.6,9300.7,9300.7,49500.000,0.000,0.188,1.388,268332.263,71.448,13951.1,13951.1,49500.000,0.000,0.282,1.389,402437.778,107.116,18601.5,18601.5,49500.000,0.000,0.376,1.392,536369.592,142.618,
19,19,motorway,19,565,"LINESTRING (-87.625556 41.858568, -87.613654 41.867571)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,2624.6,3936.9,5249.2,2624.6,3936.9,5249.2,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.1,0.1,1.4,1.4,1.4,75724.5,113586.6,151448.4,20.2,30.2,40.3,2624.6,2624.6,49500.000,0.000,0.053,1.388,75724.473,20.165,3936.9,3936.9,49500.000,0.000,0.080,1.388,113586.597,30.247,5249.2,5249.2,49500.000,0.000,0.106,1.388,151448.409,40.329,
20,20,motorway,20,566,"LINESTRING (-87.717246 41.840559, -87.705345 41.849564)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,7708.0,11561.9,15415.9,7708.0,11561.9,15415.9,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.2,0.3,1.4,1.4,1.4,222383.6,333551.7,444650.9,59.2,88.8,118.3,7708.0,7708.0,49500.000,0.000,0.156,1.388,222383.636,59.217,11561.9,11561.9,49500.000,0.000,0.234,1.389,333551.660,88.803,15415.9,15415.9,49500.000,0.000,0.311,1.390,444650.851,118.324,
21,21,motorway,21,567,"LINESTRING (-87.670806 41.854067, -87.658904 41.863069)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,4696.2,7044.3,9392.3,4696.2,7044.3,9392.3,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.1,0.2,1.4,1.4,1.4,135492.2,203236.3,270974.6,36.1,54.1,72.2,4696.2,4696.2,49500.000,0.000,0.095,1.388,135492.207,36.080,7044.3,7044.3,49500.000,0.000,0.142,1.388,203236.323,54.119,9392.3,9392.3,49500.000,0.000,0.190,1.388,270974.567,72.152,
22,22,motorway,22,568,"LINESTRING (-87.621986 41.836058, -87.610081 41.845062)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,3370.8,5056.2,6741.6,3370.8,5056.2,6741.6,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.1,0.1,1.4,1.4,1.4,97253.9,145880.4,194505.8,25.9,38.8,51.8,3370.8,3370.8,49500.000,0.000,0.068,1.388,97253.862,25.898,5056.2,5056.2,49500.000,0.000,0.102,1.388,145880.408,38.847,6741.6,6741.6,49500.000,0.000,0.136,1.388,194505.847,51.794,
23,23,motorway,23,569,"LINESTRING (-87.662475 41.823454, -87.650569 41.832457)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,12667.8,19001.7,25335.7,12667.8,19001.7,25335.7,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.4,0.5,1.4,1.4,1.4,365441.8,547883.1,729561.9,97.3,145.7,193.3,12667.8,12667.8,49500.000,0.000,0.256,1.389,365441.808,97.283,19001.7,19001.7,49500.000,0.000,0.384,1.393,547883.101,145.660,25335.7,25335.7,49500.000,0.000,0.512,1.402,729561.892,193.286,
24,24,motorway,24,570,"LINESTRING (-87.713676 41.818953, -87.701773 41.827955)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6010.9,9016.4,12021.8,6010.9,9016.4,12021.8,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.2,1.4,1.4,1.4,173424.2,260129.4,346814.6,46.2,69.3,92.3,6010.9,6010.9,49500.000,0.000,0.121,1.388,173424.193,46.181,9016.4,9016.4,49500.000,0.000,0.182,1.388,260129.418,69.265,12021.8,12021.8,49500.000,0.000,0.243,1.389,346814.627,92.330,
25,25,motorway,25,571,"LINESTRING (-87.769645 41.789240, -87.757741 41.798243)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,5993.2,8989.8,11986.4,5993.2,8989.8,11986.4,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.2,1.4,1.4,1.4,172913.2,259363.1,345793.2,46.0,69.1,92.1,5993.2,5993.2,49500.000,0.000,0.121,1.388,172913.247,46.045,8989.8,8989.8,49500.000,0.000,0.182,1.388,259363.114,69.061,11986.4,11986.4,49500.000,0.000,0.242,1.389,345793.227,92.058,
26,26,motorway,26,572,"LINESTRING (-87.710105 41.782038, -87.698201 41.791040)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,12936.8,19405.2,25873.7,12936.8,19405.2,25873.7,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.4,0.5,1.4,1.4,1.4,373197.8,559486.7,744935.5,99.3,148.7,197.3,12936.8,12936.8,49500.000,0.000,0.261,1.389,373197.755,99.345,19405.2,19405.2,49500.000,0.000,0.392,1.393,559486.656,148.724,25873.7,25873.7,49500.000,0.000,0.523,1.404,744935.542,197.271,
27,27,motorway,27,573,"LINESTRING (-87.658897 41.778433, -87.646996 41.787438)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,7749.5,11624.2,15499.0,7749.5,11624.2,15499.0,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.2,0.3,1.4,1.4,1.4,223582.0,335348.6,447044.5,59.5,89.3,119.0,7749.5,7749.5,49500.000,0.000,0.157,1.388,223582.030,59.536,11624.2,11624.2,49500.000,0.000,0.235,1.389,335348.620,89.281,15499.0,15499.0,49500.000,0.000,0.313,1.390,447044.492,118.959,
28,28,motorway,28,574,"LINESTRING (-87.613647 41.806345, -87.601746 41.815350)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,8700.4,13050.5,17400.7,8700.4,13050.5,17400.7,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,251013.1,376476.2,501814.1,66.8,100.2,133.5,8700.4,8700.4,49500.000,0.000,0.176,1.388,251013.112,66.838,13050.5,13050.5,49500.000,0.000,0.264,1.389,376476.168,100.217,17400.7,17400.7,49500.000,0.000,0.352,1.391,501814.054,133.477,
29,29,motorway,29,575,"LINESTRING (-87.601745 41.764029, -87.589838 41.773032)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,14581.2,21871.9,29162.5,14581.2,21871.9,29162.5,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.4,0.6,1.4,1.4,1.4,420599.5,630343.8,838654.6,111.9,167.4,221.3,14581.2,14581.2,49500.000,0.000,0.295,1.390,420599.510,111.939,21871.9,21871.9,49500.000,0.000,0.442,1.396,630343.833,167.378,29162.5,29162.5,49500.000,0.000,0.589,1.413,838654.589,221.340,
30,30,motorway,30,576,"LINESTRING (-87.711295 41.746920, -87.699391 41.755925)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,5417.0,8125.5,10833.9,5417.0,8125.5,10833.9,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.2,1.4,1.4,1.4,156288.2,234428.2,312556.3,41.6,62.4,83.2,5417.0,5417.0,49500.000,0.000,0.109,1.388,156288.186,41.618,8125.5,8125.5,49500.000,0.000,0.164,1.388,234428.186,62.423,10833.9,10833.9,49500.000,0.000,0.219,1.389,312556.283,83.217,
31,31,motorway,31,577,"LINESTRING (-87.654136 41.735216, -87.642233 41.744221)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,7838.9,11758.3,15677.7,7838.9,11758.3,15677.7,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.2,0.3,1.4,1.4,1.4,226160.3,339214.5,452194.0,60.2,90.3,120.3,7838.9,7838.9,49500.000,0.000,0.158,1.388,226160.274,60.222,11758.3,11758.3,49500.000,0.000,0.238,1.389,339214.534,90.309,15677.7,15677.7,49500.000,0.000,0.317,1.390,452193.976,120.325,
32,32,motorway,32,578,"LINESTRING (-87.677955 41.702803, -87.666049 41.711808)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,7900.7,11851.0,15801.3,7900.7,11851.0,15801.3,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.2,0.3,1.4,1.4,1.4,227942.9,341887.4,455754.1,60.7,91.0,121.3,7900.7,7900.7,49500.000,0.000,0.160,1.388,227942.852,60.697,11851.0,11851.0,49500.000,0.000,0.239,1.389,341887.383,91.020,15801.3,15801.3,49500.000,0.000,0.319,1.390,455754.103,121.270,
33,33,motorway,33,579,"LINESTRING (-87.620795 41.673990, -87.608891 41.682996)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,4727.5,7091.2,9454.9,4727.5,7091.2,9454.9,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.1,0.2,1.4,1.4,1.4,136394.7,204590.0,272779.2,36.3,54.5,72.6,4727.5,4727.5,49500.000,0.000,0.096,1.388,136394.685,36.321,7091.2,7091.2,49500.000,0.000,0.143,1.388,204589.958,54.479,9454.9,9454.9,49500.000,0.000,0.191,1.388,272779.192,72.632,
34,34,motorway,34,580,"LINESTRING (-87.619605 41.711805, -87.607700 41.720811)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6460.1,9690.2,12920.3,6460.1,9690.2,12920.3,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.3,1.4,1.4,1.4,186384.5,279566.9,372720.6,49.6,74.4,99.2,6460.1,6460.1,49500.000,0.000,0.131,1.388,186384.475,49.632,9690.2,9690.2,49500.000,0.000,0.196,1.388,279566.857,74.438,12920.3,12920.3,49500.000,0.000,0.261,1.389,372720.595,99.218,
