[PROCESS INFO] Step 0: reading section scenarios
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[PROCESS INFO] Step 1.1: Reading section demand_period ...
,demand_period= 1, am,time_period=0700_0800, 420-> 480
[PROCESS INFO] Step 1.2: Reading section mode_type...
mode_type =, auto, real time info flag = 0
mode_type =, walk, real time info flag = 0
mode_type =, bike, real time info flag = 0
mode_type =, bus, real time info flag = 0
mode_type =, truck, real time info flag = 0
mode_type =, cav, real time info flag = 1
mode_type =, ev, real time info flag = 0
mode_type =, hov, real time info flag = 0
link_type =, 1, link_type_name = motorway
,mode_type= ev,cap= 2000,free_speed=60
,mode_type= hov,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 2
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv 
,# of nodes = ,6
,# of links =,4
,# of zones =,2
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,6
,# of links =,4
,# of zones =,2
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,motorway,4,60,96.5604,50,14000,3500,12500,
,,2,trunk,0,0,0,0,0,0,0,
,,3,primary,0,0,0,0,0,0,0,
,,4,residential,0,0,0,0,0,0,0,
,,5,secondary,0,0,0,0,0,0,0,
,,6,tertiary,0,0,0,0,0,0,0,
,,7,unclassified,0,0,0,0,0,0,0,
,,9,collector,0,0,0,0,0,0,0,
,,10,connector,0,0,0,0,0,0,0,
,,100,shared_use,0,0,0,0,0,0,0,
,,200,bikeonly,0,0,0,0,0,0,0,
,,300,walkonly,0,0,0,0,0,0,0,
,,-1,,,,1,motorway,,,2,trunk,,,3,primary,,,4,residential,,,5,secondary,,,6,tertiary,,,7,unclassified,,,9,collector,,,10,connector,,,100,shared_use,,,200,bikeonly,,,300,walkonly,[PROCESS INFO] Step 2.1: read demand, defined in demand_files section.
[STATUS INFO] reading demand file for scenario index = 0
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,8000,4,60,96.5604,50,14000,3500,12500,
,,am,walk,0,0,0,0,0,0,0,0,
,,am,bike,0,0,0,0,0,0,0,0,
,,am,bus,0,0,0,0,0,0,0,0,
,,am,truck,0,0,0,0,0,0,0,0,
,,am,cav,0,0,0,0,0,0,0,0,
,,am,ev,0,0,0,0,0,0,0,0,
,,am,hov,0,0,0,0,0,0,0,0,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,8000
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,1,2,3,3,auto,am,8000
[PROCESS INFO]Step 4: Column Generation for Traffic Assignment
,Total number of column generation iterations =, 20
,Total number of column generation iterations =, 20
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,8000,0,0
1,0,8000,68,240
2,0,8000,33.6111,12.037
3,0,8000,30.5908,33.0033
4,0,8000,34.1128,15.7094
5,0,8000,30.0626,0
6,0,8000,30.5908,16.666
7,0,8000,32.2153,9.27284
8,0,8000,30.0151,0
9,0,8000,30.5908,11.9548
10,0,8000,31.6203,7.25485
11,0,8000,32.8369,4.16202
12,0.001,8000,30.5908,0
13,0,8000,31.3382,6.29804
14,0,8000,32.2153,3.8314
15,0,8000,30.5908,0
16,0,8000,31.1755,5.74603
17,0,8000,31.8541,3.68023
18,0,8000,30.5908,0
19,0,8000,31.0702,5.38871
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 31.6203(min), optimization obj = 764.16, Relative_gap = 0.150667 %
[DATA INFO] column updating: iteration = 1, avg travel time = 31.818(min), optimization obj = 757.011, Relative_gap = 0.148595 %
[DATA INFO] column updating: iteration = 2, avg travel time = 31.7613(min), optimization obj = 39.2104, Relative_gap = 0.00771562 %
[PROCESS INFO] Step 7: perform sensitivity analysis if section dynamic_traffic_management is provided for dtm_type = lane_closure or dms. 
Sensitivity analysis stage
,Iteration,Avg Travel Time(min)
0,31.7591,
column updating
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.yml. 
[PROCESS INFO] Step 9: Collecting statistics, Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,114181,VKT=,183717
,VHT=,4234.55
,network vehicle speed (MPH) =,26.9641,,network vehicle speed (KPH) =,43.3852
,PMT=,114181,PKT=,183717
,PHT=,4234.55
,network person speed (MPH) =,26.9641,,network person speed (KPH) =,43.3852
,simple avg link volume=,4000
,simple avg link speed=,47.2314
,simple avg link speed ratio=,0.78719
     Check OD connectivity and accessibility in od_performance_summary.csv
, # of connected OD pairs =, 0
, # of OD/mode_type/demand_type columns without paths =, 1
Output Link Performance Summary
Output 2 Way Link Performance Summary
