agent_type =, p, real time info flag = 0
agent_type =, dms, real time info flag = 2
, number of activity nodes defined in node.csv=, 41
, number of boundary activity nodes defined in node.csv=, 0
Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
,summary by multi-modal and demand types,demand_period,agent_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,AM,p,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,,AM,dms,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,,264,51.1907,82.3832,159.822,317242,731.523,605.385,
,,2,,114,33.6123,54.0936,348.081,7.98e+06,10000,3053.34,
,,3,,0,0,0,0,0,0,0,
,,4,,0,0,0,0,0,0,0,
,,5,,0,0,0,0,0,0,0,
,,20,,0,0,0,0,0,0,0,
,,99,,0,0,0,0,0,0,0,
[real_time_info] 
,info_updating_freq_in_min= 5 min
,visual_distance_in_cells= 5 cells
, # of demand side records in demand_side_scenario.csv=,0,
Step 2.1: read demand, defined in [demand_file_list] in settings.csv.
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,1,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 12643.1
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,2,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 25286.2
,total demand =, 25286.2
,from_flag,to_flag,volume
,from_flag,to_flag,volume
,0=not related, 1=signficiantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,50572.4
,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,agent_type,departure_time,volume
,,47,34,41,3,3,p,AM,50.7046
,,48,34,41,3,3,dms,AM,50.7046
,,49,2,24,3,3,dms,AM,50.5906
,,50,2,24,3,3,p,AM,50.5906
,,51,2,9,3,3,p,AM,50.3835
,,52,2,9,3,3,dms,AM,50.3835
,,53,31,11,3,3,p,AM,47.7385
,,54,31,11,3,3,dms,AM,47.7385
,,55,31,41,3,3,dms,AM,47.2724
,,56,31,41,3,3,p,AM,47.2724
,,57,6,24,3,3,dms,AM,46.7659
,,58,6,24,3,3,p,AM,46.7659
,,59,5,11,3,3,p,AM,46.6294
,,60,5,11,3,3,dms,AM,46.6294
,,61,6,9,3,3,p,AM,46.5745
,,62,6,9,3,3,dms,AM,46.5745
,,63,5,41,3,3,p,AM,46.1741
,,64,5,41,3,3,dms,AM,46.1741
,,65,37,11,3,3,p,AM,45.9824
,,66,37,11,3,3,dms,AM,45.9824
,,67,1,13,3,3,p,AM,45.5539
,,68,1,13,3,3,dms,AM,45.5539
,,69,37,41,3,3,p,AM,45.5335
,,70,37,41,3,3,dms,AM,45.5335
,,71,1,34,3,3,dms,AM,45.4787
,,72,1,34,3,3,p,AM,45.4787
,,73,41,11,3,3,p,AM,43.7641
,,74,41,11,3,3,dms,AM,43.7641
,,75,11,41,3,3,p,AM,43.703
,,76,11,41,3,3,dms,AM,43.703
,,77,7,11,3,3,p,AM,43.6255
,,78,7,11,3,3,dms,AM,43.6255
,,79,7,41,3,3,dms,AM,43.1996
,,80,7,41,3,3,p,AM,43.1996
,,81,17,14,3,3,dms,AM,42.4248
,,82,17,14,3,3,p,AM,42.4248
,,83,2,14,3,3,dms,AM,41.8495
,,84,2,14,3,3,p,AM,41.8495
,,85,3,31,3,3,p,AM,41.7938
,,86,3,31,3,3,dms,AM,41.7938
,,87,27,11,3,3,p,AM,41.777
,,88,27,11,3,3,dms,AM,41.777
,,89,27,41,3,3,p,AM,41.3691
,,90,27,41,3,3,dms,AM,41.3691
,,91,32,11,3,3,dms,AM,40.3906
,,92,32,11,3,3,p,AM,40.3906
,,93,32,41,3,3,p,AM,39.9962
,,94,32,41,3,3,dms,AM,39.9962
,,95,3,22,3,3,dms,AM,39.5221
,,96,3,22,3,3,p,AM,39.5221
,,97,3,16,3,3,p,AM,39.4763
,,98,3,16,3,3,dms,AM,39.4763
,,99,17,21,3,3,dms,AM,39.1411
,,100,17,21,3,3,p,AM,39.1411
step 2.2 read supply side scenario
, # of records in supply_side_scenario.csv=,1,
, # of SA records in supply_side_scenario.csv=,1,
, # of incident records in supply_side_scenario.csv=,0,
, # of dms records in supply_side_scenario.csv=,0,
Step 3: check OD connectivity and accessibility in od_performance.csv
, # of connected OD pairs =, 1482
, # of OD/agent_type/demand_type columns without paths =, 0
Iteration, CPU Running Time, # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,25286.2,0,-100
1,0,25286.2,0,-100
2,0,25286.2,234.852,1809.71
3,0,25286.2,234.852,1809.71
4,0,25286.2,74.4882,289.264
5,0,25286.2,228.903,1254.84
6,0,25286.2,99.17,458.631
7,0,25286.2,79.1676,360.023
8,0,25286.2,50.5904,92.2347
9,0,25286.2,49.6638,103.046
10,0,25286.2,45.1951,74.1652
11,0,25286.2,42.8688,61.0746
12,0,25286.2,40.9119,52.7152
13,0,25286.2,38.9689,40.9417
14,0,25286.2,37.8619,34.514
15,0,25286.2,36.0872,27.3703
16,0,25286.2,35.9251,32.2914
17,0,25286.2,34.8016,21.4212
18,0,25286.2,34.5821,23.5326
19,0,25286.2,34.4374,26.9043
Step 4: Column Generation for Traffic Assignment
column updating
column updating: iteration= 0, avg travel time = 32.6767(min), optimization obj = 82730,Relative_gap=7.28053 %
column updating: iteration= 1, avg travel time = 90.7429(min), optimization obj = 1.93615e+06,Relative_gap=76.8661 %
column updating: iteration= 2, avg travel time = 483.122(min), optimization obj = 1.19215e+07,Relative_gap=95.6866 %
column updating: iteration= 3, avg travel time = 642.012(min), optimization obj = 1.59547e+07,Relative_gap=96.8521 %
column updating: iteration= 4, avg travel time = 615.705(min), optimization obj = 1.52768e+07,Relative_gap=96.5915 %
Step 6: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,5
ODME stage
ODME stage: # of sensors =,20
ODME #0, link MAE= 1324.62,link_MAPE: 88.6949%,system_MPE: 27.6046%,avg_tt = 646.835(min) ,UE gap =638.335(min) = (98.6858 %)
ODME #1, link MAE= 1536.2,link_MAPE: 120.282%,system_MPE: 105.481%,avg_tt = 477.175(min) ,UE gap =467.893(min) = (98.0548 %)
ODME #2, link MAE= 1388.57,link_MAPE: 110.052%,system_MPE: 95.445%,avg_tt = 789.412(min) ,UE gap =696.203(min) = (88.1926 %)
